B07004F_001E,B07004F_001EA,B07004F_001M,B07004F_001MA,B07004F_002E,B07004F_002EA,B07004F_002M,B07004F_002MA,B07004F_003E,B07004F_003EA,B07004F_003M,B07004F_003MA,B07004F_004E,B07004F_004EA,B07004F_004M,B07004F_004MA,B07004F_005E,B07004F_005EA,B07004F_005M,B07004F_005MA,B07004F_006E,B07004F_006EA,B07004F_006M,B07004F_006MA,GEO_ID,NAME,state
33598,null,3645,null,26986,null,3585,null,3716,null,1640,null,648,null,442,null,1197,null,708,null,1051,null,383,null,0400000US01,Alabama,01
15231,null,2911,null,10424,null,2427,null,2929,null,1375,null,24,null,42,null,1656,null,856,null,198,null,244,null,0400000US02,Alaska,02
662809,null,21026,null,505737,null,17719,null,113017,null,11757,null,12067,null,2405,null,18519,null,4535,null,13469,null,4227,null,0400000US04,Arizona,04
62544,null,5680,null,46110,null,5749,null,8387,null,2279,null,588,null,418,null,5592,null,2703,null,1867,null,1085,null,0400000US05,Arkansas,05
5980048,null,62791,null,4990584,null,57614,null,724189,null,24899,null,180305,null,15330,null,35817,null,5550,null,49153,null,5985,null,0400000US06,California,06
297856,null,14002,null,229443,null,12915,null,37382,null,5691,null,18994,null,4271,null,9945,null,2927,null,2092,null,1168,null,0400000US08,Colorado,08
185679,null,9412,null,143456,null,9681,null,30962,null,5717,null,3962,null,1347,null,4544,null,1428,null,2755,null,1319,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
27391,null,3509,null,21936,null,3673,null,2428,null,1436,null,0,null,300,null,2620,null,1398,null,407,null,396,null,0400000US11,District of Columbia,11
723960,null,24125,null,556751,null,22589,null,98712,null,10849,null,28267,null,4826,null,24228,null,4343,null,16002,null,3416,null,0400000US12,Florida,12
348926,null,14991,null,264535,null,12569,null,38839,null,6475,null,19724,null,4331,null,14212,null,3208,null,11616,null,3833,null,0400000US13,Georgia,13
16684,null,2666,null,12099,null,2497,null,1451,null,707,null,162,null,191,null,2535,null,1298,null,437,null,414,null,0400000US15,Hawaii,15
32170,null,4007,null,24557,null,3256,null,4479,null,1984,null,592,null,366,null,1930,null,1241,null,612,null,382,null,0400000US16,Idaho,16
1108838,null,20551,null,936133,null,22967,null,135177,null,12316,null,19829,null,4444,null,6701,null,1900,null,10998,null,2665,null,0400000US17,Illinois,17
148964,null,7498,null,118844,null,7537,null,15935,null,3409,null,4279,null,1555,null,8191,null,3265,null,1715,null,939,null,0400000US18,Indiana,18
50457,null,5282,null,34530,null,4638,null,8819,null,2311,null,3225,null,1664,null,3490,null,1788,null,393,null,342,null,0400000US19,Iowa,19
82682,null,6576,null,65980,null,6412,null,9436,null,2468,null,2554,null,1125,null,3640,null,1923,null,1072,null,516,null,0400000US20,Kansas,20
33126,null,3417,null,24248,null,3055,null,4106,null,1587,null,1759,null,853,null,1732,null,1121,null,1281,null,812,null,0400000US21,Kentucky,21
