C23002A_001E,C23002A_001EA,C23002A_001M,C23002A_001MA,C23002A_002E,C23002A_002EA,C23002A_002M,C23002A_002MA,C23002A_003E,C23002A_003EA,C23002A_003M,C23002A_003MA,C23002A_004E,C23002A_004EA,C23002A_004M,C23002A_004MA,C23002A_005E,C23002A_005EA,C23002A_005M,C23002A_005MA,C23002A_006E,C23002A_006EA,C23002A_006M,C23002A_006MA,C23002A_007E,C23002A_007EA,C23002A_007M,C23002A_007MA,C23002A_008E,C23002A_008EA,C23002A_008M,C23002A_008MA,C23002A_009E,C23002A_009EA,C23002A_009M,C23002A_009MA,C23002A_010E,C23002A_010EA,C23002A_010M,C23002A_010MA,C23002A_011E,C23002A_011EA,C23002A_011M,C23002A_011MA,C23002A_012E,C23002A_012EA,C23002A_012M,C23002A_012MA,C23002A_013E,C23002A_013EA,C23002A_013M,C23002A_013MA,C23002A_014E,C23002A_014EA,C23002A_014M,C23002A_014MA,C23002A_015E,C23002A_015EA,C23002A_015M,C23002A_015MA,C23002A_016E,C23002A_016EA,C23002A_016M,C23002A_016MA,C23002A_017E,C23002A_017EA,C23002A_017M,C23002A_017MA,C23002A_018E,C23002A_018EA,C23002A_018M,C23002A_018MA,C23002A_019E,C23002A_019EA,C23002A_019M,C23002A_019MA,C23002A_020E,C23002A_020EA,C23002A_020M,C23002A_020MA,C23002A_021E,C23002A_021EA,C23002A_021M,C23002A_021MA,C23002A_022E,C23002A_022EA,C23002A_022M,C23002A_022MA,C23002A_023E,C23002A_023EA,C23002A_023M,C23002A_023MA,C23002A_024E,C23002A_024EA,C23002A_024M,C23002A_024MA,C23002A_025E,C23002A_025EA,C23002A_025M,C23002A_025MA,C23002A_026E,C23002A_026EA,C23002A_026M,C23002A_026MA,C23002A_027E,C23002A_027EA,C23002A_027M,C23002A_027MA,GEO_ID,NAME,state
2617359,null,5038,null,1268425,null,3683,null,1058205,null,3696,null,842373,null,6526,null,9181,null,1230,null,833192,null,6646,null,794457,null,6728,null,38735,null,3163,null,215832,null,6102,null,210220,null,958,null,39956,null,2170,null,39118,null,2059,null,838,null,348,null,170264,null,2458,null,1348934,null,3182,null,1057695,null,3008,null,669466,null,8491,null,1230,null,590,null,668236,null,8480,null,632038,null,9098,null,36198,null,2899,null,388229,null,8020,null,291239,null,842,null,27955,null,2225,null,27333,null,2206,null,622,null,260,null,263284,null,2472,null,0400000US01,Alabama,01
371695,null,1930,null,195834,null,1391,null,178746,null,1393,null,151059,null,2260,null,11983,null,1385,null,139076,null,2492,null,131369,null,2725,null,7707,null,1341,null,27687,null,2145,null,17088,null,216,null,4692,null,838,null,4071,null,703,null,621,null,469,null,12396,null,854,null,175861,null,1270,null,157674,null,1206,null,114136,null,2197,null,870,null,354,null,113266,null,2244,null,106773,null,2399,null,6493,null,1313,null,43538,null,2195,null,18187,null,428,null,2547,null,725,null,2422,null,736,null,125,null,164,null,15640,null,878,null,0400000US02,Alaska,02
3822548,null,14619,null,1892550,null,9070,null,1559185,null,8887,null,1252957,null,11696,null,13767,null,1835,null,1239190,null,11479,null,1173723,null,11974,null,65467,null,5454,null,306228,null,8319,null,333365,null,1496,null,57376,null,3276,null,54847,null,3362,null,2529,null,623,null,275989,null,3537,null,1929998,null,7940,null,1522021,null,7105,null,1013896,null,12535,null,1917,null,665,null,1011979,null,12580,null,964272,null,12165,null,47707,null,3579,null,508125,null,10869,null,407977,null,1847,null,43813,null,2696,null,42170,null,2695,null,1643,null,729,null,364164,null,3253,null,0400000US04,Arizona,04
1785462,null,4100,null,868918,null,3299,null,718410,null,3409,null,560717,null,5956,null,3025,null,762,null,557692,null,5984,null,524804,null,6436,null,32888,null,3426,null,157693,null,5427,null,150508,null,554,null,26734,null,2010,null,25745,null,2087,null,989,null,543,null,123774,null,2016,null,916544,null,2724,null,717229,null,2720,null,475277,null,6479,null,757,null,461,null,474520,null,6515,null,446951,null,6390,null,27569,null,2778,null,241952,null,7333,null,199315,null,458,null,19651,null,1762,null,18770,null,1720,null,881,null,471,null,179664,null,1794,null,0400000US05,Arkansas,05
17508696,null,43068,null,8708304,null,26699,null,7450169,null,26732,null,5987953,null,26929,null,87042,null,4637,null,5900911,null,26661,null,5547873,null,26106,null,353038,null,10623,null,1462216,null,16801,null,1258135,null,4087,null,263791,null,6430,null,253513,null,6532,null,10278,null,1420,null,994344,null,6723,null,8800392,null,23851,null,7123657,null,23641,null,4760182,null,24292,null,9214,null,1438,null,4750968,null,24509,null,4463527,null,25184,null,287441,null,8735,null,2363475,null,26307,null,1676735,null,4586,null,192140,null,6263,null,185305,null,5933,null,6835,null,1246,null,1484595,null,7505,null,0400000US06,California,06
3235658,null,10849,null,1619598,null,6845,null,1424023,null,6580,null,1201140,null,8554,null,17720,null,1818,null,1183420,null,8426,null,1124397,null,9351,null,59023,null,4122,null,222883,null,6925,null,195575,null,1252,null,47046,null,2536,null,45996,null,2539,null,1050,null,432,null,148529,null,2454,null,1616060,null,6035,null,1361517,null,5800,null,990101,null,9032,null,3379,null,807,null,986722,null,9003,null,933128,null,8942,null,53594,null,4100,null,371416,null,8209,null,254543,null,1457,null,29774,null,2128,null,28873,null,2117,null,901,null,460,null,224769,null,2546,null,0400000US08,Colorado,08
2264467,null,7316,null,1087274,null,4787,null,911582,null,4805,null,765518,null,5389,null,5437,null,934,null,760081,null,5559,null,721076,null,5934,null,39005,null,3150,null,146064,null,4967,null,175692,null,838,null,38909,null,1956,null,37709,null,1955,null,1200,null,400,null,136783,null,2179,null,1177193,null,4256,null,925473,null,4106,null,687498,null,6500,null,910,null,480,null,686588,null,6438,null,652348,null,6111,null,34240,null,2807,null,237975,null,6420,null,251720,null,777,null,31905,null,2344,null,30732,null,2403,null,1173,null,516,null,219815,null,2530,null,0400000US09,Connecticut,09
509254,null,1990,null,243843,null,1345,null,200535,null,1268,null,164380,null,3142,null,1143,null,455,null,163237,null,3123,null,155050,null,3259,null,8187,null,1468,null,36155,null,2671,null,43308,null,359,null,9278,null,1282,null,8867,null,1239,null,411,null,244,null,34030,null,1283,null,265411,null,1208,null,209118,null,1208,null,149178,null,3161,null,182,null,182,null,148996,null,3151,null,141990,null,3380,null,7006,null,1137,null,59940,null,3351,null,56293,null,304,null,6201,null,890,null,5910,null,852,null,291,null,239,null,50092,null,885,null,0400000US10,Delaware,10
187020,null,2500,null,93094,null,1781,null,83300,null,1723,null,71558,null,1812,null,3252,null,1206,null,68306,null,1967,null,66856,null,2029,null,1450,null,537,null,11742,null,1626,null,9794,null,274,null,4332,null,717,null,4203,null,742,null,129,null,151,null,5462,null,752,null,93926,null,1355,null,82264,null,1321,null,66093,null,2053,null,949,null,898,null,65144,null,2182,null,64114,null,2293,null,1030,null,493,null,16171,null,1709,null,11662,null,318,null,2576,null,720,null,2576,null,720,null,0,null,300,null,9086,null,707,null,0400000US11,District of Columbia,11
11520388,null,20266,null,5608159,null,13559,null,4380573,null,12790,null,3520888,null,18237,null,37053,null,2378,null,3483835,null,18359,null,3297607,null,19131,null,186228,null,6720,null,859685,null,14490,null,1227586,null,3022,null,210234,null,5226,null,200277,null,5261,null,9957,null,1579,null,1017352,null,5906,null,5912229,null,11568,null,4363435,null,10505,null,3000333,null,17524,null,5165,null,1015,null,2995168,null,17306,null,2830809,null,16904,null,164359,null,6815,null,1363102,null,15547,null,1548794,null,3771,null,154639,null,5676,null,149225,null,5564,null,5414,null,1191,null,1394155,null,6981,null,0400000US12,Florida,12
