B05010_001E,B05010_001EA,B05010_001M,B05010_001MA,B05010_002E,B05010_002EA,B05010_002M,B05010_002MA,B05010_003E,B05010_003EA,B05010_003M,B05010_003MA,B05010_004E,B05010_004EA,B05010_004M,B05010_004MA,B05010_005E,B05010_005EA,B05010_005M,B05010_005MA,B05010_006E,B05010_006EA,B05010_006M,B05010_006MA,B05010_007E,B05010_007EA,B05010_007M,B05010_007MA,B05010_008E,B05010_008EA,B05010_008M,B05010_008MA,B05010_009E,B05010_009EA,B05010_009M,B05010_009MA,B05010_010E,B05010_010EA,B05010_010M,B05010_010MA,B05010_011E,B05010_011EA,B05010_011M,B05010_011MA,B05010_012E,B05010_012EA,B05010_012M,B05010_012MA,B05010_013E,B05010_013EA,B05010_013M,B05010_013MA,B05010_014E,B05010_014EA,B05010_014M,B05010_014MA,B05010_015E,B05010_015EA,B05010_015M,B05010_015MA,B05010_016E,B05010_016EA,B05010_016M,B05010_016MA,B05010_017E,B05010_017EA,B05010_017M,B05010_017MA,B05010_018E,B05010_018EA,B05010_018M,B05010_018MA,B05010_019E,B05010_019EA,B05010_019M,B05010_019MA,B05010_020E,B05010_020EA,B05010_020M,B05010_020MA,B05010_021E,B05010_021EA,B05010_021M,B05010_021MA,B05010_022E,B05010_022EA,B05010_022M,B05010_022MA,B05010_023E,B05010_023EA,B05010_023M,B05010_023MA,B05010_024E,B05010_024EA,B05010_024M,B05010_024MA,B05010_025E,B05010_025EA,B05010_025M,B05010_025MA,GEO_ID,NAME,state
1040931,null,6526,null,243538,null,11071,null,57254,null,6424,null,50139,null,6190,null,5984,null,1556,null,1131,null,642,null,186284,null,10162,null,179823,null,9683,null,6461,null,2112,null,230179,null,10382,null,124969,null,9013,null,111621,null,8088,null,9300,null,2224,null,4048,null,1399,null,105210,null,6507,null,102302,null,6463,null,2908,null,1084,null,567214,null,12793,null,458210,null,12748,null,434963,null,12000,null,11312,null,1645,null,11935,null,2646,null,109004,null,7417,null,105953,null,7341,null,3051,null,919,null,0400000US01,Alabama,01
169607,null,1952,null,17738,null,2885,null,4395,null,1196,null,3905,null,1035,null,323,null,480,null,167,null,235,null,13343,null,2582,null,12525,null,2418,null,818,null,664,null,32957,null,3821,null,18025,null,2922,null,14438,null,2601,null,1523,null,910,null,2064,null,1358,null,14932,null,2789,null,13581,null,2772,null,1351,null,929,null,118912,null,4263,null,96335,null,4686,null,83882,null,4428,null,5192,null,1378,null,7261,null,1767,null,22577,null,2719,null,21743,null,2681,null,834,null,431,null,0400000US02,Alaska,02
1564752,null,7211,null,302973,null,14903,null,107836,null,9959,null,30220,null,5472,null,69661,null,9041,null,7955,null,2703,null,195137,null,11872,null,130997,null,9741,null,64140,null,6945,null,384888,null,16524,null,237584,null,12708,null,99477,null,9995,null,108805,null,9571,null,29302,null,5062,null,147304,null,10909,null,110659,null,8508,null,36645,null,6819,null,876891,null,18220,null,689034,null,17525,null,532343,null,15738,null,91587,null,7788,null,65104,null,5259,null,187857,null,9863,null,164025,null,9295,null,23832,null,3669,null,0400000US04,Arizona,04
648598,null,4544,null,160510,null,8184,null,54416,null,4810,null,41870,null,4214,null,9648,null,2526,null,2898,null,1482,null,106094,null,7375,null,100311,null,7184,null,5783,null,1909,null,170260,null,8251,null,101086,null,6407,null,84540,null,5720,null,13837,null,2974,null,2709,null,975,null,69174,null,6354,null,63002,null,6106,null,6172,null,1918,null,317828,null,10137,null,267087,null,8833,null,251185,null,8080,null,9028,null,1921,null,6874,null,1752,null,50741,null,5089,null,48666,null,5157,null,2075,null,767,null,0400000US05,Arkansas,05
8807512,null,18790,null,1467483,null,34816,null,601566,null,22359,null,102560,null,8669,null,440601,null,17895,null,58405,null,7806,null,865917,null,28070,null,457025,null,22411,null,408892,null,19190,null,2051854,null,33418,null,1286766,null,28280,null,271860,null,13113,null,865565,null,24357,null,149341,null,10936,null,765088,null,21695,null,435599,null,16010,null,329489,null,15390,null,5288175,null,39233,null,4218541,null,39711,null,2312153,null,30045,null,1254832,null,21919,null,651556,null,21076,null,1069634,null,21423,null,773816,null,19909,null,295818,null,11536,null,0400000US06,California,06
1127106,null,6096,null,175443,null,10244,null,69219,null,6751,null,24299,null,4598,null,34955,null,5630,null,9965,null,2872,null,106224,null,9049,null,79261,null,7112,null,26963,null,5249,null,210611,null,9361,null,135038,null,8895,null,84169,null,6602,null,40431,null,6052,null,10438,null,2281,null,75573,null,7222,null,65198,null,6689,null,10375,null,3012,null,741052,null,11927,null,611357,null,12620,null,521237,null,11894,null,43137,null,4805,null,46983,null,4714,null,129695,null,7335,null,117563,null,7182,null,12132,null,2454,null,0400000US08,Colorado,08
780647,null,4334,null,81869,null,7346,null,15250,null,3100,null,6516,null,1880,null,6706,null,2408,null,2028,null,1413,null,66619,null,6346,null,59518,null,6294,null,7101,null,2111,null,106524,null,7145,null,47752,null,5571,null,26674,null,4752,null,17730,null,3361,null,3348,null,1365,null,58772,null,5710,null,47476,null,5675,null,11296,null,2578,null,592254,null,7061,null,496555,null,6943,null,398951,null,6929,null,53105,null,4817,null,44499,null,4629,null,95699,null,5317,null,82819,null,4929,null,12880,null,2539,null,0400000US09,Connecticut,09
189945,null,2669,null,26623,null,3624,null,6627,null,2008,null,3861,null,1456,null,2521,null,1602,null,245,null,339,null,19996,null,3574,null,18542,null,3327,null,1454,null,841,null,39093,null,4879,null,20420,null,3526,null,13946,null,2868,null,6059,null,1902,null,415,null,323,null,18673,null,3522,null,15900,null,3576,null,2773,null,1129,null,124229,null,4908,null,98287,null,4402,null,86255,null,3844,null,7217,null,1767,null,4815,null,1549,null,25942,null,3536,null,24082,null,3253,null,1860,null,1023,null,0400000US10,Delaware,10
103732,null,2229,null,22602,null,3759,null,962,null,711,null,684,null,657,null,278,null,239,null,0,null,300,null,21640,null,3787,null,20698,null,3500,null,942,null,1085,null,24491,null,4178,null,5269,null,2458,null,1793,null,1507,null,3204,null,1894,null,272,null,317,null,19222,null,3599,null,17264,null,3473,null,1958,null,1061,null,56639,null,3937,null,35427,null,3216,null,24553,null,3042,null,5660,null,1856,null,5214,null,1608,null,21212,null,3087,null,19374,null,3177,null,1838,null,786,null,0400000US11,District of Columbia,11
3785381,null,12463,null,612595,null,22092,null,173897,null,12433,null,72239,null,7907,null,78179,null,9779,null,23479,null,4983,null,438698,null,19654,null,337831,null,17693,null,100867,null,10418,null,899767,null,24850,null,469591,null,18800,null,249021,null,14241,null,168799,null,11475,null,51771,null,6211,null,430176,null,19933,null,314241,null,16479,null,115935,null,9985,null,2273019,null,27408,null,1778617,null,25427,null,1254039,null,20858,null,298773,null,13067,null,225805,null,11582,null,494402,null,15740,null,402238,null,14529,null,92164,null,6665,null,0400000US12,Florida,12
