B24092_001E,B24092_001EA,B24092_001M,B24092_001MA,B24092_002E,B24092_002EA,B24092_002M,B24092_002MA,B24092_003E,B24092_003EA,B24092_003M,B24092_003MA,B24092_004E,B24092_004EA,B24092_004M,B24092_004MA,B24092_005E,B24092_005EA,B24092_005M,B24092_005MA,B24092_006E,B24092_006EA,B24092_006M,B24092_006MA,B24092_007E,B24092_007EA,B24092_007M,B24092_007MA,B24092_008E,B24092_008EA,B24092_008M,B24092_008MA,B24092_009E,B24092_009EA,B24092_009M,B24092_009MA,B24092_010E,B24092_010EA,B24092_010M,B24092_010MA,B24092_011E,B24092_011EA,B24092_011M,B24092_011MA,B24092_012E,B24092_012EA,B24092_012M,B24092_012MA,B24092_013E,B24092_013EA,B24092_013M,B24092_013MA,B24092_014E,B24092_014EA,B24092_014M,B24092_014MA,B24092_015E,B24092_015EA,B24092_015M,B24092_015MA,B24092_016E,B24092_016EA,B24092_016M,B24092_016MA,B24092_017E,B24092_017EA,B24092_017M,B24092_017MA,B24092_018E,B24092_018EA,B24092_018M,B24092_018MA,B24092_019E,B24092_019EA,B24092_019M,B24092_019MA,B24092_020E,B24092_020EA,B24092_020M,B24092_020MA,GEO_ID,NAME,state
40841,null,374,null,40074,null,731,null,38949,null,1035,null,53720,null,5815,null,42793,null,3193,null,40653,null,1303,null,47404,null,2861,null,61097,null,2123,null,37517,null,3201,null,16456,null,1991,null,29860,null,541,null,27577,null,685,null,27414,null,593,null,35027,null,7042,null,29765,null,1323,null,34410,null,1832,null,36419,null,1243,null,50085,null,2006,null,25028,null,4056,null,6644,null,1588,null,0400000US01,Alabama,01
52733,null,3031,null,51566,null,1484,null,50941,null,1551,null,84619,null,14628,null,49206,null,8468,null,62037,null,3498,null,56968,null,5526,null,55425,null,4642,null,49672,null,13184,null,-666666666,-,0,**,38203,null,2164,null,34871,null,1482,null,34543,null,1567,null,51875,null,54865,null,41610,null,4637,null,41682,null,1747,null,42970,null,4481,null,50053,null,4977,null,30085,null,14961,null,50707,null,76507,null,0400000US02,Alaska,02
41461,null,343,null,40776,null,430,null,40040,null,623,null,60982,null,2566,null,42364,null,2502,null,46186,null,1396,null,42579,null,2799,null,52446,null,2250,null,37490,null,5520,null,27839,null,25302,null,33928,null,764,null,32092,null,409,null,31923,null,404,null,40430,null,3591,null,39000,null,3469,null,36827,null,1059,null,36971,null,1166,null,45861,null,1952,null,29612,null,5628,null,17810,null,11807,null,0400000US04,Arizona,04
36424,null,476,null,36271,null,582,null,35539,null,621,null,54771,null,7555,null,38728,null,3697,null,32862,null,2478,null,37668,null,3455,null,51487,null,1928,null,30842,null,1460,null,32727,null,89478,null,26898,null,532,null,25504,null,598,null,25328,null,622,null,32120,null,3460,null,30024,null,1949,null,31182,null,1387,null,31602,null,1217,null,45911,null,4551,null,17114,null,1517,null,10974,null,2901,null,0400000US05,Arkansas,05
46754,null,262,null,44043,null,528,null,42276,null,202,null,78386,null,3207,null,49537,null,1698,null,61517,null,638,null,64283,null,2140,null,56098,null,1124,null,45492,null,1957,null,28862,null,6912,null,39145,null,355,null,36230,null,211,null,35966,null,218,null,51224,null,1312,null,44198,null,1273,null,47165,null,680,null,47521,null,1352,null,50160,null,1135,null,29513,null,1949,null,27061,null,7533,null,0400000US06,California,06
46616,null,580,null,46198,null,785,null,45162,null,932,null,61233,null,1810,null,43269,null,2659,null,48662,null,1846,null,49790,null,3246,null,59971,null,5581,null,37330,null,3210,null,48098,null,7194,null,36885,null,472,null,35512,null,604,null,35362,null,635,null,38332,null,4313,null,37309,null,1724,null,41593,null,848,null,41778,null,1749,null,51472,null,2564,null,31095,null,2181,null,18654,null,3672,null,0400000US08,Colorado,08
55704,null,876,null,56402,null,1096,null,55114,null,1325,null,80771,null,5848,null,51575,null,1860,null,55165,null,2357,null,61214,null,1907,null,56489,null,3491,null,50823,null,953,null,100001,"100,000+",0,***,41972,null,516,null,40538,null,641,null,40436,null,650,null,49799,null,9595,null,43547,null,2426,null,49507,null,2516,null,53598,null,3441,null,51726,null,2947,null,28901,null,4462,null,18232,null,7717,null,0400000US09,Connecticut,09
48211,null,1959,null,47659,null,2209,null,46750,null,1322,null,60514,null,8985,null,45729,null,5380,null,50674,null,3171,null,48581,null,3393,null,52087,null,2721,null,43232,null,8522,null,15223,null,7187,null,38500,null,1486,null,37039,null,1225,null,36855,null,1227,null,41487,null,4751,null,40906,null,2403,null,41213,null,2182,null,40400,null,3438,null,47148,null,1918,null,25619,null,3387,null,100001,"100,000+",0,***,0400000US10,Delaware,10
55443,null,3742,null,49382,null,3857,null,47109,null,4140,null,87119,null,27675,null,59788,null,11415,null,51696,null,10454,null,68089,null,13878,null,81289,null,18728,null,51175,null,58459,null,-666666666,-,0,**,50185,null,1874,null,42693,null,3060,null,42481,null,2885,null,51456,null,23032,null,49989,null,4649,null,52106,null,10270,null,50276,null,7258,null,63961,null,4865,null,31211,null,13068,null,-666666666,-,0,**,0400000US11,District of Columbia,11
40325,null,202,null,39452,null,495,null,37377,null,272,null,53138,null,2210,null,42006,null,1523,null,44643,null,1487,null,42436,null,2078,null,53012,null,1780,null,31764,null,830,null,36250,null,18172,null,32199,null,195,null,31133,null,237,null,30829,null,245,null,41553,null,917,null,36587,null,861,null,37371,null,579,null,35479,null,1138,null,46367,null,1688,null,24363,null,3212,null,29285,null,11240,null,0400000US12,Florida,12
