B19001G_001E,B19001G_001EA,B19001G_001M,B19001G_001MA,B19001G_002E,B19001G_002EA,B19001G_002M,B19001G_002MA,B19001G_003E,B19001G_003EA,B19001G_003M,B19001G_003MA,B19001G_004E,B19001G_004EA,B19001G_004M,B19001G_004MA,B19001G_005E,B19001G_005EA,B19001G_005M,B19001G_005MA,B19001G_006E,B19001G_006EA,B19001G_006M,B19001G_006MA,B19001G_007E,B19001G_007EA,B19001G_007M,B19001G_007MA,B19001G_008E,B19001G_008EA,B19001G_008M,B19001G_008MA,B19001G_009E,B19001G_009EA,B19001G_009M,B19001G_009MA,B19001G_010E,B19001G_010EA,B19001G_010M,B19001G_010MA,B19001G_011E,B19001G_011EA,B19001G_011M,B19001G_011MA,B19001G_012E,B19001G_012EA,B19001G_012M,B19001G_012MA,B19001G_013E,B19001G_013EA,B19001G_013M,B19001G_013MA,B19001G_014E,B19001G_014EA,B19001G_014M,B19001G_014MA,B19001G_015E,B19001G_015EA,B19001G_015M,B19001G_015MA,B19001G_016E,B19001G_016EA,B19001G_016M,B19001G_016MA,B19001G_017E,B19001G_017EA,B19001G_017M,B19001G_017MA,GEO_ID,NAME,state
17128,null,1926,null,2226,null,690,null,1481,null,704,null,1175,null,446,null,1355,null,603,null,900,null,445,null,912,null,418,null,795,null,359,null,935,null,424,null,527,null,372,null,2205,null,781,null,1675,null,565,null,1423,null,604,null,309,null,257,null,438,null,332,null,657,null,363,null,115,null,145,null,0400000US01,Alabama,01
9844,null,1435,null,511,null,251,null,781,null,454,null,414,null,236,null,924,null,478,null,441,null,383,null,788,null,445,null,374,null,255,null,375,null,301,null,163,null,129,null,1008,null,437,null,669,null,296,null,1154,null,550,null,1022,null,419,null,743,null,410,null,269,null,198,null,208,null,210,null,0400000US02,Alaska,02
31338,null,2985,null,3011,null,1020,null,1741,null,673,null,1382,null,580,null,1770,null,772,null,2358,null,969,null,1299,null,494,null,2950,null,926,null,1430,null,709,null,2729,null,774,null,2274,null,691,null,2443,null,756,null,3761,null,906,null,1953,null,845,null,952,null,493,null,752,null,375,null,533,null,429,null,0400000US04,Arizona,04
13414,null,1802,null,1950,null,671,null,1985,null,727,null,744,null,343,null,915,null,404,null,990,null,496,null,1449,null,686,null,846,null,364,null,608,null,316,null,750,null,509,null,888,null,535,null,877,null,409,null,1055,null,462,null,94,null,72,null,123,null,188,null,0,null,267,null,140,null,172,null,0400000US05,Arkansas,05
273331,null,7376,null,15817,null,2311,null,16299,null,1959,null,14268,null,2118,null,12117,null,2029,null,11761,null,1315,null,12991,null,1763,null,11506,null,1899,null,14827,null,2083,null,12244,null,1506,null,20468,null,2448,null,29314,null,2311,null,36522,null,2724,null,22074,null,2362,null,13936,null,1897,null,16008,null,2025,null,13179,null,1679,null,0400000US06,California,06
29572,null,2903,null,2019,null,793,null,1719,null,493,null,2297,null,858,null,2006,null,881,null,1656,null,665,null,1470,null,664,null,1054,null,496,null,1933,null,777,null,1561,null,747,null,2609,null,878,null,3047,null,879,null,3442,null,981,null,2119,null,801,null,746,null,317,null,1160,null,540,null,734,null,410,null,0400000US08,Colorado,08
16315,null,1805,null,1551,null,721,null,975,null,458,null,587,null,327,null,840,null,439,null,494,null,359,null,729,null,466,null,460,null,395,null,514,null,385,null,723,null,554,null,1172,null,569,null,2413,null,792,null,2116,null,694,null,1149,null,618,null,1079,null,550,null,391,null,258,null,1122,null,527,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
79546,null,4383,null,7719,null,1652,null,4711,null,1110,null,5235,null,1179,null,5995,null,1197,null,4780,null,1101,null,4338,null,1330,null,4456,null,1147,null,3548,null,1154,null,3551,null,986,null,7815,null,1234,null,8888,null,1476,null,7311,null,1359,null,4946,null,1130,null,1900,null,591,null,2118,null,642,null,2235,null,872,null,0400000US12,Florida,12
27627,null,2847,null,2545,null,734,null,1855,null,664,null,1696,null,645,null,1288,null,518,null,2609,null,1003,null,1544,null,704,null,1400,null,535,null,1485,null,640,null,1285,null,502,null,3281,null,1098,null,1913,null,615,null,3212,null,1111,null,1373,null,536,null,633,null,360,null,1016,null,511,null,492,null,278,null,0400000US13,Georgia,13
65326,null,3371,null,4060,null,1118,null,1757,null,657,null,2374,null,830,null,2085,null,761,null,2015,null,802,null,3447,null,1229,null,3433,null,1087,null,4523,null,1284,null,2267,null,908,null,4997,null,1246,null,7424,null,1320,null,10825,null,1717,null,7643,null,1582,null,2758,null,812,null,3206,null,838,null,2512,null,915,null,0400000US15,Hawaii,15
8447,null,1296,null,1512,null,682,null,510,null,336,null,416,null,320,null,427,null,309,null,518,null,280,null,858,null,487,null,599,null,359,null,781,null,487,null,262,null,232,null,675,null,339,null,679,null,297,null,567,null,306,null,197,null,163,null,110,null,136,null,68,null,119,null,268,null,307,null,0400000US16,Idaho,16
42606,null,3522,null,3574,null,914,null,2476,null,766,null,2527,null,782,null,2702,null,887,null,2242,null,762,null,2917,null,805,null,2324,null,871,null,1529,null,570,null,2415,null,865,null,3870,null,844,null,4966,null,1069,null,5304,null,1160,null,2468,null,885,null,961,null,383,null,1413,null,564,null,918,null,371,null,0400000US17,Illinois,17
24478,null,2439,null,2867,null,896,null,1576,null,631,null,1651,null,515,null,1752,null,702,null,2535,null,811,null,1631,null,627,null,2327,null,813,null,688,null,392,null,1129,null,527,null,1442,null,580,null,2284,null,747,null,2069,null,585,null,1116,null,482,null,762,null,449,null,320,null,237,null,329,null,255,null,0400000US18,Indiana,18
8156,null,1426,null,996,null,466,null,782,null,397,null,734,null,411,null,361,null,205,null,440,null,244,null,369,null,241,null,574,null,368,null,504,null,330,null,272,null,197,null,708,null,421,null,761,null,355,null,920,null,587,null,273,null,220,null,121,null,143,null,140,null,179,null,201,null,186,null,0400000US19,Iowa,19
18676,null,1946,null,1944,null,597,null,1873,null,619,null,771,null,323,null,1766,null,692,null,2019,null,901,null,829,null,352,null,1724,null,666,null,1336,null,586,null,759,null,462,null,1217,null,562,null,1775,null,640,null,1476,null,642,null,542,null,357,null,162,null,160,null,245,null,198,null,238,null,237,null,0400000US20,Kansas,20
14003,null,1964,null,2812,null,1010,null,1780,null,594,null,1306,null,638,null,676,null,414,null,1027,null,636,null,541,null,342,null,740,null,433,null,637,null,301,null,386,null,243,null,933,null,440,null,576,null,333,null,1338,null,770,null,752,null,448,null,218,null,229,null,157,null,156,null,124,null,160,null,0400000US21,Kentucky,21
13065,null,1760,null,2234,null,682,null,1427,null,543,null,714,null,371,null,458,null,284,null,668,null,350,null,671,null,454,null,1870,null,674,null,322,null,213,null,341,null,247,null,1059,null,557,null,714,null,479,null,1166,null,463,null,530,null,376,null,524,null,486,null,156,null,157,null,211,null,204,null,0400000US22,Louisiana,22
6774,null,1239,null,858,null,371,null,863,null,492,null,501,null,340,null,552,null,426,null,564,null,341,null,592,null,446,null,503,null,432,null,155,null,157,null,151,null,136,null,909,null,553,null,258,null,231,null,591,null,371,null,123,null,148,null,62,null,94,null,64,null,105,null,28,null,40,null,0400000US23,Maine,23
27698,null,2737,null,1446,null,644,null,1848,null,760,null,754,null,557,null,1192,null,633,null,509,null,278,null,1710,null,744,null,1048,null,462,null,1193,null,480,null,1110,null,571,null,2180,null,692,null,2903,null,1061,null,4262,null,874,null,2223,null,752,null,1784,null,640,null,1559,null,524,null,1977,null,725,null,0400000US24,Maryland,24
30227,null,3081,null,4364,null,1103,null,1567,null,798,null,1336,null,613,null,1417,null,616,null,1547,null,737,null,1732,null,749,null,2119,null,966,null,1420,null,615,null,1086,null,531,null,2712,null,999,null,4004,null,1005,null,2848,null,911,null,1578,null,669,null,750,null,361,null,1028,null,569,null,719,null,457,null,0400000US25,Massachusetts,25
45998,null,2839,null,5565,null,1050,null,5002,null,1172,null,3236,null,704,null,2867,null,895,null,2886,null,716,null,2577,null,656,null,2022,null,619,null,2863,null,714,null,2286,null,668,null,2767,null,770,null,4176,null,964,null,4515,null,1025,null,2750,null,859,null,1274,null,471,null,585,null,292,null,627,null,415,null,0400000US26,Michigan,26
19329,null,2153,null,1497,null,687,null,1197,null,462,null,1388,null,607,null,1576,null,657,null,685,null,424,null,799,null,372,null,1498,null,704,null,598,null,291,null,759,null,494,null,1893,null,633,null,1245,null,399,null,3042,null,804,null,1540,null,652,null,601,null,353,null,443,null,407,null,568,null,292,null,0400000US27,Minnesota,27
