C17020A_001E,C17020A_001EA,C17020A_001M,C17020A_001MA,C17020A_002E,C17020A_002EA,C17020A_002M,C17020A_002MA,C17020A_003E,C17020A_003EA,C17020A_003M,C17020A_003MA,C17020A_004E,C17020A_004EA,C17020A_004M,C17020A_004MA,C17020A_005E,C17020A_005EA,C17020A_005M,C17020A_005MA,C17020A_006E,C17020A_006EA,C17020A_006M,C17020A_006MA,C17020A_007E,C17020A_007EA,C17020A_007M,C17020A_007MA,C17020A_008E,C17020A_008EA,C17020A_008M,C17020A_008MA,C17020A_009E,C17020A_009EA,C17020A_009M,C17020A_009MA,GEO_ID,NAME,state
3188357,null,6110,null,367213,null,16457,null,107784,null,8065,null,218518,null,9852,null,40911,null,3282,null,2821144,null,16657,null,604461,null,8490,null,1775357,null,10416,null,441326,null,3720,null,0400000US01,Alabama,01
456149,null,2688,null,25875,null,3558,null,7390,null,1815,null,17082,null,2259,null,1403,null,569,null,430274,null,4446,null,98910,null,2251,null,298298,null,2927,null,33066,null,740,null,0400000US02,Alaska,02
4765568,null,22472,null,551872,null,23833,null,185963,null,12340,null,310924,null,13441,null,54985,null,3873,null,4213696,null,30708,null,940973,null,15119,null,2596974,null,18443,null,675749,null,4401,null,0400000US04,Arizona,04
2169353,null,6336,null,300190,null,13073,null,90629,null,6369,null,175194,null,7629,null,34367,null,2945,null,1869163,null,14568,null,400171,null,7010,null,1171121,null,8548,null,297871,null,3147,null,0400000US05,Arkansas,05
21606420,null,60476,null,2303650,null,49459,null,748918,null,27476,null,1358340,null,27274,null,196392,null,6064,null,19302770,null,64336,null,4307341,null,32247,null,12332343,null,42750,null,2663086,null,9245,null,0400000US06,California,06
3983920,null,15307,null,419608,null,18422,null,126748,null,9847,null,259112,null,11242,null,33748,null,2669,null,3564312,null,20416,null,794215,null,10785,null,2369468,null,12390,null,400629,null,3448,null,0400000US08,Colorado,08
2705050,null,9887,null,156633,null,9823,null,42725,null,4948,null,91422,null,6308,null,22486,null,2262,null,2548417,null,11306,null,552625,null,5045,null,1617022,null,8180,null,378770,null,2750,null,0400000US09,Connecticut,09
609138,null,3239,null,48916,null,5240,null,11973,null,2447,null,30332,null,3338,null,6611,null,1285,null,560222,null,5609,null,117760,null,2787,null,353345,null,3479,null,89117,null,1506,null,0400000US10,Delaware,10
196396,null,3637,null,15157,null,2881,null,574,null,515,null,13154,null,2506,null,1429,null,647,null,181239,null,4066,null,24529,null,1290,null,137595,null,3214,null,19115,null,768,null,0400000US11,District of Columbia,11
13666970,null,25454,null,1322945,null,32503,null,328512,null,16023,null,769768,null,20677,null,224665,null,8152,null,12344025,null,37596,null,2357657,null,17518,null,7508719,null,25040,null,2477649,null,9800,null,0400000US12,Florida,12
