C23002I_001E,C23002I_001EA,C23002I_001M,C23002I_001MA,C23002I_002E,C23002I_002EA,C23002I_002M,C23002I_002MA,C23002I_003E,C23002I_003EA,C23002I_003M,C23002I_003MA,C23002I_004E,C23002I_004EA,C23002I_004M,C23002I_004MA,C23002I_005E,C23002I_005EA,C23002I_005M,C23002I_005MA,C23002I_006E,C23002I_006EA,C23002I_006M,C23002I_006MA,C23002I_007E,C23002I_007EA,C23002I_007M,C23002I_007MA,C23002I_008E,C23002I_008EA,C23002I_008M,C23002I_008MA,C23002I_009E,C23002I_009EA,C23002I_009M,C23002I_009MA,C23002I_010E,C23002I_010EA,C23002I_010M,C23002I_010MA,C23002I_011E,C23002I_011EA,C23002I_011M,C23002I_011MA,C23002I_012E,C23002I_012EA,C23002I_012M,C23002I_012MA,C23002I_013E,C23002I_013EA,C23002I_013M,C23002I_013MA,C23002I_014E,C23002I_014EA,C23002I_014M,C23002I_014MA,C23002I_015E,C23002I_015EA,C23002I_015M,C23002I_015MA,C23002I_016E,C23002I_016EA,C23002I_016M,C23002I_016MA,C23002I_017E,C23002I_017EA,C23002I_017M,C23002I_017MA,C23002I_018E,C23002I_018EA,C23002I_018M,C23002I_018MA,C23002I_019E,C23002I_019EA,C23002I_019M,C23002I_019MA,C23002I_020E,C23002I_020EA,C23002I_020M,C23002I_020MA,C23002I_021E,C23002I_021EA,C23002I_021M,C23002I_021MA,C23002I_022E,C23002I_022EA,C23002I_022M,C23002I_022MA,C23002I_023E,C23002I_023EA,C23002I_023M,C23002I_023MA,C23002I_024E,C23002I_024EA,C23002I_024M,C23002I_024MA,C23002I_025E,C23002I_025EA,C23002I_025M,C23002I_025MA,C23002I_026E,C23002I_026EA,C23002I_026M,C23002I_026MA,C23002I_027E,C23002I_027EA,C23002I_027M,C23002I_027MA,GEO_ID,NAME,state
77991,null,1465,null,44476,null,1316,null,42634,null,1474,null,37243,null,1617,null,693,null,510,null,36550,null,1653,null,35914,null,1689,null,636,null,286,null,5391,null,1023,null,1842,null,740,null,315,null,271,null,315,null,271,null,0,null,267,null,1527,null,722,null,33515,null,1496,null,31652,null,1492,null,17324,null,1471,null,363,null,420,null,16961,null,1454,null,15847,null,1433,null,1114,null,525,null,14328,null,1725,null,1863,null,623,null,88,null,154,null,88,null,154,null,0,null,267,null,1775,null,638,null,0400000US01,Alabama,01
26023,null,768,null,14399,null,874,null,14138,null,910,null,11733,null,1019,null,1120,null,595,null,10613,null,1028,null,9498,null,1054,null,1115,null,512,null,2405,null,773,null,261,null,217,null,97,null,130,null,97,null,130,null,0,null,237,null,164,null,178,null,11624,null,629,null,11118,null,643,null,7851,null,819,null,290,null,206,null,7561,null,800,null,6952,null,893,null,609,null,443,null,3267,null,789,null,506,null,333,null,99,null,163,null,99,null,163,null,0,null,237,null,407,null,299,null,0400000US02,Alaska,02
1245435,null,3285,null,651343,null,2431,null,612778,null,2533,null,499496,null,6223,null,1687,null,559,null,497809,null,6283,null,471802,null,6563,null,26007,null,3384,null,113282,null,5924,null,38565,null,690,null,8248,null,1338,null,7555,null,1284,null,693,null,388,null,30317,null,1483,null,594092,null,2209,null,545332,null,2266,null,324399,null,6287,null,282,null,220,null,324117,null,6269,null,298551,null,6681,null,25566,null,3218,null,220933,null,6331,null,48760,null,721,null,4889,null,950,null,4776,null,925,null,113,null,187,null,43871,null,1275,null,0400000US04,Arizona,04
93333,null,1980,null,52739,null,2541,null,51056,null,2476,null,42260,null,2311,null,57,null,97,null,42203,null,2323,null,39532,null,2489,null,2671,null,1083,null,8796,null,1595,null,1683,null,772,null,810,null,566,null,750,null,562,null,60,null,105,null,873,null,593,null,40594,null,1673,null,39361,null,1627,null,20838,null,2091,null,0,null,267,null,20838,null,2091,null,19062,null,1908,null,1776,null,607,null,18523,null,2114,null,1233,null,503,null,0,null,267,null,0,null,267,null,0,null,267,null,1233,null,503,null,0400000US05,Arkansas,05
9113309,null,7332,null,4692176,null,5198,null,4405247,null,5188,null,3560220,null,12441,null,18612,null,2401,null,3541608,null,12240,null,3302379,null,14502,null,239229,null,9912,null,845027,null,13098,null,286929,null,1250,null,55370,null,3042,null,52383,null,3087,null,2987,null,803,null,231559,null,3198,null,4421133,null,4864,null,4034005,null,4916,null,2464714,null,16583,null,2539,null,739,null,2462175,null,16601,null,2242009,null,15788,null,220166,null,8190,null,1569291,null,16686,null,387128,null,1376,null,37590,null,2657,null,35289,null,2637,null,2301,null,756,null,349538,null,3048,null,0400000US06,California,06
659994,null,1824,null,351871,null,1993,null,330059,null,1931,null,268200,null,4228,null,1799,null,644,null,266401,null,4244,null,250167,null,4272,null,16234,null,2340,null,61859,null,4410,null,21812,null,844,null,4323,null,1062,null,4249,null,1042,null,74,null,125,null,17489,null,1180,null,308123,null,1950,null,280085,null,2020,null,179300,null,5101,null,421,null,311,null,178879,null,5106,null,163251,null,5008,null,15628,null,2255,null,100785,null,4599,null,28038,null,927,null,2989,null,722,null,2576,null,695,null,413,null,322,null,25049,null,1102,null,0400000US08,Colorado,08
285747,null,1379,null,143872,null,1241,null,136110,null,1182,null,108089,null,3083,null,896,null,421,null,107193,null,3106,null,95927,null,3453,null,11266,null,1870,null,28021,null,2957,null,7762,null,338,null,1918,null,621,null,1765,null,612,null,153,null,181,null,5844,null,699,null,141875,null,918,null,131082,null,974,null,88740,null,3003,null,65,null,109,null,88675,null,3028,null,78074,null,2994,null,10601,null,1541,null,42342,null,3192,null,10793,null,443,null,1173,null,440,null,1173,null,440,null,0,null,273,null,9620,null,669,null,0400000US09,Connecticut,09
35913,null,356,null,18959,null,317,null,18250,null,452,null,15055,null,1036,null,367,null,347,null,14688,null,1070,null,13784,null,1212,null,904,null,497,null,3195,null,841,null,709,null,420,null,282,null,268,null,282,null,268,null,0,null,261,null,427,null,300,null,16954,null,412,null,16058,null,616,null,8259,null,932,null,0,null,261,null,8259,null,932,null,7682,null,937,null,577,null,323,null,7799,null,1128,null,896,null,502,null,0,null,261,null,0,null,261,null,0,null,261,null,896,null,502,null,0400000US10,Delaware,10
39029,null,279,null,20760,null,415,null,19782,null,415,null,16234,null,1143,null,141,null,173,null,16093,null,1109,null,15444,null,1160,null,649,null,509,null,3548,null,1215,null,978,null,0,*****,678,null,248,null,678,null,248,null,0,null,300,null,300,null,248,null,18269,null,360,null,16511,null,359,null,12154,null,1415,null,0,null,300,null,12154,null,1415,null,11762,null,1432,null,392,null,358,null,4357,null,1422,null,1758,null,0,*****,591,null,256,null,591,null,256,null,0,null,300,null,1167,null,256,null,0400000US11,District of Columbia,11
2879041,null,3116,null,1452033,null,2956,null,1288648,null,3046,null,1077405,null,7013,null,5251,null,1079,null,1072154,null,7021,null,1008839,null,7957,null,63315,null,4781,null,211243,null,6851,null,163385,null,1105,null,34714,null,3371,null,33228,null,3330,null,1486,null,560,null,128671,null,3457,null,1427008,null,2856,null,1198332,null,2901,null,791322,null,7266,null,1313,null,501,null,790009,null,7221,null,737682,null,8019,null,52327,null,4215,null,407010,null,7349,null,228676,null,1279,null,22164,null,2353,null,20834,null,2201,null,1330,null,589,null,206512,null,2631,null,0400000US12,Florida,12
