B19101A_001E,B19101A_001EA,B19101A_001M,B19101A_001MA,B19101A_002E,B19101A_002EA,B19101A_002M,B19101A_002MA,B19101A_003E,B19101A_003EA,B19101A_003M,B19101A_003MA,B19101A_004E,B19101A_004EA,B19101A_004M,B19101A_004MA,B19101A_005E,B19101A_005EA,B19101A_005M,B19101A_005MA,B19101A_006E,B19101A_006EA,B19101A_006M,B19101A_006MA,B19101A_007E,B19101A_007EA,B19101A_007M,B19101A_007MA,B19101A_008E,B19101A_008EA,B19101A_008M,B19101A_008MA,B19101A_009E,B19101A_009EA,B19101A_009M,B19101A_009MA,B19101A_010E,B19101A_010EA,B19101A_010M,B19101A_010MA,B19101A_011E,B19101A_011EA,B19101A_011M,B19101A_011MA,B19101A_012E,B19101A_012EA,B19101A_012M,B19101A_012MA,B19101A_013E,B19101A_013EA,B19101A_013M,B19101A_013MA,B19101A_014E,B19101A_014EA,B19101A_014M,B19101A_014MA,B19101A_015E,B19101A_015EA,B19101A_015M,B19101A_015MA,B19101A_016E,B19101A_016EA,B19101A_016M,B19101A_016MA,B19101A_017E,B19101A_017EA,B19101A_017M,B19101A_017MA,GEO_ID,NAME,state
909358,null,7921,null,36503,null,3623,null,29314,null,2890,null,41396,null,3542,null,42737,null,3172,null,46352,null,3183,null,50131,null,3134,null,45407,null,2589,null,51396,null,3385,null,42522,null,2970,null,85546,null,3794,null,110044,null,5070,null,141000,null,5933,null,80214,null,3946,null,40692,null,2888,null,34471,null,2329,null,31633,null,2020,null,0400000US01,Alabama,01
120156,null,2666,null,2676,null,773,null,2035,null,609,null,2180,null,769,null,2407,null,689,null,3574,null,969,null,3840,null,814,null,3790,null,864,null,4334,null,951,null,4420,null,970,null,10436,null,1453,null,14739,null,1776,null,20809,null,1744,null,18313,null,1843,null,10320,null,1316,null,9645,null,1375,null,6638,null,998,null,0400000US02,Alaska,02
1190573,null,10938,null,42035,null,3384,null,29439,null,3060,null,38865,null,2880,null,51037,null,4343,null,58796,null,4378,null,59774,null,3730,null,55599,null,3529,null,61406,null,3932,null,57726,null,4036,null,112450,null,5280,null,142568,null,6180,null,182787,null,7268,null,114836,null,5045,null,65406,null,3894,null,57974,null,3527,null,59875,null,3473,null,0400000US04,Arizona,04
614060,null,8366,null,28666,null,2974,null,24661,null,2366,null,33728,null,2206,null,34677,null,3108,null,34999,null,2719,null,35327,null,2758,null,36529,null,2966,null,37177,null,2737,null,32883,null,2900,null,57107,null,3610,null,75328,null,3382,null,80035,null,3921,null,46314,null,3054,null,21490,null,2131,null,17545,null,1940,null,17594,null,1802,null,0400000US05,Arkansas,05
5274646,null,24354,null,160142,null,7231,null,132914,null,6610,null,181394,null,6693,null,205672,null,7274,null,204534,null,7556,null,220628,null,8021,null,204925,null,7840,null,214114,null,8334,null,202320,null,6701,null,386959,null,9237,null,564490,null,12412,null,744375,null,14418,null,570944,null,10277,null,377320,null,9833,null,418199,null,8144,null,485716,null,10565,null,0400000US06,California,06
1027585,null,9827,null,32069,null,3362,null,24570,null,2722,null,32633,null,3590,null,35204,null,2907,null,36798,null,3123,null,38347,null,2637,null,42878,null,3511,null,46749,null,3442,null,43190,null,2997,null,84544,null,3946,null,130475,null,4831,null,166605,null,5664,null,114392,null,4804,null,69483,null,3946,null,66613,null,3776,null,63035,null,3361,null,0400000US08,Colorado,08
724586,null,6308,null,13849,null,2005,null,10312,null,1928,null,14577,null,1925,null,15877,null,1819,null,17700,null,1947,null,22370,null,2387,null,21305,null,2048,null,23446,null,2081,null,28564,null,2802,null,53225,null,3116,null,75999,null,3576,null,120345,null,4976,null,97272,null,4830,null,60041,null,3479,null,62839,null,3131,null,86865,null,3682,null,0400000US09,Connecticut,09
166281,null,3835,null,4303,null,1193,null,2885,null,865,null,4389,null,929,null,4738,null,1039,null,5622,null,1253,null,8080,null,1316,null,5664,null,949,null,6796,null,1334,null,8101,null,1240,null,14553,null,1724,null,19974,null,2058,null,28708,null,2399,null,19361,null,1760,null,12065,null,1386,null,11666,null,1660,null,9376,null,1276,null,0400000US10,Delaware,10
34450,null,1987,null,725,null,528,null,288,null,367,null,146,null,193,null,622,null,685,null,114,null,136,null,691,null,435,null,484,null,570,null,476,null,312,null,279,null,318,null,1271,null,545,null,1555,null,606,null,3080,null,788,null,3429,null,824,null,3878,null,952,null,5467,null,828,null,11945,null,1326,null,0400000US11,District of Columbia,11
3667681,null,21248,null,105077,null,6237,null,98319,null,4970,null,138403,null,7743,null,170983,null,7620,null,183696,null,6909,null,189027,null,6874,null,187464,null,6803,null,188998,null,6509,null,177384,null,7491,null,352803,null,8890,null,451899,null,10209,null,531151,null,12012,null,339354,null,9098,null,180843,null,6619,null,177878,null,7340,null,194402,null,7104,null,0400000US12,Florida,12
