B07004A_001E,B07004A_001EA,B07004A_001M,B07004A_001MA,B07004A_002E,B07004A_002EA,B07004A_002M,B07004A_002MA,B07004A_003E,B07004A_003EA,B07004A_003M,B07004A_003MA,B07004A_004E,B07004A_004EA,B07004A_004M,B07004A_004MA,B07004A_005E,B07004A_005EA,B07004A_005M,B07004A_005MA,B07004A_006E,B07004A_006EA,B07004A_006M,B07004A_006MA,GEO_ID,NAME,state
3216212,null,5722,null,2715859,null,18474,null,274328,null,13531,null,117336,null,8613,null,96784,null,7463,null,11905,null,3117,null,0400000US01,Alabama,01
459058,null,2592,null,366700,null,8239,null,46997,null,6001,null,12048,null,2686,null,27376,null,3438,null,5937,null,2076,null,0400000US02,Alaska,02
4774469,null,21462,null,3866539,null,31060,null,589126,null,18949,null,74579,null,7821,null,205974,null,14148,null,38251,null,6177,null,0400000US04,Arizona,04
2198863,null,6003,null,1823257,null,15393,null,219455,null,11507,null,87020,null,6688,null,63336,null,6264,null,5795,null,1867,null,0400000US05,Arkansas,05
21740653,null,61662,null,18539678,null,73518,null,2091154,null,44889,null,655044,null,21228,null,330052,null,13124,null,124725,null,8467,null,0400000US06,California,06
4006959,null,14485,null,3256066,null,23503,null,380727,null,17371,null,192478,null,11082,null,157922,null,9197,null,19766,null,3041,null,0400000US08,Colorado,08
2756736,null,9243,null,2457434,null,14114,null,179020,null,10536,null,49184,null,5147,null,59441,null,5245,null,11657,null,2446,null,0400000US09,Connecticut,09
619098,null,3157,null,539748,null,6944,null,44284,null,5153,null,5539,null,1723,null,26582,null,3356,null,2945,null,1422,null,0400000US10,Delaware,10
207752,null,3241,null,158677,null,4924,null,18104,null,3023,null,0,null,300,null,27545,null,2721,null,3426,null,913,null,0400000US11,District of Columbia,11
13772119,null,25944,null,11657519,null,35509,null,1222707,null,30469,null,418247,null,15710,null,381213,null,16295,null,92433,null,8843,null,0400000US12,Florida,12
5847295,null,14755,null,4930768,null,28101,null,419924,null,18468,null,282929,null,12934,null,190740,null,12969,null,22934,null,4149,null,0400000US13,Georgia,13
