B05003H_001E,B05003H_001EA,B05003H_001M,B05003H_001MA,B05003H_002E,B05003H_002EA,B05003H_002M,B05003H_002MA,B05003H_003E,B05003H_003EA,B05003H_003M,B05003H_003MA,B05003H_004E,B05003H_004EA,B05003H_004M,B05003H_004MA,B05003H_005E,B05003H_005EA,B05003H_005M,B05003H_005MA,B05003H_006E,B05003H_006EA,B05003H_006M,B05003H_006MA,B05003H_007E,B05003H_007EA,B05003H_007M,B05003H_007MA,B05003H_008E,B05003H_008EA,B05003H_008M,B05003H_008MA,B05003H_009E,B05003H_009EA,B05003H_009M,B05003H_009MA,B05003H_010E,B05003H_010EA,B05003H_010M,B05003H_010MA,B05003H_011E,B05003H_011EA,B05003H_011M,B05003H_011MA,B05003H_012E,B05003H_012EA,B05003H_012M,B05003H_012MA,B05003H_013E,B05003H_013EA,B05003H_013M,B05003H_013MA,B05003H_014E,B05003H_014EA,B05003H_014M,B05003H_014MA,B05003H_015E,B05003H_015EA,B05003H_015M,B05003H_015MA,B05003H_016E,B05003H_016EA,B05003H_016M,B05003H_016MA,B05003H_017E,B05003H_017EA,B05003H_017M,B05003H_017MA,B05003H_018E,B05003H_018EA,B05003H_018M,B05003H_018MA,B05003H_019E,B05003H_019EA,B05003H_019M,B05003H_019MA,B05003H_020E,B05003H_020EA,B05003H_020M,B05003H_020MA,B05003H_021E,B05003H_021EA,B05003H_021M,B05003H_021MA,B05003H_022E,B05003H_022EA,B05003H_022M,B05003H_022MA,B05003H_023E,B05003H_023EA,B05003H_023M,B05003H_023MA,GEO_ID,NAME,state
3176698,null,3091,null,1550828,null,2078,null,353610,null,1671,null,352404,null,1979,null,1206,null,697,null,535,null,437,null,671,null,503,null,1197218,null,1925,null,1184572,null,2826,null,12646,null,1915,null,5124,null,1180,null,7522,null,1754,null,1625870,null,2586,null,339691,null,2404,null,337682,null,2484,null,2009,null,948,null,595,null,406,null,1414,null,882,null,1286179,null,1101,null,1269255,null,2561,null,16924,null,2059,null,8509,null,1355,null,8415,null,1383,null,0400000US01,Alabama,01
451084,null,559,null,237662,null,555,null,53812,null,495,null,53407,null,498,null,405,null,217,null,238,null,161,null,167,null,148,null,183850,null,146,null,176779,null,1877,null,7071,null,1838,null,3307,null,830,null,3764,null,1570,null,213422,null,520,null,49542,null,485,null,48996,null,762,null,546,null,599,null,153,null,229,null,393,null,547,null,163880,null,216,null,156506,null,1318,null,7374,null,1303,null,3408,null,916,null,3966,null,843,null,0400000US02,Alaska,02
3728592,null,2905,null,1837739,null,2099,null,374555,null,1545,null,369914,null,1829,null,4641,null,1151,null,1518,null,680,null,3123,null,1069,null,1463184,null,1115,null,1386891,null,5829,null,76293,null,5477,null,40955,null,3658,null,35338,null,3718,null,1890853,null,1963,null,355918,null,1207,null,352355,null,1590,null,3563,null,1118,null,805,null,424,null,2758,null,1145,null,1534935,null,1260,null,1452788,null,5153,null,82147,null,4914,null,49952,null,3675,null,32195,null,3334,null,0400000US04,Arizona,04
2151732,null,1043,null,1052198,null,2061,null,241535,null,1756,null,240457,null,1785,null,1078,null,717,null,599,null,569,null,479,null,407,null,810663,null,810,null,804569,null,1624,null,6094,null,1350,null,3015,null,793,null,3079,null,955,null,1099534,null,1927,null,231675,null,1800,null,230899,null,1881,null,776,null,481,null,168,null,170,null,608,null,444,null,867859,null,617,null,859614,null,1486,null,8245,null,1375,null,4983,null,1074,null,3262,null,889,null,0400000US05,Arkansas,05
15523249,null,8158,null,7696389,null,5118,null,1470453,null,3098,null,1439526,null,4182,null,30927,null,2662,null,8232,null,1743,null,22695,null,2625,null,6225936,null,3436,null,5624869,null,12207,null,601067,null,11984,null,382293,null,10548,null,218774,null,9192,null,7826860,null,5288,null,1395749,null,2671,null,1359548,null,4663,null,36201,null,3844,null,8567,null,1786,null,27634,null,3558,null,6431111,null,4399,null,5749765,null,12959,null,681346,null,12740,null,445822,null,11016,null,235524,null,9502,null,0400000US06,California,06
3459571,null,2474,null,1725861,null,1925,null,371589,null,1672,null,367715,null,2092,null,3874,null,1301,null,822,null,471,null,3052,null,1238,null,1354272,null,697,null,1310860,null,3490,null,43412,null,3355,null,23591,null,2244,null,19821,null,2384,null,1733710,null,2307,null,351114,null,1647,null,347178,null,2005,null,3936,null,1273,null,974,null,399,null,2962,null,1237,null,1382596,null,1342,null,1328682,null,3918,null,53914,null,3773,null,30972,null,2715,null,22942,null,2569,null,0400000US08,Colorado,08
2592457,null,3033,null,1258649,null,1726,null,276811,null,680,null,270710,null,1502,null,6101,null,1245,null,2646,null,757,null,3455,null,1055,null,981838,null,1393,null,903140,null,4764,null,78698,null,4715,null,44244,null,2927,null,34454,null,3440,null,1333808,null,1828,null,262096,null,892,null,256303,null,1307,null,5793,null,1125,null,2306,null,853,null,3487,null,896,null,1071712,null,1488,null,983962,null,4637,null,87750,null,4593,null,53816,null,3567,null,33934,null,2962,null,0400000US09,Connecticut,09
592385,null,1294,null,286846,null,951,null,61686,null,863,null,61370,null,908,null,316,null,220,null,71,null,118,null,245,null,186,null,225160,null,309,null,219234,null,1161,null,5926,null,1112,null,3911,null,820,null,2015,null,643,null,305539,null,881,null,58558,null,776,null,58180,null,827,null,378,null,299,null,331,null,286,null,47,null,78,null,246981,null,163,null,238913,null,1177,null,8068,null,1154,null,5074,null,754,null,2994,null,893,null,0400000US10,Delaware,10
190282,null,600,null,95093,null,491,null,11351,null,300,null,11018,null,278,null,333,null,278,null,80,null,136,null,253,null,242,null,83742,null,491,null,74693,null,1774,null,9049,null,1671,null,2801,null,1062,null,6248,null,1340,null,95189,null,402,null,10309,null,232,null,10128,null,292,null,181,null,180,null,0,null,300,null,181,null,180,null,84880,null,329,null,75196,null,1937,null,9684,null,1897,null,3387,null,1013,null,6297,null,1483,null,0400000US11,District of Columbia,11
11054036,null,6480,null,5408088,null,5927,null,1035301,null,2977,null,1018112,null,3916,null,17189,null,2593,null,4486,null,1510,null,12703,null,1927,null,4372787,null,5387,null,4087003,null,10494,null,285784,null,9309,null,153972,null,6989,null,131812,null,6126,null,5645948,null,5232,null,982941,null,2865,null,967120,null,3684,null,15821,null,2314,null,4480,null,1061,null,11341,null,2034,null,4663007,null,4467,null,4325055,null,11943,null,337952,null,10819,null,187919,null,8032,null,150033,null,6696,null,0400000US12,Florida,12
