B15002D_001E,B15002D_001EA,B15002D_001M,B15002D_001MA,B15002D_002E,B15002D_002EA,B15002D_002M,B15002D_002MA,B15002D_003E,B15002D_003EA,B15002D_003M,B15002D_003MA,B15002D_004E,B15002D_004EA,B15002D_004M,B15002D_004MA,B15002D_005E,B15002D_005EA,B15002D_005M,B15002D_005MA,B15002D_006E,B15002D_006EA,B15002D_006M,B15002D_006MA,B15002D_007E,B15002D_007EA,B15002D_007M,B15002D_007MA,B15002D_008E,B15002D_008EA,B15002D_008M,B15002D_008MA,B15002D_009E,B15002D_009EA,B15002D_009M,B15002D_009MA,B15002D_010E,B15002D_010EA,B15002D_010M,B15002D_010MA,B15002D_011E,B15002D_011EA,B15002D_011M,B15002D_011MA,B15002D_012E,B15002D_012EA,B15002D_012M,B15002D_012MA,B15002D_013E,B15002D_013EA,B15002D_013M,B15002D_013MA,B15002D_014E,B15002D_014EA,B15002D_014M,B15002D_014MA,B15002D_015E,B15002D_015EA,B15002D_015M,B15002D_015MA,B15002D_016E,B15002D_016EA,B15002D_016M,B15002D_016MA,B15002D_017E,B15002D_017EA,B15002D_017M,B15002D_017MA,GEO_ID,NAME,state
28991,null,1894,null,12951,null,1150,null,518,null,282,null,1097,null,485,null,2378,null,648,null,1155,null,517,null,678,null,535,null,2726,null,934,null,4399,null,806,null,16040,null,1191,null,1591,null,575,null,1690,null,614,null,3883,null,990,null,1205,null,493,null,988,null,440,null,3637,null,853,null,3046,null,608,null,0400000US01,Alabama,01
22650,null,1164,null,9908,null,1019,null,989,null,420,null,438,null,351,null,2837,null,842,null,2135,null,680,null,1184,null,513,null,1427,null,639,null,898,null,417,null,12742,null,803,null,2411,null,774,null,637,null,433,null,3317,null,785,null,2021,null,608,null,955,null,442,null,2903,null,643,null,498,null,234,null,0400000US02,Alaska,02
103244,null,2056,null,47178,null,1351,null,1676,null,717,null,2441,null,847,null,5679,null,1355,null,5357,null,1032,null,3218,null,1001,null,13380,null,1564,null,15427,null,1794,null,56066,null,1378,null,5019,null,1070,null,3782,null,748,null,10910,null,1721,null,6242,null,1044,null,3926,null,907,null,17084,null,1788,null,9103,null,1522,null,0400000US04,Arizona,04
19846,null,1543,null,9164,null,845,null,660,null,354,null,333,null,251,null,2626,null,741,null,1249,null,572,null,309,null,269,null,2257,null,792,null,1730,null,764,null,10682,null,1140,null,1608,null,551,null,777,null,368,null,3022,null,926,null,1387,null,610,null,513,null,319,null,2240,null,722,null,1135,null,412,null,0400000US05,Arkansas,05
3146263,null,9282,null,1465235,null,6246,null,91647,null,4949,null,80210,null,5388,null,233349,null,8062,null,209650,null,7036,null,113352,null,5627,null,462878,null,10023,null,274149,null,8934,null,1681028,null,5312,null,179520,null,5939,null,96340,null,5231,null,288479,null,8722,null,220235,null,7000,null,132318,null,5114,null,545487,null,10841,null,218649,null,7291,null,0400000US06,California,06
87688,null,2245,null,39605,null,2057,null,2777,null,792,null,2663,null,846,null,5952,null,1214,null,5143,null,1276,null,2671,null,919,null,10936,null,1605,null,9463,null,1401,null,48083,null,1370,null,4018,null,1097,null,3171,null,797,null,10811,null,1787,null,6974,null,1244,null,2232,null,846,null,12649,null,1688,null,8228,null,1177,null,0400000US08,Colorado,08
79219,null,1390,null,39286,null,916,null,1007,null,486,null,1899,null,718,null,4876,null,1165,null,3343,null,877,null,1922,null,649,null,9573,null,1322,null,16666,null,1794,null,39933,null,1016,null,3035,null,1239,null,2888,null,806,null,6042,null,1333,null,2876,null,830,null,2539,null,1168,null,11999,null,1312,null,10554,null,1411,null,0400000US09,Connecticut,09
17933,null,767,null,8414,null,429,null,257,null,248,null,293,null,230,null,1413,null,621,null,400,null,267,null,365,null,246,null,2291,null,679,null,3395,null,770,null,9519,null,549,null,637,null,286,null,377,null,286,null,2055,null,832,null,972,null,497,null,663,null,374,null,2876,null,696,null,1939,null,545,null,0400000US10,Delaware,10
13061,null,855,null,5601,null,635,null,143,null,203,null,131,null,163,null,790,null,659,null,754,null,897,null,0,null,300,null,1546,null,618,null,2237,null,732,null,7460,null,371,null,344,null,293,null,56,null,93,null,552,null,366,null,501,null,314,null,175,null,216,null,2223,null,563,null,3609,null,693,null,0400000US11,District of Columbia,11
279806,null,3954,null,125823,null,2525,null,5038,null,1128,null,7695,null,1317,null,22233,null,2727,null,16297,null,2535,null,10633,null,1662,null,34977,null,2905,null,28950,null,2980,null,153983,null,2825,null,10987,null,1484,null,10673,null,1752,null,33311,null,2932,null,19072,null,2350,null,11521,null,1826,null,47832,null,3162,null,20587,null,1885,null,0400000US12,Florida,12
