B01001I_001E,B01001I_001EA,B01001I_001M,B01001I_001MA,B01001I_002E,B01001I_002EA,B01001I_002M,B01001I_002MA,B01001I_003E,B01001I_003EA,B01001I_003M,B01001I_003MA,B01001I_004E,B01001I_004EA,B01001I_004M,B01001I_004MA,B01001I_005E,B01001I_005EA,B01001I_005M,B01001I_005MA,B01001I_006E,B01001I_006EA,B01001I_006M,B01001I_006MA,B01001I_007E,B01001I_007EA,B01001I_007M,B01001I_007MA,B01001I_008E,B01001I_008EA,B01001I_008M,B01001I_008MA,B01001I_009E,B01001I_009EA,B01001I_009M,B01001I_009MA,B01001I_010E,B01001I_010EA,B01001I_010M,B01001I_010MA,B01001I_011E,B01001I_011EA,B01001I_011M,B01001I_011MA,B01001I_012E,B01001I_012EA,B01001I_012M,B01001I_012MA,B01001I_013E,B01001I_013EA,B01001I_013M,B01001I_013MA,B01001I_014E,B01001I_014EA,B01001I_014M,B01001I_014MA,B01001I_015E,B01001I_015EA,B01001I_015M,B01001I_015MA,B01001I_016E,B01001I_016EA,B01001I_016M,B01001I_016MA,B01001I_017E,B01001I_017EA,B01001I_017M,B01001I_017MA,B01001I_018E,B01001I_018EA,B01001I_018M,B01001I_018MA,B01001I_019E,B01001I_019EA,B01001I_019M,B01001I_019MA,B01001I_020E,B01001I_020EA,B01001I_020M,B01001I_020MA,B01001I_021E,B01001I_021EA,B01001I_021M,B01001I_021MA,B01001I_022E,B01001I_022EA,B01001I_022M,B01001I_022MA,B01001I_023E,B01001I_023EA,B01001I_023M,B01001I_023MA,B01001I_024E,B01001I_024EA,B01001I_024M,B01001I_024MA,B01001I_025E,B01001I_025EA,B01001I_025M,B01001I_025MA,B01001I_026E,B01001I_026EA,B01001I_026M,B01001I_026MA,B01001I_027E,B01001I_027EA,B01001I_027M,B01001I_027MA,B01001I_028E,B01001I_028EA,B01001I_028M,B01001I_028MA,B01001I_029E,B01001I_029EA,B01001I_029M,B01001I_029MA,B01001I_030E,B01001I_030EA,B01001I_030M,B01001I_030MA,B01001I_031E,B01001I_031EA,B01001I_031M,B01001I_031MA,GEO_ID,NAME,state
119415,null,1324,null,64723,null,2126,null,9150,null,1552,null,5143,null,1289,null,4525,null,966,null,2850,null,948,null,2353,null,665,null,7882,null,1128,null,6666,null,1121,null,7325,null,904,null,8703,null,1409,null,5774,null,1333,null,2510,null,644,null,1326,null,629,null,445,null,243,null,71,null,144,null,54692,null,2171,null,9393,null,1432,null,6322,null,1144,null,4450,null,891,null,2885,null,815,null,1601,null,562,null,6122,null,1098,null,5247,null,1088,null,4398,null,1249,null,6801,null,1027,null,3742,null,994,null,1868,null,645,null,1140,null,426,null,551,null,371,null,172,null,167,null,0400000US01,Alabama,01
38440,null,799,null,20973,null,1019,null,2288,null,471,null,2267,null,718,null,1568,null,541,null,1113,null,250,null,1368,null,613,null,2688,null,731,null,1430,null,548,null,1251,null,276,null,3139,null,802,null,2549,null,788,null,1051,null,432,null,151,null,160,null,42,null,73,null,68,null,128,null,17467,null,896,null,2280,null,599,null,1645,null,438,null,1686,null,458,null,662,null,386,null,469,null,348,null,1997,null,556,null,1321,null,578,null,1265,null,575,null,2867,null,696,null,1701,null,628,null,1068,null,354,null,309,null,270,null,132,null,137,null,65,null,112,null,0400000US02,Alaska,02
1881719,null,1390,null,977387,null,1663,null,115253,null,1093,null,95780,null,3692,null,97243,null,3715,null,52899,null,799,null,29954,null,1236,null,79400,null,1604,null,99606,null,1361,null,90532,null,846,null,140693,null,1426,null,89078,null,1484,null,48384,null,776,null,24152,null,675,null,11012,null,1040,null,3401,null,994,null,904332,null,1692,null,108447,null,716,null,97208,null,3746,null,87233,null,3673,null,48731,null,799,null,27783,null,1251,null,68972,null,1669,null,79225,null,1223,null,76301,null,996,null,125048,null,1174,null,86166,null,837,null,50458,null,585,null,27740,null,682,null,15221,null,1089,null,5799,null,1166,null,0400000US04,Arizona,04
146542,null,1151,null,79934,null,2615,null,10366,null,1305,null,8473,null,1360,null,6770,null,1362,null,3694,null,943,null,2594,null,790,null,7051,null,1226,null,8291,null,960,null,8517,null,1671,null,10819,null,1280,null,8710,null,1422,null,2966,null,725,null,1034,null,592,null,649,null,513,null,0,null,267,null,66608,null,2318,null,9997,null,1068,null,9552,null,1169,null,5856,null,1113,null,2626,null,650,null,2323,null,746,null,6000,null,1160,null,5120,null,935,null,5570,null,744,null,9258,null,1260,null,6848,null,1342,null,2225,null,651,null,854,null,446,null,126,null,260,null,253,null,263,null,0400000US05,Arkansas,05
13220888,null,0,*****,6795931,null,1732,null,706952,null,1400,null,621389,null,8475,null,640486,null,8384,null,379271,null,1206,null,235763,null,2143,null,588008,null,2236,null,643324,null,2013,null,597615,null,2049,null,1044870,null,1987,null,697439,null,2899,null,353885,null,1299,null,171623,null,1419,null,92551,null,2680,null,22755,null,2715,null,6424957,null,1733,null,672694,null,1014,null,594255,null,9538,null,613901,null,9469,null,358331,null,1254,null,222817,null,1293,null,527343,null,1821,null,524605,null,1471,null,516895,null,1394,null,937193,null,1385,null,681985,null,1336,null,387810,null,1392,null,209784,null,1063,null,135667,null,3812,null,41677,null,3621,null,0400000US06,California,06
965884,null,0,*****,509478,null,2259,null,57752,null,1189,null,47149,null,2775,null,44652,null,2773,null,23947,null,1155,null,16626,null,1299,null,39737,null,1320,null,53046,null,1414,null,50499,null,1755,null,75826,null,2247,null,50462,null,1637,null,27970,null,1181,null,13899,null,931,null,6462,null,929,null,1451,null,534,null,456406,null,2257,null,53224,null,1051,null,47655,null,2486,null,39645,null,2312,null,22447,null,686,null,13658,null,1153,null,34174,null,1541,null,39851,null,1216,null,40227,null,1347,null,62187,null,1417,null,47471,null,1676,null,27829,null,827,null,16055,null,986,null,8737,null,852,null,3246,null,841,null,0400000US08,Colorado,08
403375,null,0,*****,203579,null,1150,null,20665,null,1017,null,17323,null,1630,null,18498,null,1569,null,11079,null,618,null,7801,null,925,null,17144,null,665,null,20875,null,1106,null,17808,null,613,null,31834,null,930,null,21516,null,862,null,11274,null,522,null,5312,null,589,null,2013,null,549,null,437,null,348,null,199796,null,1150,null,19534,null,538,null,16744,null,1636,null,17937,null,1497,null,10878,null,870,null,6344,null,384,null,14567,null,524,null,16892,null,515,null,16793,null,500,null,32937,null,835,null,22865,null,767,null,13512,null,443,null,6706,null,516,null,2937,null,649,null,1150,null,561,null,0400000US09,Connecticut,09
56153,null,0,*****,29890,null,694,null,4132,null,240,null,3148,null,562,null,2523,null,522,null,1289,null,352,null,1263,null,615,null,2288,null,566,null,3066,null,211,null,2820,null,166,null,4813,null,752,null,2474,null,752,null,1365,null,450,null,550,null,381,null,107,null,139,null,52,null,86,null,26263,null,693,null,3872,null,240,null,3168,null,600,null,1933,null,574,null,1351,null,264,null,491,null,252,null,1963,null,433,null,2200,null,171,null,2559,null,510,null,4500,null,740,null,1943,null,307,null,1387,null,384,null,535,null,375,null,262,null,282,null,99,null,139,null,0400000US10,Delaware,10
49016,null,0,*****,25765,null,432,null,2138,null,0,*****,1306,null,493,null,1405,null,493,null,965,null,432,null,675,null,386,null,2436,null,386,null,3692,null,0,*****,3023,null,0,*****,4678,null,0,*****,2879,null,0,*****,1590,null,0,*****,791,null,192,null,127,null,155,null,60,null,111,null,23251,null,432,null,2038,null,0,*****,1385,null,483,null,1355,null,483,null,604,null,432,null,345,null,227,null,2580,null,227,null,2764,null,0,*****,2320,null,0,*****,3794,null,0,*****,2523,null,0,*****,1785,null,0,*****,969,null,0,*****,371,null,319,null,418,null,318,null,0400000US11,District of Columbia,11
3757424,null,1943,null,1905799,null,3000,null,164224,null,1783,null,131455,null,4333,null,132729,null,4453,null,80448,null,1233,null,58265,null,2396,null,147226,null,2481,null,166277,null,2876,null,165953,null,2297,null,320922,null,2727,null,233684,null,2722,null,141231,null,1215,null,92499,null,1550,null,56071,null,2408,null,14815,null,2225,null,1851625,null,2725,null,155003,null,1635,null,125596,null,4956,null,122424,null,4663,null,74342,null,1122,null,52109,null,1785,null,126535,null,2179,null,129104,null,1838,null,139393,null,1733,null,301027,null,1879,null,236349,null,1984,null,161067,null,1077,null,119066,null,1313,null,79728,null,2822,null,29882,null,2585,null,0400000US12,Florida,12
