B98021_001E,B98021_001EA,B98021_002E,B98021_002EA,B98021_003E,B98021_003EA,B98021_004E,B98021_004EA,B98021_005E,B98021_005EA,B98021_006E,B98021_006EA,B98021_007E,B98021_007EA,B98021_008E,B98021_008EA,B98021_009E,B98021_009EA,GEO_ID,NAME,state
98.8,null,1.2,null,0.4,null,0.1,null,0.1,null,0.0,null,0.0,null,0.5,null,0.2,null,0400000US01,Alabama,01
97.6,null,2.4,null,1.2,null,0.3,null,0.4,null,0.3,null,0.0,null,0.2,null,0.0,null,0400000US02,Alaska,02
98.5,null,1.5,null,0.7,null,0.0,null,0.3,null,0.1,null,0.0,null,0.4,null,0.0,null,0400000US04,Arizona,04
98.2,null,1.8,null,0.6,null,0.1,null,0.6,null,0.1,null,0.1,null,0.4,null,0.1,null,0400000US05,Arkansas,05
97.3,null,2.7,null,1.2,null,0.0,null,0.5,null,0.1,null,0.0,null,0.4,null,0.4,null,0400000US06,California,06
98.0,null,2.0,null,1.0,null,0.0,null,0.4,null,0.1,null,0.0,null,0.4,null,0.1,null,0400000US08,Colorado,08
96.6,null,3.4,null,1.5,null,0.4,null,0.6,null,0.1,null,0.1,null,0.4,null,0.4,null,0400000US09,Connecticut,09
95.8,null,4.2,null,1.9,null,0.3,null,1.0,null,0.0,null,0.0,null,0.7,null,0.3,null,0400000US10,Delaware,10
91.7,null,8.3,null,2.4,null,2.3,null,2.3,null,0.3,null,0.0,null,0.4,null,0.6,null,0400000US11,District of Columbia,11
98.3,null,1.7,null,0.6,null,0.2,null,0.2,null,0.0,null,0.0,null,0.5,null,0.2,null,0400000US12,Florida,12
98.1,null,1.9,null,0.6,null,0.2,null,0.3,null,0.0,null,0.0,null,0.5,null,0.3,null,0400000US13,Georgia,13
97.3,null,2.7,null,0.9,null,0.0,null,0.5,null,0.1,null,0.0,null,0.6,null,0.5,null,0400000US15,Hawaii,15
97.8,null,2.2,null,1.1,null,0.1,null,0.5,null,0.0,null,0.0,null,0.4,null,0.1,null,0400000US16,Idaho,16
98.1,null,1.9,null,0.4,null,0.4,null,0.4,null,0.0,null,0.0,null,0.5,null,0.2,null,0400000US17,Illinois,17
99.0,null,1.0,null,0.2,null,0.1,null,0.1,null,0.0,null,0.0,null,0.5,null,0.0,null,0400000US18,Indiana,18
99.1,null,0.9,null,0.2,null,0.0,null,0.1,null,0.0,null,0.0,null,0.5,null,0.0,null,0400000US19,Iowa,19
98.0,null,2.0,null,1.1,null,0.0,null,0.3,null,0.0,null,0.0,null,0.5,null,0.0,null,0400000US20,Kansas,20
98.0,null,2.0,null,0.6,null,0.3,null,0.4,null,0.0,null,0.1,null,0.5,null,0.1,null,0400000US21,Kentucky,21
97.0,null,3.0,null,1.0,null,0.0,null,1.3,null,0.1,null,0.0,null,0.4,null,0.1,null,0400000US22,Louisiana,22
96.8,null,3.2,null,1.5,null,0.4,null,0.6,null,0.1,null,0.0,null,0.4,null,0.3,null,0400000US23,Maine,23
94.6,null,5.4,null,1.7,null,0.6,null,2.0,null,0.1,null,0.1,null,0.4,null,0.5,null,0400000US24,Maryland,24
96.3,null,3.7,null,1.8,null,0.0,null,0.9,null,0.1,null,0.0,null,0.5,null,0.3,null,0400000US25,Massachusetts,25
98.4,null,1.6,null,0.9,null,0.2,null,0.0,null,0.0,null,0.0,null,0.4,null,0.0,null,0400000US26,Michigan,26
98.5,null,1.5,null,0.4,null,0.0,null,0.4,null,0.0,null,0.0,null,0.4,null,0.1,null,0400000US27,Minnesota,27
97.4,null,2.6,null,1.1,null,0.1,null,0.7,null,0.2,null,0.0,null,0.4,null,0.1,null,0400000US28,Mississippi,28
98.4,null,1.6,null,0.6,null,0.1,null,0.4,null,0.0,null,0.0,null,0.4,null,0.0,null,0400000US29,Missouri,29
98.7,null,1.3,null,0.3,null,0.0,null,0.2,null,0.2,null,0.0,null,0.5,null,0.0,null,0400000US30,Montana,30
98.1,null,1.9,null,0.8,null,0.0,null,0.4,null,0.0,null,0.0,null,0.6,null,0.0,null,0400000US31,Nebraska,31
