C17001G_001E,C17001G_001EA,C17001G_001M,C17001G_001MA,C17001G_002E,C17001G_002EA,C17001G_002M,C17001G_002MA,C17001G_003E,C17001G_003EA,C17001G_003M,C17001G_003MA,C17001G_004E,C17001G_004EA,C17001G_004M,C17001G_004MA,C17001G_005E,C17001G_005EA,C17001G_005M,C17001G_005MA,C17001G_006E,C17001G_006EA,C17001G_006M,C17001G_006MA,C17001G_007E,C17001G_007EA,C17001G_007M,C17001G_007MA,C17001G_008E,C17001G_008EA,C17001G_008M,C17001G_008MA,C17001G_009E,C17001G_009EA,C17001G_009M,C17001G_009MA,C17001G_010E,C17001G_010EA,C17001G_010M,C17001G_010MA,C17001G_011E,C17001G_011EA,C17001G_011M,C17001G_011MA,C17001G_012E,C17001G_012EA,C17001G_012M,C17001G_012MA,C17001G_013E,C17001G_013EA,C17001G_013M,C17001G_013MA,C17001G_014E,C17001G_014EA,C17001G_014M,C17001G_014MA,C17001G_015E,C17001G_015EA,C17001G_015M,C17001G_015MA,C17001G_016E,C17001G_016EA,C17001G_016M,C17001G_016MA,C17001G_017E,C17001G_017EA,C17001G_017M,C17001G_017MA,C17001G_018E,C17001G_018EA,C17001G_018M,C17001G_018MA,C17001G_019E,C17001G_019EA,C17001G_019M,C17001G_019MA,GEO_ID,NAME,state
58792,null,4714,null,13064,null,2458,null,7288,null,1765,null,4993,null,1586,null,2256,null,746,null,39,null,67,null,5776,null,1678,null,2792,null,1242,null,2668,null,896,null,316,null,253,null,45728,null,4388,null,21059,null,2214,null,8989,null,1658,null,10378,null,1587,null,1692,null,740,null,24669,null,3206,null,11225,null,2306,null,11433,null,1651,null,2011,null,684,null,0400000US01,Alabama,01
45113,null,3853,null,5912,null,1616,null,3594,null,1157,null,2370,null,933,null,1200,null,618,null,24,null,38,null,2318,null,735,null,1070,null,436,null,1146,null,464,null,102,null,123,null,39201,null,3858,null,20909,null,2580,null,11815,null,1957,null,8526,null,1329,null,568,null,278,null,18292,null,2203,null,8996,null,1659,null,8750,null,1283,null,546,null,256,null,0400000US02,Alaska,02
149530,null,9489,null,20336,null,3267,null,8540,null,2007,null,5429,null,1581,null,2927,null,1005,null,184,null,214,null,11796,null,2188,null,5412,null,1386,null,6083,null,1474,null,301,null,261,null,129194,null,9195,null,62649,null,5385,null,34251,null,3619,null,26310,null,2866,null,2088,null,576,null,66545,null,5243,null,36321,null,3897,null,27833,null,2817,null,2391,null,593,null,0400000US04,Arizona,04
47033,null,4401,null,13025,null,2519,null,6307,null,1363,null,4263,null,1179,null,1914,null,695,null,130,null,118,null,6718,null,1624,null,3498,null,1114,null,2880,null,935,null,340,null,209,null,34008,null,3241,null,17155,null,2246,null,7515,null,1453,null,7956,null,1295,null,1684,null,606,null,16853,null,2029,null,6976,null,1369,null,7698,null,1247,null,2179,null,653,null,0400000US05,Arkansas,05
1223429,null,26121,null,141533,null,10205,null,65217,null,6470,null,37063,null,4801,null,26822,null,3417,null,1332,null,630,null,76316,null,5800,null,35566,null,3881,null,37334,null,3174,null,3416,null,1010,null,1081896,null,25454,null,555417,null,15484,null,276560,null,9307,null,258851,null,9600,null,20006,null,1746,null,526479,null,14235,null,250440,null,10693,null,251631,null,8320,null,24408,null,2217,null,0400000US06,California,06
121507,null,7098,null,19702,null,3340,null,9068,null,1853,null,5680,null,1365,null,3177,null,1030,null,211,null,163,null,10634,null,1953,null,5553,null,1525,null,4843,null,1181,null,238,null,205,null,101805,null,6559,null,50487,null,4137,null,24504,null,2632,null,24587,null,2992,null,1396,null,564,null,51318,null,4238,null,24228,null,3005,null,24940,null,2879,null,2150,null,605,null,0400000US08,Colorado,08
67102,null,5500,null,9093,null,2559,null,4703,null,1455,null,3223,null,1211,null,1338,null,658,null,142,null,173,null,4390,null,1548,null,2375,null,912,null,1782,null,841,null,233,null,231,null,58009,null,5199,null,28238,null,3144,null,14357,null,2273,null,13310,null,2296,null,571,null,324,null,29771,null,3647,null,13964,null,2428,null,14199,null,2186,null,1608,null,605,null,0400000US09,Connecticut,09
16410,null,3338,null,2558,null,1489,null,1102,null,823,null,1041,null,818,null,61,null,86,null,0,null,261,null,1456,null,832,null,881,null,721,null,575,null,315,null,0,null,261,null,13852,null,2993,null,7407,null,1982,null,4091,null,1363,null,3260,null,1235,null,56,null,73,null,6445,null,1652,null,3673,null,1286,null,2646,null,869,null,126,null,128,null,0400000US10,Delaware,10
8776,null,1706,null,827,null,531,null,506,null,419,null,45,null,72,null,461,null,423,null,0,null,300,null,321,null,317,null,0,null,300,null,321,null,317,null,0,null,300,null,7949,null,1638,null,2642,null,1081,null,896,null,458,null,1545,null,723,null,201,null,307,null,5307,null,1033,null,1890,null,749,null,3263,null,859,null,154,null,154,null,0400000US11,District of Columbia,11
307403,null,12790,null,50502,null,5823,null,22218,null,3052,null,12251,null,2455,null,8327,null,1576,null,1640,null,791,null,28284,null,3696,null,13926,null,2917,null,12549,null,1945,null,1809,null,577,null,256901,null,11424,null,130299,null,6874,null,57652,null,4154,null,64425,null,4363,null,8222,null,1219,null,126602,null,7166,null,53864,null,4583,null,62882,null,4219,null,9856,null,1405,null,0400000US12,Florida,12
114454,null,7991,null,17224,null,3013,null,7270,null,1575,null,4681,null,1222,null,2274,null,784,null,315,null,204,null,9954,null,2029,null,5269,null,1301,null,4199,null,1136,null,486,null,286,null,97230,null,7354,null,47537,null,5024,null,26883,null,3986,null,18630,null,2667,null,2024,null,653,null,49693,null,4122,null,24254,null,2760,null,22281,null,2651,null,3158,null,960,null,0400000US13,Georgia,13
281459,null,11316,null,24663,null,4426,null,11653,null,2674,null,5623,null,1937,null,5958,null,1423,null,72,null,93,null,13010,null,2586,null,4826,null,1499,null,7345,null,1451,null,839,null,473,null,256796,null,11400,null,131353,null,7025,null,52760,null,3450,null,73103,null,4842,null,5490,null,1032,null,125443,null,6710,null,48228,null,3514,null,69730,null,4583,null,7485,null,1151,null,0400000US15,Hawaii,15
30987,null,2700,null,6718,null,1563,null,2541,null,831,null,1598,null,589,null,943,null,470,null,0,null,257,null,4177,null,1181,null,1551,null,706,null,2534,null,749,null,92,null,113,null,24269,null,2640,null,12805,null,1608,null,6772,null,1383,null,5539,null,989,null,494,null,271,null,11464,null,1772,null,5161,null,1209,null,5819,null,1142,null,484,null,254,null,0400000US16,Idaho,16
192457,null,11396,null,29958,null,4244,null,14158,null,2723,null,8956,null,1847,null,4953,null,1336,null,249,null,158,null,15800,null,2488,null,8979,null,1779,null,6560,null,1371,null,261,null,185,null,162499,null,9747,null,79803,null,5237,null,42497,null,3677,null,34313,null,3570,null,2993,null,710,null,82696,null,5880,null,40889,null,3999,null,37368,null,3289,null,4439,null,1168,null,0400000US17,Illinois,17
102646,null,6489,null,23922,null,3531,null,10819,null,1866,null,7590,null,1658,null,3166,null,1028,null,63,null,78,null,13103,null,2429,null,7211,null,1715,null,5815,null,1327,null,77,null,146,null,78724,null,5914,null,38833,null,3823,null,20620,null,2951,null,16652,null,1724,null,1561,null,524,null,39891,null,3353,null,19884,null,2508,null,18693,null,2020,null,1314,null,533,null,0400000US18,Indiana,18
38938,null,3707,null,11563,null,2349,null,5824,null,1333,null,4501,null,1284,null,1323,null,666,null,0,null,226,null,5739,null,1510,null,3640,null,1307,null,1978,null,643,null,121,null,141,null,27375,null,2971,null,14161,null,2045,null,8052,null,1523,null,5708,null,1114,null,401,null,258,null,13214,null,1826,null,6871,null,1425,null,5816,null,1157,null,527,null,232,null,0400000US19,Iowa,19
69242,null,5231,null,12304,null,2586,null,5877,null,1521,null,3788,null,1249,null,1912,null,669,null,177,null,186,null,6427,null,1574,null,2629,null,980,null,3667,null,975,null,131,null,118,null,56938,null,4513,null,28212,null,2393,null,14546,null,1819,null,12816,null,1607,null,850,null,369,null,28726,null,3239,null,14430,null,2090,null,12924,null,2069,null,1372,null,483,null,0400000US20,Kansas,20
52226,null,4889,null,14187,null,2669,null,6893,null,1555,null,4911,null,1318,null,1771,null,779,null,211,null,189,null,7294,null,1689,null,3264,null,1182,null,3651,null,1083,null,379,null,246,null,38039,null,4107,null,18370,null,2355,null,9960,null,1754,null,7259,null,1300,null,1151,null,570,null,19669,null,2967,null,9271,null,1768,null,9025,null,1731,null,1373,null,589,null,0400000US21,Kentucky,21
52994,null,6143,null,17758,null,5039,null,8403,null,2441,null,6277,null,2067,null,1820,null,709,null,306,null,251,null,9355,null,3099,null,5348,null,2224,null,3339,null,1166,null,668,null,326,null,35236,null,4358,null,17330,null,2418,null,7946,null,1723,null,8451,null,1519,null,933,null,443,null,17906,null,2854,null,7634,null,1532,null,8935,null,1559,null,1337,null,460,null,0400000US22,Louisiana,22
22775,null,2838,null,5530,null,1688,null,1920,null,703,null,993,null,680,null,875,null,425,null,52,null,60,null,3610,null,1216,null,1980,null,915,null,1586,null,634,null,44,null,68,null,17245,null,2618,null,8309,null,1829,null,3811,null,1126,null,4134,null,912,null,364,null,354,null,8936,null,1425,null,3788,null,1037,null,4336,null,916,null,812,null,483,null,0400000US23,Maine,23
111643,null,7408,null,9059,null,2246,null,4205,null,1214,null,2803,null,1002,null,1238,null,551,null,164,null,183,null,4854,null,1442,null,2070,null,714,null,2705,null,1106,null,79,null,135,null,102584,null,7406,null,50203,null,4174,null,25739,null,3109,null,22994,null,2231,null,1470,null,469,null,52381,null,4603,null,25197,null,2975,null,25275,null,2874,null,1909,null,609,null,0400000US24,Maryland,24
115535,null,8221,null,22238,null,4261,null,9248,null,2301,null,6240,null,2220,null,2688,null,806,null,320,null,247,null,12990,null,2498,null,4938,null,1483,null,7660,null,1517,null,392,null,437,null,93297,null,7690,null,47251,null,4368,null,21484,null,2643,null,24679,null,3394,null,1088,null,356,null,46046,null,4686,null,21556,null,2671,null,22945,null,2895,null,1545,null,724,null,0400000US25,Massachusetts,25
183155,null,8133,null,43658,null,5493,null,19562,null,3036,null,12050,null,2379,null,7236,null,1343,null,276,null,233,null,24096,null,3461,null,11582,null,1889,null,11872,null,2373,null,642,null,328,null,139497,null,6651,null,66975,null,4151,null,34395,null,2990,null,30432,null,2442,null,2148,null,566,null,72522,null,4383,null,34819,null,3068,null,33742,null,2669,null,3961,null,763,null,0400000US26,Michigan,26
93098,null,6638,null,16011,null,3046,null,7139,null,1637,null,5120,null,1568,null,1960,null,594,null,59,null,84,null,8872,null,1775,null,4918,null,1155,null,3943,null,1238,null,11,null,20,null,77087,null,6832,null,39972,null,3870,null,22365,null,2563,null,16762,null,2402,null,845,null,393,null,37115,null,3856,null,22172,null,2870,null,13632,null,1986,null,1311,null,563,null,0400000US27,Minnesota,27
25694,null,4323,null,6759,null,2528,null,2874,null,1101,null,2104,null,1010,null,462,null,382,null,308,null,290,null,3885,null,1716,null,1574,null,988,null,2092,null,1023,null,219,null,212,null,18935,null,3174,null,9640,null,1724,null,4639,null,1288,null,4597,null,1158,null,404,null,271,null,9295,null,2009,null,5040,null,1524,null,3926,null,1056,null,329,null,229,null,0400000US28,Mississippi,28
105747,null,7117,null,20656,null,2769,null,8856,null,1359,null,5088,null,990,null,3672,null,996,null,96,null,104,null,11800,null,1876,null,5877,null,1281,null,5587,null,1264,null,336,null,271,null,85091,null,7158,null,42228,null,4234,null,18539,null,2967,null,21062,null,2365,null,2627,null,659,null,42863,null,4176,null,20208,null,2822,null,19962,null,2656,null,2693,null,787,null,0400000US29,Missouri,29
