B12002A_001E,B12002A_001EA,B12002A_001M,B12002A_001MA,B12002A_002E,B12002A_002EA,B12002A_002M,B12002A_002MA,B12002A_003E,B12002A_003EA,B12002A_003M,B12002A_003MA,B12002A_004E,B12002A_004EA,B12002A_004M,B12002A_004MA,B12002A_005E,B12002A_005EA,B12002A_005M,B12002A_005MA,B12002A_006E,B12002A_006EA,B12002A_006M,B12002A_006MA,B12002A_007E,B12002A_007EA,B12002A_007M,B12002A_007MA,B12002A_008E,B12002A_008EA,B12002A_008M,B12002A_008MA,B12002A_009E,B12002A_009EA,B12002A_009M,B12002A_009MA,B12002A_010E,B12002A_010EA,B12002A_010M,B12002A_010MA,B12002A_011E,B12002A_011EA,B12002A_011M,B12002A_011MA,B12002A_012E,B12002A_012EA,B12002A_012M,B12002A_012MA,B12002A_013E,B12002A_013EA,B12002A_013M,B12002A_013MA,GEO_ID,NAME,state
2659175,null,4337,null,1289674,null,2911,null,315741,null,6749,null,777914,null,10141,null,17518,null,2192,null,35733,null,2936,null,142768,null,6047,null,1369501,null,2625,null,244710,null,5956,null,765150,null,9625,null,26129,null,2338,null,165226,null,5061,null,168286,null,5950,null,0400000US01,Alabama,01
378226,null,1847,null,199451,null,1218,null,62969,null,2728,null,107943,null,2909,null,3564,null,1014,null,3259,null,786,null,21716,null,2188,null,178775,null,1119,null,42279,null,2213,null,100716,null,3246,null,3313,null,1126,null,8262,null,1068,null,24205,null,2547,null,0400000US02,Alaska,02
3887516,null,14121,null,1925061,null,8814,null,607539,null,11761,null,1014660,null,13058,null,26031,null,3686,null,53750,null,4029,null,223081,null,8624,null,1962455,null,7778,null,467550,null,10005,null,978186,null,13144,null,39193,null,4313,null,198170,null,6149,null,279356,null,9286,null,0400000US04,Arizona,04
1814097,null,3729,null,884346,null,3045,null,215905,null,5651,null,526954,null,7321,null,13971,null,2065,null,24874,null,1882,null,102642,null,4895,null,929751,null,2468,null,159615,null,4952,null,521049,null,7355,null,19550,null,2362,null,115031,null,3579,null,114506,null,5013,null,0400000US05,Arkansas,05
17815031,null,43303,null,8866571,null,26433,null,3162049,null,23240,null,4522159,null,29344,null,157055,null,6767,null,215435,null,7533,null,809873,null,13377,null,8948460,null,23353,null,2506030,null,23746,null,4256746,null,28178,null,228364,null,7496,null,849056,null,10226,null,1108264,null,17365,null,0400000US06,California,06
3286257,null,11020,null,1645482,null,6973,null,527234,null,9075,null,881446,null,9876,null,20739,null,2524,null,32768,null,2725,null,183295,null,6503,null,1640775,null,5847,null,398767,null,6707,null,860245,null,9441,null,29126,null,3874,null,127027,null,4282,null,225610,null,6442,null,0400000US08,Colorado,08
2299692,null,7073,null,1105029,null,4803,null,349203,null,6446,null,620314,null,7919,null,11283,null,2016,null,31222,null,2411,null,93007,null,4960,null,1194663,null,3940,null,307121,null,5735,null,605768,null,8085,null,15512,null,2247,null,133047,null,4411,null,133215,null,5109,null,0400000US09,Connecticut,09
516858,null,1697,null,247769,null,1106,null,74365,null,2672,null,138857,null,4058,null,2684,null,841,null,8916,null,1217,null,22947,null,2265,null,269089,null,944,null,65722,null,2952,null,140640,null,4222,null,2793,null,759,null,30576,null,2046,null,29358,null,2524,null,0400000US10,Delaware,10
187898,null,2514,null,93411,null,1742,null,53541,null,2320,null,31879,null,2260,null,1878,null,834,null,1095,null,452,null,5018,null,1292,null,94487,null,1357,null,48844,null,1811,null,30725,null,2063,null,1007,null,558,null,4724,null,763,null,9187,null,1510,null,0400000US11,District of Columbia,11
11684465,null,20090,null,5693782,null,13330,null,1627184,null,17814,null,3116948,null,21384,null,96000,null,5942,null,199776,null,6200,null,653874,null,14244,null,5990683,null,11288,null,1245012,null,13491,null,3035966,null,23988,null,122313,null,7183,null,759388,null,11359,null,828004,null,14543,null,0400000US12,Florida,12
4742343,null,10246,null,2333337,null,8169,null,660513,null,10020,null,1346666,null,13602,null,31163,null,3603,null,48826,null,3536,null,246169,null,8599,null,2409006,null,5461,null,505514,null,9131,null,1320201,null,12511,null,42149,null,3764,null,239765,null,5847,null,301377,null,8674,null,0400000US13,Georgia,13
