C23002C_001E,C23002C_001EA,C23002C_001M,C23002C_001MA,C23002C_002E,C23002C_002EA,C23002C_002M,C23002C_002MA,C23002C_003E,C23002C_003EA,C23002C_003M,C23002C_003MA,C23002C_004E,C23002C_004EA,C23002C_004M,C23002C_004MA,C23002C_005E,C23002C_005EA,C23002C_005M,C23002C_005MA,C23002C_006E,C23002C_006EA,C23002C_006M,C23002C_006MA,C23002C_007E,C23002C_007EA,C23002C_007M,C23002C_007MA,C23002C_008E,C23002C_008EA,C23002C_008M,C23002C_008MA,C23002C_009E,C23002C_009EA,C23002C_009M,C23002C_009MA,C23002C_010E,C23002C_010EA,C23002C_010M,C23002C_010MA,C23002C_011E,C23002C_011EA,C23002C_011M,C23002C_011MA,C23002C_012E,C23002C_012EA,C23002C_012M,C23002C_012MA,C23002C_013E,C23002C_013EA,C23002C_013M,C23002C_013MA,C23002C_014E,C23002C_014EA,C23002C_014M,C23002C_014MA,C23002C_015E,C23002C_015EA,C23002C_015M,C23002C_015MA,C23002C_016E,C23002C_016EA,C23002C_016M,C23002C_016MA,C23002C_017E,C23002C_017EA,C23002C_017M,C23002C_017MA,C23002C_018E,C23002C_018EA,C23002C_018M,C23002C_018MA,C23002C_019E,C23002C_019EA,C23002C_019M,C23002C_019MA,C23002C_020E,C23002C_020EA,C23002C_020M,C23002C_020MA,C23002C_021E,C23002C_021EA,C23002C_021M,C23002C_021MA,C23002C_022E,C23002C_022EA,C23002C_022M,C23002C_022MA,C23002C_023E,C23002C_023EA,C23002C_023M,C23002C_023MA,C23002C_024E,C23002C_024EA,C23002C_024M,C23002C_024MA,C23002C_025E,C23002C_025EA,C23002C_025M,C23002C_025MA,C23002C_026E,C23002C_026EA,C23002C_026M,C23002C_026MA,C23002C_027E,C23002C_027EA,C23002C_027M,C23002C_027MA,GEO_ID,NAME,state
16650,null,1761,null,8291,null,1252,null,7542,null,1235,null,5369,null,981,null,78,null,89,null,5291,null,979,null,4889,null,904,null,402,null,311,null,2173,null,684,null,749,null,315,null,28,null,46,null,28,null,46,null,0,null,267,null,721,null,316,null,8359,null,1259,null,7668,null,1203,null,4697,null,979,null,0,null,267,null,4697,null,979,null,4208,null,938,null,489,null,353,null,2971,null,669,null,691,null,310,null,32,null,56,null,32,null,56,null,0,null,267,null,659,null,306,null,0400000US01,Alabama,01
66984,null,2290,null,33194,null,1883,null,30248,null,1790,null,19062,null,1672,null,301,null,317,null,18761,null,1665,null,13058,null,1385,null,5703,null,817,null,11186,null,1278,null,2946,null,503,null,418,null,224,null,364,null,220,null,54,null,49,null,2528,null,405,null,33790,null,1410,null,30098,null,1385,null,20423,null,1408,null,0,null,237,null,20423,null,1408,null,16163,null,1477,null,4260,null,784,null,9675,null,1067,null,3692,null,645,null,590,null,300,null,576,null,302,null,14,null,24,null,3102,null,575,null,0400000US02,Alaska,02
201626,null,4072,null,98147,null,2836,null,90543,null,2702,null,55293,null,2827,null,227,null,202,null,55066,null,2786,null,45557,null,2805,null,9509,null,1408,null,35250,null,2453,null,7604,null,602,null,1114,null,486,null,1114,null,486,null,0,null,292,null,6490,null,664,null,103479,null,2286,null,92042,null,2180,null,54142,null,3044,null,61,null,107,null,54081,null,3054,null,45704,null,2929,null,8377,null,1578,null,37900,null,2545,null,11437,null,999,null,415,null,236,null,374,null,217,null,41,null,72,null,11022,null,997,null,0400000US04,Arizona,04
12728,null,1536,null,6898,null,1152,null,6299,null,1100,null,4958,null,978,null,11,null,19,null,4947,null,980,null,4390,null,986,null,557,null,393,null,1341,null,484,null,599,null,337,null,0,null,267,null,0,null,267,null,0,null,267,null,599,null,337,null,5830,null,981,null,5219,null,964,null,3258,null,727,null,0,null,267,null,3258,null,727,null,3013,null,664,null,245,null,201,null,1961,null,510,null,611,null,333,null,0,null,267,null,0,null,267,null,0,null,267,null,611,null,333,null,0400000US05,Arkansas,05
213303,null,8135,null,105331,null,5275,null,96076,null,5193,null,67845,null,4254,null,1923,null,648,null,65922,null,4191,null,58362,null,3768,null,7560,null,1432,null,28231,null,2869,null,9255,null,1089,null,1637,null,589,null,1581,null,591,null,56,null,94,null,7618,null,952,null,107972,null,4823,null,95079,null,4522,null,61484,null,3974,null,230,null,215,null,61254,null,3969,null,55568,null,3772,null,5686,null,1259,null,33595,null,3180,null,12893,null,1537,null,2522,null,818,null,2424,null,806,null,98,null,159,null,10371,null,1330,null,0400000US06,California,06
35420,null,3246,null,18637,null,2202,null,17504,null,2035,null,13726,null,1967,null,170,null,147,null,13556,null,1973,null,12333,null,1767,null,1223,null,582,null,3778,null,878,null,1133,null,498,null,185,null,177,null,111,null,124,null,74,null,125,null,948,null,452,null,16783,null,2167,null,15291,null,2056,null,9962,null,1712,null,0,null,275,null,9962,null,1712,null,8913,null,1746,null,1049,null,682,null,5329,null,1164,null,1492,null,546,null,151,null,176,null,151,null,176,null,0,null,275,null,1341,null,487,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
44581,null,3290,null,22359,null,2692,null,19492,null,2522,null,13113,null,2140,null,247,null,233,null,12866,null,2045,null,11711,null,1976,null,1155,null,593,null,6379,null,1307,null,2867,null,767,null,623,null,349,null,623,null,349,null,0,null,303,null,2244,null,721,null,22222,null,2364,null,18322,null,2107,null,10383,null,1621,null,0,null,303,null,10383,null,1621,null,9461,null,1570,null,922,null,499,null,7939,null,1489,null,3900,null,1406,null,244,null,235,null,244,null,235,null,0,null,303,null,3656,null,1370,null,0400000US12,Florida,12
