B17016_001E,B17016_001EA,B17016_001M,B17016_001MA,B17016_002E,B17016_002EA,B17016_002M,B17016_002MA,B17016_003E,B17016_003EA,B17016_003M,B17016_003MA,B17016_004E,B17016_004EA,B17016_004M,B17016_004MA,B17016_005E,B17016_005EA,B17016_005M,B17016_005MA,B17016_006E,B17016_006EA,B17016_006M,B17016_006MA,B17016_007E,B17016_007EA,B17016_007M,B17016_007MA,B17016_008E,B17016_008EA,B17016_008M,B17016_008MA,B17016_009E,B17016_009EA,B17016_009M,B17016_009MA,B17016_010E,B17016_010EA,B17016_010M,B17016_010MA,B17016_011E,B17016_011EA,B17016_011M,B17016_011MA,B17016_012E,B17016_012EA,B17016_012M,B17016_012MA,B17016_013E,B17016_013EA,B17016_013M,B17016_013MA,B17016_014E,B17016_014EA,B17016_014M,B17016_014MA,B17016_015E,B17016_015EA,B17016_015M,B17016_015MA,B17016_016E,B17016_016EA,B17016_016M,B17016_016MA,B17016_017E,B17016_017EA,B17016_017M,B17016_017MA,B17016_018E,B17016_018EA,B17016_018M,B17016_018MA,B17016_019E,B17016_019EA,B17016_019M,B17016_019MA,B17016_020E,B17016_020EA,B17016_020M,B17016_020MA,B17016_021E,B17016_021EA,B17016_021M,B17016_021MA,B17016_022E,B17016_022EA,B17016_022M,B17016_022MA,B17016_023E,B17016_023EA,B17016_023M,B17016_023MA,B17016_024E,B17016_024EA,B17016_024M,B17016_024MA,B17016_025E,B17016_025EA,B17016_025M,B17016_025MA,B17016_026E,B17016_026EA,B17016_026M,B17016_026MA,B17016_027E,B17016_027EA,B17016_027M,B17016_027MA,B17016_028E,B17016_028EA,B17016_028M,B17016_028MA,B17016_029E,B17016_029EA,B17016_029M,B17016_029MA,B17016_030E,B17016_030EA,B17016_030M,B17016_030MA,B17016_031E,B17016_031EA,B17016_031M,B17016_031MA,B17016_032E,B17016_032EA,B17016_032M,B17016_032MA,B17016_033E,B17016_033EA,B17016_033M,B17016_033MA,B17016_034E,B17016_034EA,B17016_034M,B17016_034MA,B17016_035E,B17016_035EA,B17016_035M,B17016_035MA,B17016_036E,B17016_036EA,B17016_036M,B17016_036MA,B17016_037E,B17016_037EA,B17016_037M,B17016_037MA,B17016_038E,B17016_038EA,B17016_038M,B17016_038MA,B17016_039E,B17016_039EA,B17016_039M,B17016_039MA,B17016_040E,B17016_040EA,B17016_040M,B17016_040MA,B17016_041E,B17016_041EA,B17016_041M,B17016_041MA,B17016_042E,B17016_042EA,B17016_042M,B17016_042MA,B17016_043E,B17016_043EA,B17016_043M,B17016_043MA,B17016_044E,B17016_044EA,B17016_044M,B17016_044MA,B17016_045E,B17016_045EA,B17016_045M,B17016_045MA,B17016_046E,B17016_046EA,B17016_046M,B17016_046MA,B17016_047E,B17016_047EA,B17016_047M,B17016_047MA,GEO_ID,NAME,state
1245126,null,10267,null,162943,null,6985,null,47410,null,3265,null,7814,null,1429,null,674,null,413,null,1670,null,885,null,5470,null,1182,null,14140,null,2280,null,1441,null,559,null,5483,null,1423,null,7216,null,1283,null,25456,null,2520,null,2409,null,807,null,4199,null,926,null,18848,null,2135,null,115533,null,5973,null,14196,null,2492,null,1870,null,939,null,5087,null,1357,null,7239,null,1768,null,101337,null,5260,null,15168,null,2344,null,42467,null,3426,null,43702,null,3535,null,1082183,null,10796,null,844063,null,11532,null,466862,null,8355,null,232241,null,7034,null,122264,null,5465,null,112357,null,4825,null,163138,null,6877,null,68836,null,4373,null,52240,null,3413,null,42062,null,3162,null,214063,null,6117,null,54356,null,3261,null,29128,null,2713,null,130579,null,3864,null,238120,null,7617,null,69330,null,4513,null,41889,null,3321,null,13179,null,2105,null,14262,null,2103,null,168790,null,6197,null,88454,null,4895,null,37643,null,2625,null,42693,null,2885,null,0400000US01,Alabama,01
162345,null,3643,null,10479,null,1522,null,2763,null,655,null,147,null,91,null,10,null,19,null,73,null,65,null,64,null,58,null,1465,null,548,null,11,null,20,null,903,null,473,null,551,null,240,null,1151,null,346,null,80,null,126,null,283,null,148,null,788,null,344,null,7716,null,1347,null,1883,null,491,null,191,null,188,null,1185,null,403,null,507,null,238,null,5833,null,1275,null,442,null,357,null,3507,null,927,null,1884,null,654,null,151866,null,3431,null,119498,null,3693,null,63449,null,3737,null,30352,null,2761,null,21414,null,2205,null,11683,null,1447,null,38769,null,2460,null,12544,null,1684,null,18581,null,1438,null,7644,null,1145,null,17280,null,1509,null,4234,null,980,null,4383,null,998,null,8663,null,884,null,32368,null,2434,null,11556,null,1713,null,6439,null,1222,null,4321,null,996,null,796,null,379,null,20812,null,1761,null,11039,null,1402,null,6356,null,1026,null,3417,null,769,null,0400000US02,Alaska,02
1491772,null,13954,null,151973,null,6630,null,61105,null,4394,null,15539,null,2288,null,798,null,466,null,1725,null,672,null,13016,null,2177,null,15748,null,2339,null,1797,null,796,null,5852,null,1472,null,8099,null,1634,null,29818,null,2784,null,6815,null,1800,null,4691,null,1273,null,18312,null,2095,null,90868,null,5411,null,17000,null,2498,null,4331,null,1276,null,7110,null,1587,null,5559,null,1353,null,73868,null,4510,null,12398,null,2329,null,29376,null,2534,null,32094,null,3040,null,1339799,null,14101,null,1053439,null,13199,null,530467,null,10119,null,249593,null,6873,null,140023,null,6303,null,140851,null,5542,null,236154,null,7467,null,91207,null,4769,null,85735,null,4356,null,59212,null,3962,null,286818,null,6623,null,65030,null,4442,null,35805,null,2216,null,185983,null,4944,null,286360,null,8101,null,95701,null,5924,null,64219,null,4906,null,18724,null,2539,null,12758,null,1531,null,190659,null,6341,null,110686,null,5915,null,46184,null,3401,null,33789,null,2978,null,0400000US04,Arizona,04
756113,null,10348,null,103529,null,5709,null,39058,null,3164,null,7057,null,1343,null,819,null,448,null,1522,null,584,null,4716,null,1133,null,15083,null,2275,null,1399,null,691,null,7579,null,1472,null,6105,null,1401,null,16918,null,1922,null,2200,null,797,null,3770,null,914,null,10948,null,1513,null,64471,null,4545,null,8333,null,1515,null,1176,null,702,null,3499,null,1152,null,3658,null,1021,null,56138,null,4189,null,8794,null,1754,null,28664,null,3011,null,18680,null,2125,null,652584,null,8478,null,531017,null,8564,null,278418,null,7328,null,148317,null,5387,null,72874,null,4081,null,57227,null,3988,null,115554,null,5299,null,47529,null,3140,null,39461,null,2852,null,28564,null,2517,null,137045,null,4429,null,33899,null,2764,null,18334,null,1999,null,84812,null,3174,null,121567,null,5267,null,36544,null,3490,null,21968,null,2623,null,7952,null,1553,null,6624,null,1257,null,85023,null,4446,null,43740,null,2978,null,21058,null,2260,null,20225,null,2113,null,0400000US05,Arkansas,05
8330684,null,27121,null,774183,null,13795,null,324337,null,8008,null,87230,null,4453,null,4174,null,1149,null,14198,null,1969,null,68858,null,4113,null,100531,null,4965,null,9036,null,1780,null,33683,null,2691,null,57812,null,3490,null,136576,null,5277,null,26078,null,2746,null,27131,null,2845,null,83367,null,4456,null,449846,null,10788,null,75843,null,5463,null,15782,null,2185,null,33495,null,3467,null,26566,null,3250,null,374003,null,9905,null,51606,null,3799,null,150245,null,6397,null,172152,null,6103,null,7556501,null,27990,null,5741409,null,29582,null,3055630,null,26507,null,1412453,null,18677,null,826308,null,12305,null,816869,null,14608,null,1427480,null,16253,null,530613,null,12163,null,558307,null,11942,null,338560,null,7029,null,1258299,null,14593,null,364505,null,9293,null,184776,null,6229,null,709018,null,10407,null,1815092,null,18672,null,625609,null,12139,null,393383,null,11262,null,147525,null,6298,null,84701,null,4320,null,1189483,null,15516,null,616314,null,12018,null,322225,null,8057,null,250944,null,9009,null,0400000US06,California,06
1202485,null,10691,null,100762,null,5794,null,42466,null,3763,null,9978,null,1940,null,670,null,449,null,1916,null,809,null,7392,null,1739,null,14799,null,2045,null,544,null,349,null,6046,null,1348,null,8209,null,1616,null,17689,null,2424,null,3727,null,1109,null,3784,null,1049,null,10178,null,1722,null,58296,null,4342,null,9708,null,1845,null,2072,null,815,null,4942,null,1345,null,2694,null,765,null,48588,null,3847,null,8592,null,1696,null,24236,null,2901,null,15760,null,2394,null,1101723,null,9674,null,891960,null,8790,null,497417,null,8685,null,243279,null,6453,null,154789,null,5870,null,99349,null,4667,null,227815,null,5429,null,94373,null,4046,null,90768,null,4209,null,42674,null,2438,null,166728,null,5329,null,46516,null,3834,null,26445,null,2378,null,93767,null,3453,null,209763,null,7543,null,78093,null,4952,null,52970,null,4168,null,17293,null,2581,null,7830,null,1700,null,131670,null,5798,null,74938,null,4065,null,37948,null,3385,null,18784,null,1986,null,0400000US08,Colorado,08
885471,null,7409,null,50353,null,3653,null,12002,null,1758,null,2322,null,957,null,13,null,23,null,616,null,456,null,1693,null,829,null,4554,null,976,null,393,null,263,null,1817,null,763,null,2344,null,844,null,5126,null,1049,null,351,null,302,null,794,null,486,null,3981,null,933,null,38351,null,3207,null,4965,null,1087,null,743,null,383,null,2235,null,788,null,1987,null,787,null,33386,null,2966,null,3487,null,1068,null,16119,null,2094,null,13780,null,1818,null,835118,null,6915,null,661740,null,8003,null,365404,null,6467,null,180938,null,6433,null,109951,null,3988,null,74515,null,3646,null,158044,null,5531,null,73445,null,3947,null,54002,null,3011,null,30597,null,2160,null,138292,null,4447,null,38481,null,2894,null,21186,null,2062,null,78625,null,3342,null,173378,null,6463,null,46656,null,3822,null,29836,null,2932,null,10478,null,1651,null,6342,null,1152,null,126722,null,4738,null,70525,null,4011,null,33436,null,3048,null,22761,null,2045,null,0400000US09,Connecticut,09
224451,null,4325,null,16916,null,2128,null,4532,null,966,null,864,null,510,null,104,null,123,null,129,null,210,null,631,null,415,null,1394,null,565,null,191,null,233,null,280,null,183,null,923,null,499,null,2274,null,636,null,503,null,480,null,265,null,189,null,1506,null,505,null,12384,null,1845,null,1922,null,784,null,44,null,73,null,1097,null,632,null,781,null,465,null,10462,null,1635,null,1580,null,746,null,5020,null,1079,null,3862,null,990,null,207535,null,4750,null,158450,null,5204,null,85604,null,4229,null,46815,null,3115,null,21329,null,1912,null,17460,null,1982,null,34822,null,2132,null,17352,null,2030,null,10150,null,1025,null,7320,null,1079,null,38024,null,2531,null,8666,null,1406,null,5268,null,1042,null,24090,null,1501,null,49085,null,3391,null,14286,null,2066,null,9804,null,1804,null,2876,null,887,null,1606,null,590,null,34799,null,2648,null,19159,null,2168,null,8980,null,1626,null,6660,null,1194,null,0400000US10,Delaware,10
108181,null,3697,null,14098,null,2048,null,1841,null,751,null,105,null,123,null,0,null,300,null,0,null,300,null,105,null,123,null,312,null,183,null,0,null,300,null,210,null,145,null,102,null,130,null,1424,null,696,null,0,null,300,null,0,null,300,null,1424,null,696,null,12257,null,1930,null,701,null,357,null,0,null,300,null,166,null,161,null,535,null,350,null,11556,null,1898,null,1022,null,594,null,3330,null,1017,null,7204,null,1538,null,94083,null,3637,null,53949,null,2793,null,29458,null,2049,null,18160,null,1802,null,7266,null,1007,null,4032,null,1137,null,13027,null,1528,null,4700,null,980,null,5795,null,1036,null,2532,null,747,null,11464,null,1576,null,4030,null,1070,null,1304,null,542,null,6130,null,916,null,40134,null,2974,null,8733,null,1480,null,5506,null,1191,null,1413,null,607,null,1814,null,601,null,31401,null,2731,null,17769,null,2117,null,6817,null,1263,null,6815,null,1203,null,0400000US11,District of Columbia,11
4626215,null,26538,null,397771,null,11413,null,150096,null,5696,null,25839,null,2997,null,1590,null,611,null,5336,null,1387,null,18913,null,2639,null,39684,null,3261,null,3182,null,1065,null,15659,null,2383,null,20843,null,2085,null,84573,null,4443,null,10052,null,2032,null,11652,null,1880,null,62869,null,3748,null,247675,null,8906,null,34598,null,3680,null,9337,null,2071,null,12332,null,2100,null,12929,null,1846,null,213077,null,8911,null,45205,null,3800,null,87966,null,6076,null,79906,null,4786,null,4228444,null,24996,null,3264916,null,24612,null,1614452,null,20878,null,849369,null,16068,null,396379,null,10456,null,368704,null,9157,null,683583,null,12722,null,270104,null,7904,null,241388,null,7796,null,172091,null,6365,null,966881,null,10687,null,196650,null,6829,null,115088,null,4367,null,655143,null,8833,null,963528,null,16986,null,296716,null,9012,null,196148,null,8006,null,60459,null,4103,null,40109,null,3802,null,666812,null,14215,null,378462,null,9843,null,160090,null,6614,null,128260,null,5683,null,0400000US12,Florida,12
