C22002_001E,C22002_001EA,C22002_001M,C22002_001MA,C22002_002E,C22002_002EA,C22002_002M,C22002_002MA,C22002_003E,C22002_003EA,C22002_003M,C22002_003MA,C22002_004E,C22002_004EA,C22002_004M,C22002_004MA,C22002_005E,C22002_005EA,C22002_005M,C22002_005MA,C22002_006E,C22002_006EA,C22002_006M,C22002_006MA,C22002_007E,C22002_007EA,C22002_007M,C22002_007MA,GEO_ID,NAME,state
1816313,null,9214,null,177891,null,5673,null,112235,null,4433,null,65656,null,4073,null,1638422,null,10835,null,507362,null,8653,null,1131060,null,11414,null,0400000US01,Alabama,01
236421,null,2731,null,17462,null,1903,null,11727,null,1779,null,5735,null,994,null,218959,null,2847,null,79568,null,3094,null,139391,null,3173,null,0400000US02,Alaska,02
2251546,null,9458,null,155043,null,6571,null,102717,null,5858,null,52326,null,3760,null,2096503,null,11070,null,669326,null,10799,null,1427177,null,10688,null,0400000US04,Arizona,04
1102734,null,8133,null,131688,null,5916,null,81391,null,4891,null,50297,null,3839,null,971046,null,8082,null,296493,null,5921,null,674553,null,7046,null,0400000US05,Arkansas,05
12200672,null,20297,null,525622,null,12422,null,435666,null,11635,null,89956,null,4196,null,11675050,null,21931,null,4221891,null,21651,null,7453159,null,26141,null,0400000US06,California,06
1859965,null,9746,null,91624,null,5510,null,57932,null,5124,null,33692,null,2928,null,1768341,null,10801,null,572821,null,9766,null,1195520,null,13569,null,0400000US08,Colorado,08
1320714,null,5183,null,74637,null,4907,null,35777,null,3556,null,38860,null,3526,null,1246077,null,6962,null,415781,null,7148,null,830296,null,7348,null,0400000US09,Connecticut,09
328477,null,3041,null,23266,null,2821,null,14621,null,2251,null,8645,null,1454,null,305211,null,3513,null,96897,null,3572,null,208314,null,3940,null,0400000US10,Delaware,10
251039,null,2911,null,23092,null,2442,null,12240,null,1955,null,10852,null,1632,null,227947,null,3498,null,41881,null,2830,null,186066,null,3784,null,0400000US11,District of Columbia,11
7088960,null,21361,null,412606,null,9989,null,213184,null,8500,null,199422,null,7106,null,6676354,null,23148,null,1930987,null,17101,null,4745367,null,19593,null,0400000US12,Florida,12
3417115,null,14784,null,271505,null,8163,null,173532,null,7266,null,97973,null,5206,null,3145610,null,15002,null,1100083,null,14782,null,2045527,null,13828,null,0400000US13,Georgia,13
439685,null,3621,null,26917,null,2534,null,13412,null,2021,null,13505,null,1853,null,412768,null,4088,null,140965,null,4436,null,271803,null,5199,null,0400000US15,Hawaii,15
560567,null,4368,null,34588,null,2959,null,21444,null,2375,null,13144,null,1987,null,525979,null,5177,null,187795,null,4750,null,338184,null,5971,null,0400000US16,Idaho,16
4759579,null,13538,null,382846,null,9761,null,230736,null,8232,null,152110,null,5039,null,4376733,null,17233,null,1447084,null,15131,null,2929649,null,17423,null,0400000US17,Illinois,17
2462278,null,10822,null,204735,null,5946,null,115828,null,5181,null,88907,null,3933,null,2257543,null,11412,null,722994,null,10917,null,1534549,null,11028,null,0400000US18,Indiana,18
1214353,null,5829,null,98407,null,4115,null,55056,null,3210,null,43351,null,3045,null,1115946,null,7020,null,327317,null,6055,null,788629,null,6530,null,0400000US19,Iowa,19
1088835,null,6197,null,68388,null,4236,null,37991,null,3297,null,30397,null,2519,null,1020447,null,7607,null,340099,null,6482,null,680348,null,6982,null,0400000US20,Kansas,20
1655767,null,11246,null,205888,null,6526,null,112292,null,5069,null,93596,null,4763,null,1449879,null,12168,null,440762,null,9017,null,1009117,null,10611,null,0400000US21,Kentucky,21
1597111,null,7810,null,193696,null,6924,null,115644,null,5361,null,78052,null,4412,null,1403415,null,9224,null,445732,null,9589,null,957683,null,10103,null,0400000US22,Louisiana,22
543952,null,5337,null,66779,null,2741,null,30863,null,2350,null,35916,null,2184,null,477173,null,5638,null,133366,null,4233,null,343807,null,4622,null,0400000US23,Maine,23
2082458,null,8390,null,101626,null,4383,null,63087,null,4261,null,38539,null,3430,null,1980832,null,9346,null,668776,null,10556,null,1312056,null,9856,null,0400000US24,Maryland,24
2449133,null,9336,null,161642,null,6262,null,81621,null,4958,null,80021,null,4569,null,2287491,null,10925,null,714303,null,9615,null,1573188,null,13462,null,0400000US25,Massachusetts,25
3849007,null,11121,null,399598,null,8392,null,222371,null,6328,null,177227,null,7058,null,3449409,null,13967,null,1054045,null,12057,null,2395364,null,16291,null,0400000US26,Michigan,26
2062681,null,7707,null,104058,null,4976,null,61649,null,3873,null,42409,null,2822,null,1958623,null,7727,null,625597,null,7374,null,1333026,null,8188,null,0400000US27,Minnesota,27
1080039,null,7657,null,136089,null,4960,null,82810,null,4496,null,53279,null,3675,null,943950,null,8716,null,308761,null,7933,null,635189,null,8850,null,0400000US28,Mississippi,28
2309626,null,10183,null,233610,null,6472,null,130550,null,5786,null,103060,null,4436,null,2076016,null,10429,null,635392,null,9382,null,1440624,null,11375,null,0400000US29,Missouri,29
371954,null,3292,null,26878,null,2621,null,16013,null,2087,null,10865,null,1780,null,345076,null,4036,null,92539,null,3292,null,252537,null,3996,null,0400000US30,Montana,30
699728,null,4292,null,48700,null,3170,null,29363,null,2566,null,19337,null,1971,null,651028,null,4616,null,203412,null,5144,null,447616,null,5354,null,0400000US31,Nebraska,31
954067,null,7113,null,37815,null,3191,null,21104,null,2835,null,16711,null,1952,null,916252,null,7579,null,314066,null,7353,null,602186,null,9314,null,0400000US32,Nevada,32
501505,null,3979,null,22515,null,2410,null,12324,null,1727,null,10191,null,1542,null,478990,null,4400,null,154051,null,4593,null,324939,null,4624,null,0400000US33,New Hampshire,33
3149910,null,8764,null,130934,null,6215,null,73581,null,4483,null,57353,null,3907,null,3018976,null,10411,null,1066391,null,14038,null,1952585,null,16085,null,0400000US34,New Jersey,34
734847,null,5299,null,67436,null,4094,null,45518,null,3653,null,21918,null,2048,null,667411,null,6465,null,208395,null,6130,null,459016,null,7995,null,0400000US35,New Mexico,35
7099940,null,13021,null,675890,null,11232,null,325684,null,8222,null,350206,null,8978,null,6424050,null,16048,null,2018876,null,16138,null,4405174,null,17944,null,0400000US36,New York,36
3540875,null,15585,null,317134,null,9617,null,183755,null,7712,null,133379,null,5974,null,3223741,null,16214,null,1017187,null,14072,null,2206554,null,16060,null,0400000US37,North Carolina,37
271724,null,2896,null,18522,null,2001,null,10334,null,1402,null,8188,null,1255,null,253202,null,3127,null,70275,null,2587,null,182927,null,2924,null,0400000US38,North Dakota,38
4505995,null,13404,null,422394,null,8274,null,240392,null,7830,null,182002,null,6166,null,4083601,null,14821,null,1235176,null,13639,null,2848425,null,15962,null,0400000US39,Ohio,39
1399932,null,7049,null,140480,null,5397,null,84269,null,4380,null,56211,null,3196,null,1259452,null,8298,null,386114,null,7463,null,873338,null,8466,null,0400000US40,Oklahoma,40
1471965,null,7619,null,153862,null,5975,null,78540,null,5044,null,75322,null,3880,null,1318103,null,8471,null,378981,null,7795,null,939122,null,7994,null,0400000US41,Oregon,41
4873482,null,11972,null,386575,null,9877,null,205782,null,7670,null,180793,null,6654,null,4486907,null,14683,null,1305046,null,13364,null,3181861,null,16353,null,0400000US42,Pennsylvania,42
402538,null,3497,null,28232,null,2356,null,15710,null,2023,null,12522,null,1899,null,374306,null,3967,null,111115,null,4031,null,263191,null,4185,null,0400000US44,Rhode Island,44
1702564,null,9835,null,161373,null,6545,null,94389,null,4625,null,66984,null,4828,null,1541191,null,10434,null,466948,null,8086,null,1074243,null,10694,null,0400000US45,South Carolina,45
312912,null,3484,null,22145,null,2019,null,13826,null,1732,null,8319,null,1331,null,290767,null,3355,null,83938,null,2842,null,206829,null,3812,null,0400000US46,South Dakota,46
2407765,null,10842,null,290188,null,7433,null,167378,null,6000,null,122810,null,5352,null,2117577,null,10334,null,623383,null,9134,null,1494194,null,9831,null,0400000US47,Tennessee,47
8244022,null,19609,null,735491,null,14222,null,511106,null,11081,null,224385,null,7386,null,7508531,null,22559,null,2757544,null,21748,null,4750987,null,21827,null,0400000US48,Texas,48
835320,null,5515,null,40935,null,3039,null,27248,null,2465,null,13687,null,1574,null,794385,null,5921,null,332573,null,6457,null,461812,null,7006,null,0400000US49,Utah,49
252580,null,2222,null,20471,null,1594,null,10696,null,1187,null,9775,null,1225,null,232109,null,2687,null,69018,null,2539,null,163091,null,2946,null,0400000US50,Vermont,50
2932234,null,11822,null,174936,null,6795,null,104800,null,5323,null,70136,null,4041,null,2757298,null,13155,null,895974,null,11901,null,1861324,null,13154,null,0400000US51,Virginia,51
2501509,null,8669,null,193544,null,7314,null,99495,null,5991,null,94049,null,4551,null,2307965,null,10113,null,728532,null,10685,null,1579433,null,11601,null,0400000US53,Washington,53
733849,null,6909,null,92059,null,3835,null,49456,null,3736,null,42603,null,2764,null,641790,null,7078,null,170927,null,4397,null,470863,null,6156,null,0400000US54,West Virginia,54
2241597,null,8249,null,135627,null,4724,null,81889,null,3668,null,53738,null,3054,null,2105970,null,10034,null,630608,null,8495,null,1475362,null,9085,null,0400000US55,Wisconsin,55
206136,null,3069,null,8795,null,1658,null,5488,null,1415,null,3307,null,917,null,197341,null,3232,null,58043,null,2946,null,139298,null,3111,null,0400000US56,Wyoming,56
1204285,null,7019,null,370691,null,6886,null,157101,null,4652,null,213590,null,4936,null,833594,null,9652,null,298151,null,6389,null,535443,null,8164,null,0400000US72,Puerto Rico,72
