C25032G_001E,C25032G_001EA,C25032G_001M,C25032G_001MA,C25032G_002E,C25032G_002EA,C25032G_002M,C25032G_002MA,C25032G_003E,C25032G_003EA,C25032G_003M,C25032G_003MA,C25032G_004E,C25032G_004EA,C25032G_004M,C25032G_004MA,C25032G_005E,C25032G_005EA,C25032G_005M,C25032G_005MA,GEO_ID,NAME,state
17128,null,1926,null,11632,null,1471,null,901,null,555,null,1417,null,579,null,3178,null,913,null,0400000US01,Alabama,01
9844,null,1435,null,5721,null,980,null,1889,null,722,null,1870,null,836,null,364,null,241,null,0400000US02,Alaska,02
31338,null,2985,null,19091,null,1995,null,2487,null,1060,null,6703,null,1503,null,3057,null,961,null,0400000US04,Arizona,04
13414,null,1802,null,8525,null,1190,null,1241,null,564,null,1501,null,609,null,2147,null,878,null,0400000US05,Arkansas,05
273331,null,7376,null,167344,null,5583,null,28233,null,2546,null,68521,null,4587,null,9233,null,1412,null,0400000US06,California,06
29572,null,2903,null,18857,null,2294,null,2171,null,828,null,6969,null,1447,null,1575,null,664,null,0400000US08,Colorado,08
16315,null,1805,null,9692,null,1455,null,2505,null,927,null,3993,null,1089,null,125,null,142,null,0400000US09,Connecticut,09
3169,null,934,null,1854,null,668,null,193,null,244,null,735,null,494,null,387,null,305,null,0400000US10,Delaware,10
3372,null,880,null,1273,null,583,null,464,null,285,null,1635,null,685,null,0,null,300,null,0400000US11,District of Columbia,11
79546,null,4383,null,48830,null,3540,null,6879,null,1469,null,17489,null,2184,null,6348,null,1171,null,0400000US12,Florida,12
27627,null,2847,null,20330,null,2355,null,1627,null,820,null,3419,null,763,null,2251,null,737,null,0400000US13,Georgia,13
65326,null,3371,null,45101,null,3025,null,5194,null,1257,null,14865,null,1846,null,166,null,161,null,0400000US15,Hawaii,15
8447,null,1296,null,5819,null,1198,null,888,null,450,null,610,null,468,null,1130,null,542,null,0400000US16,Idaho,16
42606,null,3522,null,23958,null,2577,null,6587,null,1299,null,11084,null,1858,null,977,null,471,null,0400000US17,Illinois,17
24478,null,2439,null,16508,null,2210,null,2336,null,685,null,4299,null,1035,null,1335,null,477,null,0400000US18,Indiana,18
8156,null,1426,null,5449,null,1018,null,1179,null,545,null,1172,null,547,null,356,null,235,null,0400000US19,Iowa,19
18676,null,1946,null,12252,null,1489,null,1491,null,548,null,3691,null,987,null,1242,null,640,null,0400000US20,Kansas,20
14003,null,1964,null,8161,null,1506,null,1403,null,749,null,2781,null,962,null,1658,null,563,null,0400000US21,Kentucky,21
13065,null,1760,null,8543,null,1550,null,1237,null,645,null,1682,null,791,null,1603,null,495,null,0400000US22,Louisiana,22
6774,null,1239,null,2770,null,821,null,1983,null,743,null,1248,null,609,null,773,null,526,null,0400000US23,Maine,23
27698,null,2737,null,18005,null,2120,null,2106,null,870,null,7448,null,1413,null,139,null,172,null,0400000US24,Maryland,24
30227,null,3081,null,10497,null,1554,null,10768,null,1979,null,8758,null,1548,null,204,null,178,null,0400000US25,Massachusetts,25
45998,null,2839,null,30454,null,2143,null,3891,null,1023,null,7658,null,1711,null,3995,null,900,null,0400000US26,Michigan,26
19329,null,2153,null,11064,null,1632,null,1811,null,782,null,5449,null,1275,null,1005,null,422,null,0400000US27,Minnesota,27
6652,null,1735,null,4322,null,1159,null,474,null,339,null,462,null,490,null,1394,null,851,null,0400000US28,Mississippi,28
28832,null,2572,null,20240,null,2203,null,2402,null,724,null,3339,null,958,null,2851,null,664,null,0400000US29,Missouri,29
6175,null,1137,null,4176,null,890,null,1100,null,631,null,340,null,279,null,559,null,387,null,0400000US30,Montana,30
7059,null,1246,null,3826,null,807,null,397,null,343,null,2236,null,683,null,600,null,400,null,0400000US31,Nebraska,31
18337,null,2145,null,11071,null,1524,null,1972,null,670,null,3883,null,917,null,1411,null,783,null,0400000US32,Nevada,32
3094,null,855,null,2090,null,652,null,418,null,316,null,449,null,360,null,137,null,120,null,0400000US33,New Hampshire,33
31776,null,2856,null,16602,null,1908,null,5804,null,1179,null,8600,null,1638,null,770,null,565,null,0400000US34,New Jersey,34
12758,null,1491,null,8361,null,1225,null,771,null,482,null,1673,null,640,null,1953,null,645,null,0400000US35,New Mexico,35
88975,null,4644,null,28976,null,2815,null,17716,null,2440,null,40369,null,2919,null,1914,null,671,null,0400000US36,New York,36
34583,null,3208,null,21769,null,2891,null,1865,null,651,null,5362,null,1278,null,5587,null,1539,null,0400000US37,North Carolina,37
2698,null,874,null,748,null,299,null,655,null,580,null,1144,null,647,null,151,null,157,null,0400000US38,North Dakota,38
40780,null,2679,null,26993,null,2171,null,4014,null,1229,null,7517,null,1614,null,2256,null,860,null,0400000US39,Ohio,39
69321,null,3820,null,46885,null,3289,null,4273,null,1193,null,10631,null,2130,null,7532,null,1358,null,0400000US40,Oklahoma,40
30823,null,2722,null,18411,null,2358,null,2180,null,737,null,8180,null,1641,null,2052,null,683,null,0400000US41,Oregon,41
35912,null,2417,null,21829,null,1783,null,5199,null,1052,null,7389,null,1498,null,1495,null,539,null,0400000US42,Pennsylvania,42
6357,null,1174,null,2421,null,653,null,2346,null,824,null,1590,null,743,null,0,null,285,null,0400000US44,Rhode Island,44
11777,null,1772,null,8013,null,1358,null,820,null,440,null,1266,null,611,null,1678,null,595,null,0400000US45,South Carolina,45
3162,null,1002,null,1934,null,786,null,307,null,359,null,541,null,380,null,380,null,213,null,0400000US46,South Dakota,46
20387,null,2079,null,13533,null,1931,null,1179,null,520,null,2758,null,957,null,2917,null,892,null,0400000US47,Tennessee,47
108956,null,6062,null,72083,null,4294,null,6519,null,1413,null,21105,null,2639,null,9249,null,1426,null,0400000US48,Texas,48
7718,null,1308,null,5828,null,1098,null,1019,null,536,null,820,null,455,null,51,null,67,null,0400000US49,Utah,49
3639,null,869,null,1591,null,629,null,998,null,488,null,471,null,256,null,579,null,296,null,0400000US50,Vermont,50
34691,null,3189,null,22560,null,2590,null,2722,null,860,null,7595,null,1331,null,1814,null,721,null,0400000US51,Virginia,51
52749,null,3992,null,30642,null,2569,null,3769,null,1203,null,14094,null,2357,null,4244,null,1231,null,0400000US53,Washington,53
6398,null,1145,null,3323,null,787,null,566,null,430,null,1653,null,866,null,856,null,396,null,0400000US54,West Virginia,54
15767,null,1672,null,10189,null,1453,null,2281,null,829,null,2766,null,792,null,531,null,389,null,0400000US55,Wisconsin,55
3793,null,951,null,1550,null,592,null,633,null,582,null,273,null,326,null,1337,null,653,null,0400000US56,Wyoming,56
52494,null,2458,null,40245,null,2760,null,2862,null,924,null,9348,null,1545,null,39,null,67,null,0400000US72,Puerto Rico,72
