B14001F_001E,B14001F_001EA,B14001F_001M,B14001F_001MA,B14001F_002E,B14001F_002EA,B14001F_002M,B14001F_002MA,B14001F_003E,B14001F_003EA,B14001F_003M,B14001F_003MA,B14001F_004E,B14001F_004EA,B14001F_004M,B14001F_004MA,B14001F_005E,B14001F_005EA,B14001F_005M,B14001F_005MA,B14001F_006E,B14001F_006EA,B14001F_006M,B14001F_006MA,B14001F_007E,B14001F_007EA,B14001F_007M,B14001F_007MA,GEO_ID,NAME,state
31691,null,3467,null,8498,null,1728,null,1359,null,474,null,4034,null,1074,null,1744,null,641,null,1361,null,626,null,23193,null,2567,null,0400000US01,Alabama,01
14746,null,2863,null,4524,null,1325,null,278,null,263,null,1800,null,611,null,1250,null,661,null,1196,null,576,null,10222,null,1966,null,0400000US02,Alaska,02
632531,null,19784,null,201484,null,10514,null,20157,null,2352,null,106480,null,6898,null,43962,null,3295,null,30885,null,3637,null,431047,null,14215,null,0400000US04,Arizona,04
58334,null,5246,null,19917,null,2746,null,3724,null,1261,null,9757,null,1634,null,4844,null,1039,null,1592,null,571,null,38417,null,3957,null,0400000US05,Arkansas,05
5741788,null,58151,null,1958433,null,29395,null,203419,null,7419,null,886955,null,18772,null,486565,null,12664,null,381494,null,12356,null,3783355,null,40537,null,0400000US06,California,06
286753,null,13527,null,86080,null,6477,null,11840,null,2020,null,42364,null,3804,null,18144,null,2310,null,13732,null,2472,null,200673,null,9440,null,0400000US08,Colorado,08
179580,null,9244,null,56745,null,4529,null,6017,null,1461,null,25006,null,2882,null,14129,null,1780,null,11593,null,1786,null,122835,null,7031,null,0400000US09,Connecticut,09
16692,null,2550,null,5151,null,1457,null,386,null,265,null,3246,null,1249,null,890,null,443,null,629,null,259,null,11541,null,1486,null,0400000US10,Delaware,10
26538,null,3323,null,8133,null,2110,null,725,null,597,null,3711,null,1140,null,996,null,526,null,2701,null,1166,null,18405,null,2739,null,0400000US11,District of Columbia,11
697910,null,23382,null,207538,null,11306,null,22859,null,2959,null,97497,null,6858,null,44172,null,3578,null,43010,null,4138,null,490372,null,16456,null,0400000US12,Florida,12
