B07009_001E,B07009_001EA,B07009_001M,B07009_001MA,B07009_002E,B07009_002EA,B07009_002M,B07009_002MA,B07009_003E,B07009_003EA,B07009_003M,B07009_003MA,B07009_004E,B07009_004EA,B07009_004M,B07009_004MA,B07009_005E,B07009_005EA,B07009_005M,B07009_005MA,B07009_006E,B07009_006EA,B07009_006M,B07009_006MA,B07009_007E,B07009_007EA,B07009_007M,B07009_007MA,B07009_008E,B07009_008EA,B07009_008M,B07009_008MA,B07009_009E,B07009_009EA,B07009_009M,B07009_009MA,B07009_010E,B07009_010EA,B07009_010M,B07009_010MA,B07009_011E,B07009_011EA,B07009_011M,B07009_011MA,B07009_012E,B07009_012EA,B07009_012M,B07009_012MA,B07009_013E,B07009_013EA,B07009_013M,B07009_013MA,B07009_014E,B07009_014EA,B07009_014M,B07009_014MA,B07009_015E,B07009_015EA,B07009_015M,B07009_015MA,B07009_016E,B07009_016EA,B07009_016M,B07009_016MA,B07009_017E,B07009_017EA,B07009_017M,B07009_017MA,B07009_018E,B07009_018EA,B07009_018M,B07009_018MA,B07009_019E,B07009_019EA,B07009_019M,B07009_019MA,B07009_020E,B07009_020EA,B07009_020M,B07009_020MA,B07009_021E,B07009_021EA,B07009_021M,B07009_021MA,B07009_022E,B07009_022EA,B07009_022M,B07009_022MA,B07009_023E,B07009_023EA,B07009_023M,B07009_023MA,B07009_024E,B07009_024EA,B07009_024M,B07009_024MA,B07009_025E,B07009_025EA,B07009_025M,B07009_025MA,B07009_026E,B07009_026EA,B07009_026M,B07009_026MA,B07009_027E,B07009_027EA,B07009_027M,B07009_027MA,B07009_028E,B07009_028EA,B07009_028M,B07009_028MA,B07009_029E,B07009_029EA,B07009_029M,B07009_029MA,B07009_030E,B07009_030EA,B07009_030M,B07009_030MA,B07009_031E,B07009_031EA,B07009_031M,B07009_031MA,B07009_032E,B07009_032EA,B07009_032M,B07009_032MA,B07009_033E,B07009_033EA,B07009_033M,B07009_033MA,B07009_034E,B07009_034EA,B07009_034M,B07009_034MA,B07009_035E,B07009_035EA,B07009_035M,B07009_035MA,B07009_036E,B07009_036EA,B07009_036M,B07009_036MA,GEO_ID,NAME,state
3045893,null,4778,null,597330,null,13024,null,978130,null,14306,null,819024,null,12391,null,408600,null,9897,null,242809,null,8091,null,2636249,null,13137,null,511809,null,12370,null,857706,null,13637,null,704431,null,11252,null,350649,null,9075,null,211654,null,7188,null,238908,null,9820,null,55688,null,4664,null,74234,null,4990,null,66972,null,5192,null,28492,null,2971,null,13522,null,1896,null,81649,null,5688,null,17711,null,2250,null,23978,null,2964,null,21522,null,2631,null,12605,null,2142,null,5833,null,1312,null,79404,null,5768,null,10010,null,1711,null,20189,null,2402,null,23988,null,3107,null,14726,null,2125,null,10491,null,1525,null,9683,null,2243,null,2112,null,828,null,2023,null,846,null,2111,null,671,null,2128,null,1043,null,1309,null,561,null,0400000US01,Alabama,01
421818,null,2623,null,40136,null,3103,null,127441,null,5234,null,144634,null,5251,null,67754,null,3249,null,41853,null,3358,null,345593,null,5407,null,30957,null,2796,null,104408,null,5059,null,119519,null,4439,null,55104,null,3219,null,35605,null,3082,null,41261,null,4040,null,5561,null,1372,null,12544,null,1841,null,14701,null,2145,null,6504,null,1517,null,1951,null,558,null,12391,null,2235,null,1671,null,588,null,5401,null,1589,null,2656,null,774,null,1659,null,650,null,1004,null,435,null,19010,null,2894,null,1614,null,716,null,4196,null,1251,null,6808,null,1502,null,4012,null,1173,null,2380,null,707,null,3563,null,1378,null,333,null,296,null,892,null,524,null,950,null,695,null,475,null,307,null,913,null,866,null,0400000US02,Alaska,02
4075825,null,3131,null,673859,null,12050,null,1093262,null,19361,null,1276117,null,17877,null,655897,null,11989,null,376690,null,7312,null,3358605,null,17089,null,546796,null,10748,null,893723,null,18362,null,1058947,null,16629,null,539508,null,11449,null,319631,null,7198,null,453577,null,14384,null,86800,null,7335,null,127987,null,7290,null,140876,null,8689,null,67171,null,4877,null,30743,null,2843,null,59620,null,5184,null,8486,null,1579,null,17566,null,2564,null,21827,null,2796,null,8239,null,1583,null,3502,null,818,null,165962,null,9810,null,18383,null,3251,null,44815,null,4930,null,49575,null,4615,null,34229,null,3523,null,18960,null,2641,null,38061,null,5169,null,13394,null,4278,null,9171,null,2551,null,4892,null,1197,null,6750,null,2006,null,3854,null,1008,null,0400000US04,Arizona,04
1861810,null,4842,null,351075,null,8042,null,663851,null,11182,null,486644,null,9452,null,239729,null,7989,null,120511,null,4517,null,1581066,null,11265,null,293749,null,7106,null,560064,null,10586,null,414583,null,9330,null,206665,null,7377,null,106005,null,3938,null,165353,null,8454,null,35731,null,3987,null,64325,null,5054,null,42794,null,4242,null,16530,null,2349,null,5973,null,1251,null,58889,null,4064,null,12801,null,2032,null,20031,null,2367,null,14651,null,2271,null,7696,null,1530,null,3710,null,1128,null,51730,null,5102,null,7332,null,1431,null,18580,null,2715,null,13707,null,1927,null,7594,null,1781,null,4517,null,1136,null,4772,null,1416,null,1462,null,631,null,851,null,546,null,909,null,393,null,1244,null,766,null,306,null,307,null,0400000US05,Arkansas,05
23331762,null,6611,null,4612748,null,36455,null,5396253,null,40351,null,6439237,null,38801,null,4425024,null,34647,null,2458500,null,26148,null,20152990,null,40708,null,3956500,null,36755,null,4636134,null,36384,null,5602844,null,36865,null,3824219,null,29769,null,2133293,null,23826,null,2073635,null,34961,null,458130,null,14383,null,514963,null,14774,null,560407,null,15796,null,361034,null,12299,null,179101,null,8433,null,647013,null,14953,null,126880,null,7825,null,159938,null,6934,null,173785,null,8725,null,122797,null,6200,null,63613,null,4560,null,284141,null,10504,null,25708,null,3698,null,52424,null,4038,null,75997,null,5665,null,73534,null,4742,null,56478,null,4677,null,173983,null,9493,null,45530,null,5251,null,32794,null,4529,null,26204,null,2831,null,43440,null,3879,null,26015,null,3254,null,0400000US06,California,06
3203704,null,4123,null,355376,null,9942,null,797352,null,14511,null,929708,null,16567,null,721172,null,12821,null,400096,null,10072,null,2679826,null,13279,null,289993,null,8968,null,664660,null,13350,null,770397,null,13602,null,612302,null,11917,null,342474,null,9187,null,256384,null,10932,null,32022,null,3632,null,72371,null,5823,null,77165,null,5011,null,49732,null,4777,null,25094,null,3172,null,133496,null,7370,null,19234,null,2901,null,33599,null,4302,null,42376,null,4329,null,25739,null,2396,null,12548,null,2201,null,117019,null,6671,null,11620,null,2544,null,23543,null,3255,null,36242,null,4166,null,28148,null,2937,null,17466,null,1972,null,16979,null,2874,null,2507,null,1027,null,3179,null,1187,null,3528,null,1061,null,5251,null,1531,null,2514,null,995,null,0400000US08,Colorado,08
2359568,null,1614,null,282428,null,7840,null,695183,null,11386,null,564217,null,9278,null,455313,null,9662,null,362427,null,8121,null,2102576,null,10413,null,238119,null,8106,null,621511,null,12106,null,512045,null,10425,null,406114,null,9799,null,324787,null,7893,null,162839,null,9111,null,33178,null,3532,null,52348,null,4443,null,33550,null,3212,null,25798,null,2849,null,17965,null,2258,null,38240,null,3430,null,5819,null,1112,null,11277,null,1829,null,7879,null,1805,null,9273,null,1783,null,3992,null,1030,null,44754,null,3763,null,3233,null,1162,null,8439,null,1614,null,8466,null,1657,null,11296,null,1629,null,13320,null,2077,null,11159,null,1626,null,2079,null,836,null,1608,null,664,null,2277,null,827,null,2832,null,906,null,2363,null,731,null,0400000US09,Connecticut,09
573935,null,890,null,72187,null,4062,null,191244,null,5643,null,160631,null,5018,null,90173,null,4106,null,59700,null,3423,null,503227,null,5452,null,62547,null,4026,null,169179,null,6359,null,140040,null,4879,null,79274,null,3488,null,52187,null,3329,null,40863,null,3817,null,6085,null,1149,null,12511,null,2201,null,13314,null,2099,null,5578,null,1266,null,3375,null,918,null,5015,null,1340,null,1134,null,504,null,1645,null,685,null,1522,null,655,null,308,null,233,null,406,null,263,null,21808,null,3354,null,1684,null,874,null,7163,null,1813,null,5342,null,1181,null,4422,null,1279,null,3197,null,948,null,3022,null,1122,null,737,null,547,null,746,null,573,null,413,null,302,null,591,null,390,null,535,null,359,null,0400000US10,Delaware,10
401018,null,843,null,57214,null,3739,null,87444,null,4848,null,65957,null,4151,null,86234,null,4191,null,104169,null,4555,null,335078,null,4566,null,49476,null,3489,null,73157,null,4380,null,56729,null,3564,null,69921,null,4007,null,85795,null,4421,null,35703,null,4045,null,5735,null,1816,null,9888,null,2589,null,4635,null,1247,null,7151,null,1533,null,8294,null,1662,null,0,null,300,null,0,null,300,null,0,null,300,null,0,null,300,null,0,null,300,null,0,null,300,null,25635,null,3414,null,1756,null,697,null,3141,null,1196,null,4209,null,1308,null,8208,null,1630,null,8321,null,1423,null,4602,null,1403,null,247,null,337,null,1258,null,1065,null,384,null,329,null,954,null,549,null,1759,null,668,null,0400000US11,District of Columbia,11
12588083,null,7946,null,1899475,null,21006,null,3962460,null,34604,null,3483704,null,31707,null,2123627,null,21316,null,1118817,null,17611,null,10764735,null,30840,null,1593608,null,18388,null,3375177,null,33912,null,2992511,null,31451,null,1819177,null,22267,null,984262,null,17855,null,1045886,null,21017,null,193482,null,8753,null,349650,null,14024,null,277677,null,9646,null,162446,null,8083,null,62631,null,4496,null,361798,null,13376,null,56575,null,4316,null,117696,null,8075,null,106241,null,6402,null,55751,null,4640,null,25535,null,3010,null,318335,null,13643,null,36346,null,3635,null,92660,null,6615,null,86668,null,5514,null,66711,null,4862,null,35950,null,3372,null,97329,null,7134,null,19464,null,2992,null,27277,null,4376,null,20607,null,2955,null,19542,null,2933,null,10439,null,1706,null,0400000US12,Florida,12
