C21001I_001E,C21001I_001EA,C21001I_001M,C21001I_001MA,C21001I_002E,C21001I_002EA,C21001I_002M,C21001I_002MA,C21001I_003E,C21001I_003EA,C21001I_003M,C21001I_003MA,C21001I_004E,C21001I_004EA,C21001I_004M,C21001I_004MA,C21001I_005E,C21001I_005EA,C21001I_005M,C21001I_005MA,C21001I_006E,C21001I_006EA,C21001I_006M,C21001I_006MA,C21001I_007E,C21001I_007EA,C21001I_007M,C21001I_007MA,C21001I_008E,C21001I_008EA,C21001I_008M,C21001I_008MA,C21001I_009E,C21001I_009EA,C21001I_009M,C21001I_009MA,C21001I_010E,C21001I_010EA,C21001I_010M,C21001I_010MA,C21001I_011E,C21001I_011EA,C21001I_011M,C21001I_011MA,C21001I_012E,C21001I_012EA,C21001I_012M,C21001I_012MA,C21001I_013E,C21001I_013EA,C21001I_013M,C21001I_013MA,C21001I_014E,C21001I_014EA,C21001I_014M,C21001I_014MA,C21001I_015E,C21001I_015EA,C21001I_015M,C21001I_015MA,GEO_ID,NAME,state
73641,null,1373,null,42362,null,1273,null,40520,null,1482,null,2646,null,747,null,37874,null,1673,null,1842,null,740,null,970,null,534,null,872,null,509,null,31279,null,1321,null,29416,null,1320,null,155,null,121,null,29261,null,1297,null,1863,null,623,null,0,null,267,null,1863,null,623,null,0400000US01,Alabama,01
23521,null,887,null,12617,null,954,null,12356,null,953,null,1726,null,613,null,10630,null,1118,null,261,null,217,null,142,null,162,null,119,null,144,null,10904,null,638,null,10398,null,625,null,169,null,189,null,10229,null,616,null,506,null,333,null,0,null,237,null,506,null,333,null,0400000US02,Alaska,02
1176956,null,1479,null,614525,null,1045,null,575960,null,1150,null,36545,null,3501,null,539415,null,3727,null,38565,null,690,null,12745,null,1487,null,25820,null,1668,null,562431,null,896,null,513671,null,925,null,3691,null,962,null,509980,null,1222,null,48760,null,721,null,303,null,250,null,48457,null,739,null,0400000US04,Arizona,04
89151,null,1833,null,50574,null,2419,null,48891,null,2343,null,2534,null,954,null,46357,null,2320,null,1683,null,772,null,279,null,284,null,1404,null,691,null,38577,null,1652,null,37344,null,1621,null,277,null,312,null,37067,null,1650,null,1233,null,503,null,26,null,53,null,1207,null,502,null,0400000US05,Arkansas,05
8612722,null,2437,null,4429485,null,2361,null,4142556,null,2600,null,171718,null,7645,null,3970838,null,8361,null,286929,null,1250,null,71517,null,3939,null,215412,null,3913,null,4183237,null,1258,null,3796109,null,1600,null,15063,null,1709,null,3781046,null,2272,null,387128,null,1376,null,1270,null,588,null,385858,null,1454,null,0400000US06,California,06
627193,null,1008,null,334179,null,1510,null,312367,null,1520,null,26737,null,2804,null,285630,null,2622,null,21812,null,844,null,9808,null,1132,null,12004,null,1368,null,293014,null,1288,null,264976,null,1353,null,2331,null,813,null,262645,null,1487,null,28038,null,927,null,424,null,327,null,27614,null,963,null,0400000US08,Colorado,08
269756,null,1017,null,135118,null,1091,null,127356,null,1031,null,5894,null,1137,null,121462,null,1477,null,7762,null,338,null,1102,null,459,null,6660,null,534,null,134638,null,511,null,123845,null,603,null,374,null,303,null,123471,null,727,null,10793,null,443,null,44,null,72,null,10749,null,438,null,0400000US09,Connecticut,09
34370,null,346,null,18431,null,472,null,17722,null,580,null,525,null,319,null,17197,null,641,null,709,null,420,null,284,null,250,null,425,null,292,null,15939,null,311,null,15043,null,525,null,234,null,246,null,14809,null,521,null,896,null,502,null,0,null,261,null,896,null,502,null,0400000US10,Delaware,10
37679,null,173,null,19810,null,173,null,18832,null,173,null,784,null,574,null,18048,null,592,null,978,null,0,*****,0,null,300,null,978,null,4,null,17869,null,2,null,16111,null,4,null,151,null,232,null,15960,null,232,null,1758,null,0,*****,0,null,300,null,1758,null,4,null,0400000US11,District of Columbia,11
2764639,null,2176,null,1391692,null,2293,null,1228307,null,2358,null,71858,null,3977,null,1156449,null,4200,null,163385,null,1105,null,20129,null,1977,null,143256,null,2246,null,1372947,null,1751,null,1144271,null,1793,null,7616,null,1526,null,1136655,null,2553,null,228676,null,1279,null,308,null,238,null,228368,null,1325,null,0400000US12,Florida,12
