B25098_015E,B25098_015M,B25098_016E,B25098_016M,B25098_017E,B25098_017M,B25098_018E,B25098_018M,B25098_019E,B25098_019M,GEO_ID,B25098_001E,B25098_001M,B25098_002E,B25098_002M,B25098_003E,B25098_003M,B25098_004E,B25098_004M,B25098_005E,B25098_005M,B25098_006E,B25098_006M,B25098_007E,B25098_007M,B25098_008E,B25098_008M,B25098_009E,B25098_009M,B25098_010E,B25098_010M,B25098_011E,B25098_011M,B25098_012E,B25098_012M,B25098_013E,B25098_013M,B25098_014E,B25098_014M,B25098_015EA,B25098_015MA,B25098_016EA,B25098_016MA,B25098_017MA,B25098_017EA,B25098_018MA,B25098_018EA,B25098_019EA,B25098_019MA,NAME,B25098_001MA,B25098_001EA,B25098_002MA,B25098_002EA,B25098_003EA,B25098_003MA,B25098_004EA,B25098_004MA,B25098_005EA,B25098_005MA,B25098_006MA,B25098_006EA,B25098_007MA,B25098_007EA,B25098_008EA,B25098_008MA,B25098_009MA,B25098_009EA,B25098_010EA,B25098_010MA,B25098_011EA,B25098_011MA,B25098_012MA,B25098_012EA,B25098_013EA,B25098_013MA,B25098_014EA,B25098_014MA,state
252821,6471,310313,5676,188025,5558,202623,6769,187144,5550,0400000US06,6781817,25470,5013594,26823,113393,5583,284435,7666,262528,7580,480259,10618,856188,13637,760129,12789,1091873,15006,1164789,13152,1768223,13924,103350,4567,325896,8065,198051,5920,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
51016,2953,56805,2904,35876,2548,36668,2118,31111,2413,0400000US08,1278158,11129,945039,10533,18483,1612,54012,3322,54941,3266,105293,4727,190870,5460,167008,5307,196329,5583,158103,5432,333119,5691,21193,2057,59090,3360,41360,2712,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
35709,2556,45763,2882,31052,2214,38046,2794,39514,2376,0400000US09,908452,7756,642602,8945,8796,1520,28122,2770,26009,2508,52993,3183,108733,4890,104554,3893,156723,5705,156672,5460,265850,5449,11073,1441,37745,2218,26948,2190,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
11637,1374,12533,1499,7991,1384,8137,1004,5350,880,0400000US10,241050,3609,168064,4422,3485,850,10539,1329,8790,1208,19941,2141,35134,2373,30870,2755,36304,3132,23001,1816,72986,2939,3929,846,14415,1351,8994,1169,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
2933,644,3202,752,2146,612,3360,726,5629,1025,0400000US11,110681,3549,87104,3340,2106,679,3303,752,3329,1017,5328,912,11374,1652,9863,1385,18965,1865,32836,2251,23577,2090,1320,450,3136,690,1851,589,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
278383,7425,317813,8837,158816,5678,148072,6055,128016,5099,0400000US12,4724428,21345,2888716,18233,97505,5045,291752,7693,267337,8727,418065,10791,600486,11821,436568,10222,462597,10506,314406,7791,1835712,18176,145620,6270,419583,9878,239409,7111,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
107976,4976,116946,4081,64377,3339,56370,3474,43361,3611,0400000US13,2248702,19411,1560580,18192,50073,4084,132687,5484,114456,5946,192363,7830,334477,11693,244609,7824,279670,8319,212245,6756,688122,12099,56372,3584,155257,6528,87463,4035,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
10679,1293,15173,1372,10649,1237,12095,1316,9929,1361,0400000US15,254770,4107,172799,4553,3154,802,9482,1466,6057,966,14934,1669,29881,2380,29867,2287,44689,2509,34735,2134,81971,3305,6583,1427,9718,1403,7145,1230,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
21151,1693,23905,2183,11000,1557,10368,1719,6081,905,0400000US16,398671,5979,270378,6063,6518,1744,25104,2149,25100,2193,40856,3114,70593,4119,42466,2833,39433,2681,20308,2334,128293,4525,8215,1251,28114,2262,19459,1854,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
158860,4755,186651,5578,112828,4227,105224,4290,87029,3502,0400000US17,3177104,16645,2153509,15842,41669,2761,139282,4585,127305,5359,236137,7629,428374,9734,375115,8647,449869,11230,355758,6685,1023595,11279,54825,3246,191433,4894,126745,5295,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
