GEO_ID,B01001H_001E,B01001H_001M,B01001H_002E,B01001H_002M,B01001H_003E,B01001H_003M,B01001H_004E,B01001H_004M,B01001H_005E,B01001H_005M,B01001H_006E,B01001H_006M,B01001H_007E,B01001H_007M,B01001H_008E,B01001H_008M,B01001H_009E,B01001H_009M,B01001H_010E,B01001H_010M,B01001H_011E,B01001H_011M,B01001H_012E,B01001H_012M,B01001H_013E,B01001H_013M,B01001H_014E,B01001H_014M,B01001H_015E,B01001H_015M,B01001H_016E,B01001H_016M,B01001H_017E,B01001H_017M,B01001H_018E,B01001H_018M,B01001H_019E,B01001H_019M,B01001H_020E,B01001H_020M,B01001H_021E,B01001H_021M,B01001H_022E,B01001H_022M,B01001H_023E,B01001H_023M,B01001H_024E,B01001H_024M,B01001H_025E,B01001H_025M,B01001H_026E,B01001H_026M,B01001H_027E,B01001H_027M,B01001H_028E,B01001H_028M,B01001H_029E,B01001H_029M,B01001H_030E,B01001H_030M,B01001H_031E,B01001H_031M,NAME,B01001H_001EA,B01001H_001MA,B01001H_002EA,B01001H_002MA,B01001H_003MA,B01001H_003EA,B01001H_004EA,B01001H_004MA,B01001H_005MA,B01001H_005EA,B01001H_006EA,B01001H_006MA,B01001H_007EA,B01001H_007MA,B01001H_008MA,B01001H_008EA,B01001H_009EA,B01001H_009MA,B01001H_010MA,B01001H_010EA,B01001H_011MA,B01001H_011EA,B01001H_012EA,B01001H_012MA,B01001H_013MA,B01001H_013EA,B01001H_014MA,B01001H_014EA,B01001H_015EA,B01001H_015MA,B01001H_016MA,B01001H_016EA,B01001H_017EA,B01001H_017MA,B01001H_018MA,B01001H_018EA,B01001H_019MA,B01001H_019EA,B01001H_020EA,B01001H_020MA,B01001H_021MA,B01001H_021EA,B01001H_022MA,B01001H_022EA,B01001H_023MA,B01001H_023EA,B01001H_024MA,B01001H_024EA,B01001H_025MA,B01001H_025EA,B01001H_026MA,B01001H_026EA,B01001H_027MA,B01001H_027EA,B01001H_028MA,B01001H_028EA,B01001H_029MA,B01001H_029EA,B01001H_030MA,B01001H_030EA,B01001H_031EA,B01001H_031MA,state
0400000US06,14904055,7593,7432023,4264,324359,1312,341397,6326,358840,6251,237258,1027,167893,991,492876,1842,500099,1393,479110,934,939526,1480,1196234,1113,1142383,958,716337,614,376814,4753,158897,4696,7472032,4421,308273,1266,320113,7191,341328,7081,223892,1218,154387,1939,449758,2149,461114,1379,443443,1023,886747,1301,1165158,1289,1167485,839,782227,747,478706,6626,289401,6535,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3599838,2504,1795962,2245,95225,920,106665,3350,98681,3339,61158,830,47826,1351,120328,1211,130801,947,128760,1437,246549,922,270381,930,257255,184,143685,364,66722,1784,21926,1751,1803876,1804,90428,1031,96283,3639,97837,3605,58662,791,41176,1092,113393,1260,122264,834,121362,885,236156,769,276601,399,266278,49,154584,632,86490,2203,42362,2004,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2512773,2534,1222367,1650,53515,238,64428,2918,74892,2837,48631,77,35300,204,71832,217,68510,493,63446,484,147550,446,210611,646,186014,146,111161,150,60047,1556,26430,1542,1290406,1336,50650,265,62320,2517,70223,2496,46011,257,34016,402,66324,284,65914,611,63867,306,152998,231,218540,422,195918,172,125555,234,84933,1738,53137,1747,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,589642,1421,285719,862,14124,218,16074,1387,14398,1387,9888,80,7677,182,19451,106,17357,450,16220,253,32896,215,44387,263,42009,83,30563,239,16075,933,4600,933,303923,658,13505,182,14595,1243,14311,1231,9463,69,7777,42,19886,127,17048,48,16714,182,34019,397,46512,175,46511,154,34277,344,19492,1175,9813,1175,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,222975,786,110393,609,5275,159,2991,477,1872,477,967,197,3243,1066,11182,1066,18506,144,15439,129,17671,508,12454,197,10109,123,6675,197,2913,515,1096,515,112582,342,5177,197,2803,454,1690,426,961,197,4402,1353,13931,1353,21529,130,15340,145,15095,200,9463,197,10136,197,6901,197,2990,596,2164,589,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10966711,7126,5375076,4881,230481,1707,242429,6760,269217,6956,170388,1087,115873,1902,319637,2119,302872,1114,286169,982,611046,964,803902,1088,798968,735,674712,470,396987,5314,152395,5339,5591635,3721,222624,1279,233549,5314,253645,5513,160072,1087,106931,1849,307673,1888,292239,948,278328,929,596245,1439,812383,1101,871717,668,743636,423,467881,6773,244712,6781,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5460416,2425,2688279,3380,147728,1913,163215,5359,175116,5363,103574,2090,71852,3022,181036,3195,170472,1846,166647,1557,365208,1927,412689,1292,359508,264,236058,675,106718,2305,28458,2321,2772137,2819,141963,1826,153590,5011,167499,5170,96569,2060,69973,2889,170740,2826,168557,1879,165518,1082,367551,1546,414727,1098,383791,255,262896,595,145735,3227,63028,3002,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,317032,544,173541,458,6940,152,6561,765,4583,765,2394,393,3661,530,16124,661,17117,360,13764,2,22618,101,24302,145,28674,2,17482,177,6091,629,3230,629,143491,531,6361,205,5424,751,4913,746,3062,418,2013,303,9579,284,11893,369,11051,361,16656,208,20560,177,25798,38,15171,104,6556,685,4454,674,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1330942,1001,662306,1012,44593,291,45391,3030,49794,3054,26910,792,17800,983,44150,952,42013,826,43298,121,81016,457,87320,426,86531,122,56824,232,27405,1210,9261,1212,668636,911,41602,307,43817,2855,45994,2866,27090,768,17241,853,44309,908,41071,397,42747,8,79455,463,89400,404,89200,111,58524,217,31454,1569,16732,1585,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8093687,3763,3964466,3052,210662,741,221186,5318,240503,5315,151655,913,102477,1403,253741,1618,263343,899,259722,1057,505948,1439,621912,1515,560273,492,329889,494,176516,2923,66639,2930,4129221,2416,200404,683,208889,4894,230001,4852,142239,908,95771,1580,247455,1807,261427,917,257162,599,503379,730,633941,651,584006,553,376618,243,247083,3996,140846,4002,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
