GEO_ID,B07404F_001E,B07404F_001M,B07404F_002E,B07404F_002M,B07404F_003E,B07404F_003M,B07404F_004E,B07404F_004M,B07404F_005E,B07404F_005M,NAME,B07404F_001EA,B07404F_001MA,B07404F_002EA,B07404F_002MA,B07404F_003EA,B07404F_003MA,B07404F_004MA,B07404F_004EA,B07404F_005MA,B07404F_005EA,state
0400000US06,4828330,54997,4058536,56844,622127,23355,111197,10175,36470,5881,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,213965,12407,167449,12013,31795,4945,9215,2407,5506,2571,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,160109,10836,125194,9613,28156,5167,2948,925,3811,1854,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22106,3627,18484,3781,2530,1678,205,315,887,801,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,26794,3977,22114,3725,3476,1998,0,184,1204,866,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,450558,23189,356076,20482,62161,9009,16238,3635,16083,3077,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,284256,13288,238473,12924,28517,6133,11264,2922,6002,2182,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14859,2578,9803,2078,3261,1678,45,76,1750,844,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,44730,5959,36173,5946,3507,1561,2879,1595,2171,1712,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,717432,24658,605734,22725,91929,12817,13016,4164,6753,2849,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,148517,9630,125379,9703,17987,4051,3066,1546,2085,1073,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,34495,4684,27628,4418,5072,1469,781,450,1014,818,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,58502,7264,48366,6418,5792,1816,1404,612,2940,1667,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,37631,5008,25295,3987,7554,2858,1563,737,3219,1652,Kentucky,null,null,null,null,null,null,null,null,null,null,21
