GEO_ID,C25027_001E,C25027_001M,C25027_002E,C25027_002M,C25027_003E,C25027_003M,C25027_004E,C25027_004M,C25027_005E,C25027_005M,C25027_006E,C25027_006M,C25027_007E,C25027_007M,C25027_008E,C25027_008M,C25027_009E,C25027_009M,NAME,C25027_001EA,C25027_001MA,C25027_002EA,C25027_002MA,C25027_003EA,C25027_003MA,C25027_004EA,C25027_004MA,C25027_005EA,C25027_005MA,C25027_006EA,C25027_006MA,C25027_007EA,C25027_007MA,C25027_008EA,C25027_008MA,C25027_009EA,C25027_009MA,state
0400000US06,6781817,25470,5013594,26823,478365,10446,3645474,22195,889755,12307,1768223,13924,59493,3008,668635,9681,1040095,9282,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278158,11129,945039,10533,130204,4597,681828,8990,133007,4879,333119,5691,14060,1864,145743,4905,173316,4204,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,908452,7756,642602,8945,63760,3706,487195,6599,91647,3408,265850,5449,4129,1041,104212,4054,157509,3524,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,241050,3609,168064,4422,21327,1870,118917,3635,27820,1630,72986,2939,2209,626,26347,1934,44430,1994,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110681,3549,87104,3340,11886,1446,58328,2845,16890,1473,23577,2090,756,329,8554,1174,14267,1327,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4724428,21345,2888716,18233,286248,8372,1977638,17701,624830,9363,1835712,18176,57721,3825,667382,13062,1110609,11240,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2248702,19411,1560580,18192,197755,7464,1138151,14011,224674,6285,688122,12099,33316,3036,315719,8648,339087,6826,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,254770,4107,172799,4553,15414,1807,117529,3750,39856,2266,81971,3305,2612,770,31132,2265,48227,2050,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,398671,5979,270378,6063,44028,3469,181034,4981,45316,2899,128293,4525,5729,1093,56789,3312,65775,2609,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3177104,16645,2153509,15842,300448,6848,1563707,12092,289354,6201,1023595,11279,37768,3253,429665,8385,556162,7327,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1720780,14241,1170188,12303,178208,5625,823305,9124,168675,4584,550592,8158,22532,2053,234582,5701,293478,4553,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,882584,7833,545782,7661,106330,3621,378527,5620,60925,2759,336802,6166,12065,1378,142890,3994,181847,3819,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,739191,7686,461942,6490,79968,3573,325779,5416,56195,2844,277249,4891,12042,1699,123237,3763,141970,2879,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1144309,10967,696216,10218,108249,4454,489530,8365,98437,3892,448093,6959,21953,1901,205567,5160,220573,4090,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1130134,10390,626821,10062,104119,4706,443751,8559,78951,3219,503313,7795,28902,2818,239503,6152,234908,4598,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,396014,5199,252865,4954,31332,1968,183773,3794,37760,2145,143149,3603,3102,539,64554,2572,75493,2556,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1433937,10091,1077903,11781,124282,4882,795859,10162,157762,4076,356034,6422,9794,1279,136505,5235,209735,3817,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1570055,10932,1121921,10032,111636,4694,851489,8194,158796,4289,448134,10031,9195,1244,175751,6519,263188,6476,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2713964,15597,1726769,14397,215030,6337,1244629,10673,267110,5598,987195,11398,52416,3533,433225,8739,501554,5896,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1508810,9302,1036410,9414,180275,5102,737781,7296,118354,3529,472400,6161,17539,1708,208936,4422,245925,3926,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,743611,9469,393597,7188,55635,3738,282871,6826,55091,2505,350014,7430,19118,2468,166922,5711,163974,4326,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
