GEO_ID,C23008_001E,C23008_001M,C23008_002E,C23008_002M,C23008_003E,C23008_003M,C23008_004E,C23008_004M,C23008_005E,C23008_005M,C23008_006E,C23008_006M,C23008_007E,C23008_007M,C23008_008E,C23008_008M,C23008_009E,C23008_009M,C23008_010E,C23008_010M,C23008_011E,C23008_011M,C23008_012E,C23008_012M,C23008_013E,C23008_013M,C23008_014E,C23008_014M,C23008_015E,C23008_015M,C23008_016E,C23008_016M,C23008_017E,C23008_017M,C23008_018E,C23008_018M,C23008_019E,C23008_019M,NAME,C23008_001EA,C23008_001MA,C23008_002MA,C23008_002EA,C23008_003MA,C23008_003EA,C23008_004MA,C23008_004EA,C23008_005EA,C23008_005MA,C23008_006EA,C23008_006MA,C23008_007MA,C23008_007EA,C23008_008MA,C23008_008EA,C23008_009MA,C23008_009EA,C23008_010EA,C23008_010MA,C23008_011EA,C23008_011MA,C23008_012MA,C23008_012EA,C23008_013MA,C23008_013EA,C23008_014MA,C23008_014EA,C23008_015EA,C23008_015MA,C23008_016EA,C23008_016MA,C23008_017MA,C23008_017EA,C23008_018MA,C23008_018EA,C23008_019MA,C23008_019EA,state
0400000US06,8811331,14490,2942198,13276,1902042,19078,1022944,18681,789017,16665,54784,3950,35297,3812,1040156,20168,767172,18212,272984,10873,5869133,15956,3886766,32039,2296729,32607,1342582,24616,164876,9944,82579,6342,1982367,28236,1594101,27909,388266,12106,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1176281,5427,395637,5490,280940,6928,158663,5977,109089,6006,9078,1956,4110,1411,114697,6490,88533,6068,26164,2858,780644,7501,539373,9766,343660,11259,168061,8855,18504,2725,9148,2177,241271,9574,203238,9101,38033,5069,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,764160,3553,230068,3510,151236,4661,97245,4394,48624,3819,3875,1289,1492,740,78832,4533,64928,4222,13904,2097,534092,3910,361907,7509,253278,7803,93810,5738,11493,2586,3326,1294,172185,6988,149674,6634,22511,2955,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,191503,2296,62709,1671,37425,2652,22478,2757,12913,2547,960,694,1074,731,25284,2385,20433,2371,4851,1755,128794,2179,79148,3964,54487,3941,18786,2729,3370,1285,2505,1691,49646,4376,43802,4375,5844,1448,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101051,1655,43938,1437,22968,1819,16507,1712,5531,1261,827,600,103,170,20970,1809,16808,1880,4162,1205,57113,1639,22526,2406,17246,2046,3689,1121,977,752,614,595,34587,2710,27127,2434,7460,1615,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3795358,9968,1244863,10315,710993,13523,418877,11937,255302,10020,25609,3848,11205,2650,533870,14797,418814,14656,115056,7925,2550495,12373,1569467,24503,1030955,20807,435325,14679,70111,6791,33076,4457,981028,23406,811640,21906,169388,11650,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2364265,10060,785220,7747,467154,11083,259846,9130,188645,9516,11618,2327,7045,1883,318066,9715,240271,8618,77795,6797,1579045,9801,972001,14300,610226,14546,303829,12185,41158,4965,16788,2917,607044,15209,497266,15838,109778,8141,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,285907,3074,104508,2370,68800,3049,41236,2879,24152,2665,2719,970,693,365,35708,2840,26054,2723,9654,1794,181399,3101,127248,4566,90329,4768,28496,3495,6624,1777,1799,727,54151,4056,43453,3861,10698,2394,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,410264,3125,133775,3305,97327,4509,52468,3511,41198,3502,2559,764,1102,648,36448,4298,28099,3749,8349,1971,276489,3367,201813,5583,122554,6227,68303,5642,7951,2271,3005,1023,74676,5184,63711,5046,10965,2149,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2943497,6908,952121,6903,615790,9453,375972,8926,220022,8227,14100,2312,5696,1475,336331,8485,271613,9141,64718,5502,1991376,7967,1334219,15410,890996,14093,386752,12911,41746,4031,14725,2035,657157,14282,560728,13887,96429,7530,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
