GEO_ID,B25100_001E,B25100_001M,B25100_002E,B25100_002M,B25100_003E,B25100_003M,B25100_004E,B25100_004M,B25100_005E,B25100_005M,B25100_006E,B25100_006M,B25100_007E,B25100_007M,B25100_008E,B25100_008M,B25100_009E,B25100_009M,B25100_010E,B25100_010M,B25100_011E,B25100_011M,B25100_012E,B25100_012M,B25100_013E,B25100_013M,NAME,B25100_001EA,B25100_001MA,B25100_002EA,B25100_002MA,B25100_003EA,B25100_003MA,B25100_004EA,B25100_004MA,B25100_005EA,B25100_005MA,B25100_006EA,B25100_006MA,B25100_007MA,B25100_007EA,B25100_008MA,B25100_008EA,B25100_009EA,B25100_009MA,B25100_010EA,B25100_010MA,B25100_011EA,B25100_011MA,B25100_012EA,B25100_012MA,B25100_013MA,B25100_013EA,state
0400000US06,6781817,25470,5013594,26823,880363,12619,1002877,15543,838632,13394,2255225,19267,36497,3332,1768223,13924,349212,7362,191996,5231,166146,4875,1036307,11643,24562,2681,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278158,11129,945039,10533,239492,7686,264626,7204,159756,5592,276071,7197,5094,1051,333119,5691,80747,3972,51794,2662,40805,2239,156303,5247,3470,887,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,908452,7756,642602,8945,185366,6237,177126,4938,100708,4925,176837,5634,2565,797,265850,5449,54049,3054,44272,2684,32734,2090,132078,4285,2717,685,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,241050,3609,168064,4422,44200,3265,47333,2922,28103,2283,47677,2988,751,384,72986,2939,19556,2188,10788,1232,8837,1096,32932,1868,873,361,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110681,3549,87104,3340,11793,1364,19935,1803,16075,2037,38727,2449,574,320,23577,2090,2507,619,2823,778,2711,549,15177,1534,359,275,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4724428,21345,2888716,18233,1169689,16000,644885,12388,346529,10377,704163,10458,23450,2513,1835712,18176,648224,11264,297718,7719,212814,6899,639123,10449,37833,2969,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2248702,19411,1560580,18192,731500,11782,359169,9254,164732,8293,290803,9083,14376,2672,688122,12099,277878,8595,112871,4812,74128,4097,210922,6558,12323,1554,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,254770,4107,172799,4553,10835,1286,22091,1806,29121,2305,109800,4002,952,534,81971,3305,7391,1326,6655,932,6832,867,59584,2594,1509,554,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,398671,5979,270378,6063,91197,4701,75975,4475,37214,2844,64580,3984,1412,557,128293,4525,42401,2846,21275,2380,16149,1724,47293,2723,1175,475,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3177104,16645,2153509,15842,937642,12746,531925,9460,256786,6745,418175,9060,8981,1333,1023595,11279,367387,7967,177248,4723,121151,4313,345992,7719,11817,1527,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
