GEO_ID,C23023_001E,C23023_001M,C23023_002E,C23023_002M,C23023_003E,C23023_003M,C23023_004E,C23023_004M,C23023_005E,C23023_005M,C23023_006E,C23023_006M,C23023_007E,C23023_007M,C23023_008E,C23023_008M,C23023_009E,C23023_009M,C23023_010E,C23023_010M,C23023_011E,C23023_011M,C23023_012E,C23023_012M,C23023_013E,C23023_013M,C23023_014E,C23023_014M,C23023_015E,C23023_015M,C23023_016E,C23023_016M,C23023_017E,C23023_017M,C23023_018E,C23023_018M,C23023_019E,C23023_019M,C23023_020E,C23023_020M,C23023_021E,C23023_021M,C23023_022E,C23023_022M,C23023_023E,C23023_023M,NAME,C23023_001MA,C23023_001EA,C23023_002EA,C23023_002MA,C23023_003EA,C23023_003MA,C23023_004EA,C23023_004MA,C23023_005EA,C23023_005MA,C23023_006MA,C23023_006EA,C23023_007MA,C23023_007EA,C23023_008EA,C23023_008MA,C23023_009EA,C23023_009MA,C23023_010EA,C23023_010MA,C23023_011MA,C23023_011EA,C23023_012MA,C23023_012EA,C23023_013EA,C23023_013MA,C23023_014EA,C23023_014MA,C23023_015EA,C23023_015MA,C23023_016EA,C23023_016MA,C23023_017MA,C23023_017EA,C23023_018MA,C23023_018EA,C23023_019EA,C23023_019MA,C23023_020EA,C23023_020MA,C23023_021EA,C23023_021MA,C23023_022MA,C23023_022EA,C23023_023MA,C23023_023EA,state
0400000US06,25285590,9577,12734572,7233,1054929,16004,406574,10185,204891,6266,201683,7259,648355,12446,11679643,17140,9309463,25247,6234181,31812,3075282,23469,2370180,21637,12551018,7842,974916,15247,340246,9574,146909,6324,193337,6850,634670,12511,11576102,16327,7914662,29897,4311170,23517,3603492,27037,3661440,28197,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3474525,3805,1764213,3284,159102,6810,80751,5463,44151,3695,36600,3464,78351,3963,1605111,7009,1404826,7771,967143,10925,437683,9622,200285,6205,1710312,3578,144756,6307,62300,3862,27068,2486,35232,2606,82456,4643,1565556,6983,1214666,10419,690063,10178,524603,10032,350890,9477,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2361506,2878,1165863,2683,104984,4812,50725,3520,22262,1997,28463,2917,54259,3640,1060879,5132,898598,7486,629461,8297,269137,7668,162281,6213,1195643,2407,95045,4473,40555,2810,15196,1824,25359,2288,54490,3362,1100598,4826,865445,6900,480306,7173,385139,7177,235153,6629,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,593668,1605,289258,1232,28329,2548,10670,1544,5211,1080,5459,1150,17659,1843,260929,2811,218521,3802,152824,4387,65697,4087,42408,2509,304410,1081,33030,2123,12900,1333,6299,1329,6601,1125,20130,1934,271380,2342,214081,4049,128280,3607,85801,3643,57299,3472,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,461746,908,220406,600,21516,2154,8288,1393,4247,911,4041,976,13228,1713,198890,2222,163831,3437,115957,3918,47874,3621,35059,3069,241340,743,23691,2176,9391,1509,4306,1001,5085,1013,14300,1729,217649,2098,175336,3701,113979,3946,61357,3795,42313,3032,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12275536,8601,6069208,5865,636978,12915,235689,8582,117530,5996,118159,5968,401289,11392,5432230,13688,4296466,18612,2955282,21321,1341184,16562,1135764,17243,6206328,7547,592408,12524,192977,7402,88394,4529,104583,5467,399431,10399,5613920,13646,4011177,21582,2416201,20013,1594976,17344,1602743,20453,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6553167,6710,3224479,5839,353721,11002,132745,6607,73396,4619,59349,4972,220976,7846,2870758,11102,2285584,14644,1622125,15751,663459,11826,585174,12660,3328688,5468,338314,9145,114339,6602,57148,4210,57191,4321,223975,8216,2990374,10374,2085778,16638,1269806,16312,815972,13617,904596,16895,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,912423,1883,469672,1567,40622,3411,19442,2589,12159,2134,7283,1222,21180,2320,429050,3551,359539,4466,253781,5243,105758,4841,69511,3559,442751,1120,31957,2984,11882,1641,5589,1121,6293,1238,20075,2337,410794,3175,310871,4470,188144,4197,122727,4350,99923,4242,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1005798,2363,506272,2375,59618,4078,27524,2525,14178,1660,13346,1844,32094,3149,446654,4274,386444,4387,252679,5723,133765,5766,60210,3641,499526,2535,51286,4053,23031,2706,9183,1523,13848,2168,28255,2912,448240,4979,339291,6697,168839,5886,170452,6746,108949,5302,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8473346,5520,4211550,4346,371480,8537,149293,5783,79364,4084,69929,3564,222187,6447,3840070,9854,3183714,12512,2228664,15235,955050,14064,656356,12311,4261796,4518,355782,8828,132694,5009,61245,3440,71449,3769,223088,7767,3906014,8925,2938720,13810,1712706,15220,1226014,14471,967294,13287,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
