GEO_ID,C15002B_001E,C15002B_001M,C15002B_002E,C15002B_002M,C15002B_003E,C15002B_003M,C15002B_004E,C15002B_004M,C15002B_005E,C15002B_005M,C15002B_006E,C15002B_006M,C15002B_007E,C15002B_007M,C15002B_008E,C15002B_008M,C15002B_009E,C15002B_009M,C15002B_010E,C15002B_010M,C15002B_011E,C15002B_011M,NAME,C15002B_001EA,C15002B_001MA,C15002B_002EA,C15002B_002MA,C15002B_003MA,C15002B_003EA,C15002B_004EA,C15002B_004MA,C15002B_005EA,C15002B_005MA,C15002B_006EA,C15002B_006MA,C15002B_007EA,C15002B_007MA,C15002B_008MA,C15002B_008EA,C15002B_009MA,C15002B_009EA,C15002B_010EA,C15002B_010MA,C15002B_011EA,C15002B_011MA,state
0400000US06,1458497,7849,703614,4912,90023,5406,182944,6827,285004,7733,145643,6353,754883,5514,80986,4660,168596,5636,333623,7311,171678,5804,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,130236,2928,69863,2493,7504,1613,19826,2346,25847,2554,16686,2098,60373,1561,6981,1277,13511,1564,25730,1867,14151,1561,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,222724,3397,101323,2082,16674,1503,39115,2868,26997,2713,18537,2373,121401,2210,16240,2059,40250,2642,40489,3026,24422,2622,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,121408,1414,54631,821,7592,1228,22915,1921,14650,1589,9474,1471,66777,1022,9075,1355,20841,1954,21068,1921,15793,2033,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,208894,1589,90750,998,17036,1716,30103,2701,22742,1913,20869,2314,118144,912,18330,1705,37041,2402,33027,2371,29746,2379,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1867536,9580,863608,6278,186102,6346,315769,9871,237150,7512,124587,5582,1003928,5868,181998,5841,310962,9136,324456,8735,186512,6882,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1843035,7225,825350,4672,147641,6139,277561,7887,256179,9013,143969,7168,1017685,4978,151946,6462,275197,8184,352482,9738,238060,9455,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,15045,1096,9911,822,108,118,2239,767,4182,1028,3382,855,5134,612,107,142,324,258,2799,661,1904,481,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4453,1005,3192,857,62,89,562,366,1757,820,811,636,1261,696,41,70,440,374,367,308,413,348,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1140512,4612,511431,3570,90356,4161,167553,5546,171249,6449,82273,4331,629081,2956,92532,4185,166998,5375,234974,5209,134577,4887,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,353283,3440,162833,2252,29306,2040,59137,3327,50119,2869,24271,2912,190450,2261,25184,2084,61048,3532,70229,3720,33989,2222,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,49116,2003,26490,1516,4043,1080,8699,1336,8032,1161,5716,1196,22626,1209,4210,857,5542,1082,8600,1187,4274,833,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,100273,2398,50568,1974,5988,1036,16390,1949,19911,2064,8279,1448,49705,1252,5280,1026,12825,1686,21765,1730,9835,1565,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,207233,3250,98722,2560,16470,2011,37311,2147,30670,2952,14271,1873,108511,2302,16762,1786,31522,2703,42520,3270,17707,2439,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
