GEO_ID,B27022_001E,B27022_001M,B27022_002E,B27022_002M,B27022_003E,B27022_003M,B27022_004E,B27022_004M,B27022_005E,B27022_005M,B27022_006E,B27022_006M,B27022_007E,B27022_007M,B27022_008E,B27022_008M,B27022_009E,B27022_009M,B27022_010E,B27022_010M,B27022_011E,B27022_011M,B27022_012E,B27022_012M,B27022_013E,B27022_013M,B27022_014E,B27022_014M,B27022_015E,B27022_015M,NAME,B27022_001MA,B27022_001EA,B27022_002EA,B27022_002MA,B27022_003EA,B27022_003MA,B27022_004EA,B27022_004MA,B27022_005MA,B27022_005EA,B27022_006MA,B27022_006EA,B27022_007MA,B27022_007EA,B27022_008EA,B27022_008MA,B27022_009EA,B27022_009MA,B27022_010MA,B27022_010EA,B27022_011MA,B27022_011EA,B27022_012MA,B27022_012EA,B27022_013EA,B27022_013MA,B27022_014EA,B27022_014MA,B27022_015MA,B27022_015EA,state
0400000US06,3940679,14190,2003802,10996,883272,11754,665620,11584,217652,7154,1120530,13653,645702,13542,474828,10420,1936877,8293,957136,11491,730098,12534,227038,7362,979741,12003,669623,9547,310118,9116,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,489799,5784,246708,4013,97094,4913,81210,4456,15884,2558,149614,4759,94068,3920,55546,3493,243091,3630,107582,4209,92775,4274,14807,2010,135509,4996,99609,4535,35900,2927,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,325760,4679,164909,3320,71717,3551,63073,3465,8644,1517,93192,3668,68263,3705,24929,2929,160851,2887,86105,3345,77362,3199,8743,1620,74746,3730,59859,3506,14887,2037,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,89929,2749,44013,2117,18029,2117,15928,2072,2101,963,25984,2253,18224,2049,7760,1596,45916,1564,24328,1703,21682,1617,2646,959,21588,2086,17481,2098,4107,1314,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,84345,3126,36817,1953,17662,1954,16900,2068,762,398,19155,1895,16131,1916,3024,857,47528,1999,22123,1808,21587,1800,536,305,25405,2163,23681,1983,1724,565,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1762971,13230,879070,8734,369844,9585,270687,8756,99157,6567,509226,10285,254813,8164,254413,8424,883901,8341,435895,10132,321604,9450,114291,7745,448006,10433,270381,9857,177625,7279,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,960002,9271,470373,5816,185136,6716,143651,5972,41485,4295,285237,7570,156766,5967,128471,6795,489629,6629,226910,7167,179749,7695,47161,4159,262719,8008,166838,6767,95881,6521,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,123746,3121,62573,2509,22850,1982,20549,2047,2301,841,39723,2661,32530,2526,7193,1524,61173,1907,24858,1940,22890,1938,1968,572,36315,2098,33028,1952,3287,906,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,148328,4065,73395,2616,28458,2990,25234,2582,3224,1129,44937,3164,28084,2628,16853,2329,74933,2764,31561,3002,26838,2861,4723,1194,43372,2845,27822,2231,15550,2489,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1221793,7923,613405,6934,262196,5957,219969,6188,42227,3085,351209,7508,220159,6911,131050,4698,608388,5525,291655,6910,246946,7144,44709,3564,316733,7444,242612,6629,74121,4487,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,646858,6535,326105,5568,136086,4368,116502,4362,19584,2146,190019,4978,119522,4575,70497,3875,320753,4025,156078,4827,135905,4485,20173,2426,164675,4973,114682,4710,49993,3390,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,306901,4504,157193,3026,66892,2821,61169,2563,5723,1076,90301,3309,69471,3323,20830,2134,149708,3103,71711,3361,65791,3139,5920,1310,77997,3515,62696,3215,15301,1924,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
