GEO_ID,B13002H_001E,B13002H_001M,B13002H_002E,B13002H_002M,B13002H_003E,B13002H_003M,B13002H_004E,B13002H_004M,B13002H_005E,B13002H_005M,B13002H_006E,B13002H_006M,B13002H_007E,B13002H_007M,NAME,B13002H_001MA,B13002H_001EA,B13002H_002MA,B13002H_002EA,B13002H_003MA,B13002H_003EA,B13002H_004MA,B13002H_004EA,B13002H_005MA,B13002H_005EA,B13002H_006EA,B13002H_006MA,B13002H_007MA,B13002H_007EA,state
0400000US06,3297552,6518,145435,6416,115360,5521,30075,2797,3152117,8216,1375939,13139,1776178,12530,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,851444,3031,41760,2734,35465,2736,6295,1260,809684,4026,388121,7176,421563,7364,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,560353,2534,22788,2202,18355,1906,4433,1232,537565,3471,244281,5429,293284,5093,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,132990,1177,6724,1333,4979,1197,1745,662,126266,1891,54850,2689,71416,2432,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,77148,519,2280,628,2195,612,85,116,74868,826,20352,1676,54516,1746,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2216077,5507,101313,5036,67581,4253,33732,3969,2114764,7792,934350,10725,1180414,12508,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1286032,3810,75479,4441,55625,3865,19854,2591,1210553,6508,625881,10302,584672,10436,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,66096,750,4519,1056,3617,935,902,410,61577,1278,33046,1750,28531,1759,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,303025,1428,19687,2413,14969,1910,4718,1180,283338,2852,144898,4384,138440,4238,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1875400,3808,87356,4143,66063,3687,21293,2544,1788044,5308,831744,10780,956300,10792,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1233766,3055,63567,3870,41939,2972,21628,2322,1170199,5225,556543,7132,613656,8053,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,610628,2040,32415,2207,22402,1986,10013,1064,578213,3059,279333,5112,298880,5156,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,505940,1790,33215,2718,23225,2359,9990,1606,472725,3510,230518,4826,242207,4846,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,884356,2741,47951,3004,32085,2496,15866,2166,836405,4072,412514,6710,423891,6941,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
