GEO_ID,B22005D_001E,B22005D_001M,B22005D_002E,B22005D_002M,B22005D_003E,B22005D_003M,NAME,B22005D_001MA,B22005D_001EA,B22005D_002EA,B22005D_002MA,B22005D_003EA,B22005D_003MA,state
0400000US06,1585165,11631,80165,4281,1505000,12324,California,null,null,null,null,null,null,06
0400000US08,46156,2440,3932,1060,42224,2233,Colorado,null,null,null,null,null,null,08
0400000US09,44295,1927,1611,514,42684,1956,Connecticut,null,null,null,null,null,null,09
0400000US10,8915,685,620,333,8295,789,Delaware,null,null,null,null,null,null,10
0400000US11,9195,1166,346,180,8849,1190,District of Columbia,null,null,null,null,null,null,11
0400000US12,150071,4771,11856,1487,138215,4584,Florida,null,null,null,null,null,null,12
0400000US13,98633,3193,6087,1305,92546,3353,Georgia,null,null,null,null,null,null,13
0400000US15,174746,3493,13004,1621,161742,3863,Hawaii,null,null,null,null,null,null,15
0400000US16,6014,1134,835,501,5179,1077,Idaho,null,null,null,null,null,null,16
0400000US17,202196,4226,14961,1713,187235,4542,Illinois,null,null,null,null,null,null,17
0400000US18,36191,1962,2017,699,34174,2011,Indiana,null,null,null,null,null,null,18
0400000US19,16226,1164,2445,607,13781,1091,Iowa,null,null,null,null,null,null,19
0400000US20,21576,1245,2072,607,19504,1344,Kansas,null,null,null,null,null,null,20
0400000US21,16294,1414,1622,718,14672,1313,Kentucky,null,null,null,null,null,null,21
0400000US22,22581,1768,2197,627,20384,1834,Louisiana,null,null,null,null,null,null,22
0400000US23,4642,1019,1484,724,3158,839,Maine,null,null,null,null,null,null,23
0400000US24,104233,2790,6582,1059,97651,2751,Maryland,null,null,null,null,null,null,24
0400000US25,119960,3056,16575,1788,103385,2978,Massachusetts,null,null,null,null,null,null,25
0400000US26,77187,2777,6570,981,70617,2786,Michigan,null,null,null,null,null,null,26
0400000US27,60556,2248,9871,1275,50685,2429,Minnesota,null,null,null,null,null,null,27
0400000US28,7389,1237,440,373,6949,1224,Mississippi,null,null,null,null,null,null,28
0400000US29,31404,1519,2572,837,28832,1766,Missouri,null,null,null,null,null,null,29
0400000US30,2748,946,262,272,2486,918,Montana,null,null,null,null,null,null,30
0400000US31,10772,659,904,410,9868,723,Nebraska,null,null,null,null,null,null,31
0400000US32,62885,2680,5300,1443,57585,2674,Nevada,null,null,null,null,null,null,32
0400000US33,9981,966,562,352,9419,1080,New Hampshire,null,null,null,null,null,null,33
0400000US34,237567,4090,11029,1542,226538,4052,New Jersey,null,null,null,null,null,null,34
0400000US35,7761,836,670,314,7091,862,New Mexico,null,null,null,null,null,null,35
0400000US36,465827,6898,62264,3159,403563,7292,New York,null,null,null,null,null,null,36
0400000US37,71501,2355,5298,1095,66203,2620,North Carolina,null,null,null,null,null,null,37
0400000US38,2397,702,238,218,2159,741,North Dakota,null,null,null,null,null,null,38
0400000US39,66610,3025,4533,1013,62077,2928,Ohio,null,null,null,null,null,null,39
0400000US40,19686,1119,1639,438,18047,1201,Oklahoma,null,null,null,null,null,null,40
0400000US41,46971,2130,6597,1307,40374,2151,Oregon,null,null,null,null,null,null,41
0400000US42,112349,3709,11749,1389,100600,3808,Pennsylvania,null,null,null,null,null,null,42
0400000US44,10215,1086,1083,390,9132,1071,Rhode Island,null,null,null,null,null,null,44
0400000US45,18671,1336,1217,482,17454,1475,South Carolina,null,null,null,null,null,null,45
0400000US46,2066,520,152,122,1914,528,South Dakota,null,null,null,null,null,null,46
0400000US47,31845,1911,2545,826,29300,1978,Tennessee,null,null,null,null,null,null,47
0400000US48,330115,5408,24435,2162,305680,5672,Texas,null,null,null,null,null,null,48
0400000US49,18820,1350,2586,609,16234,1348,Utah,null,null,null,null,null,null,49
0400000US50,2200,429,473,257,1727,414,Vermont,null,null,null,null,null,null,50
0400000US51,137620,3458,6632,1278,130988,3759,Virginia,null,null,null,null,null,null,51
0400000US53,170607,3524,22151,2324,148456,3944,Washington,null,null,null,null,null,null,53
0400000US54,4383,856,133,132,4250,860,West Virginia,null,null,null,null,null,null,54
0400000US55,37660,1961,7377,1385,30283,2048,Wisconsin,null,null,null,null,null,null,55
0400000US56,1494,538,0,185,1494,538,Wyoming,null,null,null,null,null,null,56
0400000US72,4204,1101,1603,655,2601,891,Puerto Rico,null,null,null,null,null,null,72
0400000US01,18548,1664,1344,687,17204,1524,Alabama,null,null,null,null,null,null,01
0400000US02,9305,984,1243,579,8062,1009,Alaska,null,null,null,null,null,null,02
0400000US04,62472,2841,4861,1352,57611,2735,Arizona,null,null,null,null,null,null,04
0400000US05,13468,1315,683,422,12785,1322,Arkansas,null,null,null,null,null,null,05
