GEO_ID,C27001B_001E,C27001B_001M,C27001B_002E,C27001B_002M,C27001B_003E,C27001B_003M,C27001B_004E,C27001B_004M,C27001B_005E,C27001B_005M,C27001B_006E,C27001B_006M,C27001B_007E,C27001B_007M,C27001B_008E,C27001B_008M,C27001B_009E,C27001B_009M,C27001B_010E,C27001B_010M,NAME,C27001B_001EA,C27001B_001MA,C27001B_002EA,C27001B_002MA,C27001B_003MA,C27001B_003EA,C27001B_004MA,C27001B_004EA,C27001B_005MA,C27001B_005EA,C27001B_006EA,C27001B_006MA,C27001B_007EA,C27001B_007MA,C27001B_008MA,C27001B_008EA,C27001B_009MA,C27001B_009EA,C27001B_010MA,C27001B_010EA,state
0400000US06,2172898,18116,534373,10304,503564,10972,30809,5018,1409643,11135,1110761,12686,298882,11794,228882,2737,225861,2826,3021,762,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,205296,5711,61677,3449,56639,3804,5038,1630,128475,3294,98526,3700,29949,3059,15144,891,15116,895,28,48,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,356351,6280,95847,3499,90396,3818,5451,1960,229011,4061,186062,4842,42949,4090,31493,1063,30623,1069,870,612,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,192337,2873,52282,2072,50916,2130,1366,574,121997,1666,107529,2969,14468,2387,18058,280,17936,268,122,144,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,306433,2415,67222,1196,66139,1302,1083,638,196818,1716,177066,3088,19752,2691,42393,560,42177,612,216,181,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3009390,17641,838500,10298,736556,13159,101944,7737,1899497,9836,1264434,15251,635063,14612,271393,3151,260166,3519,11227,1938,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2974373,12667,848886,7908,783708,10172,65178,6523,1894297,7495,1371386,13330,522911,14387,231190,2548,228762,2590,2428,932,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,19888,2026,5912,835,5912,835,0,177,12816,1491,11693,1580,1123,698,1160,453,1160,453,0,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8054,1513,2355,1011,2185,958,170,214,5520,896,5068,854,452,336,179,192,179,192,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1793228,9134,485461,6463,464081,6968,21380,3337,1123162,5446,838494,8641,284668,8461,184605,1926,182221,2108,2384,866,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,575279,7155,173237,5239,162228,5288,11009,2401,352975,3738,259701,5352,93274,4675,49067,1262,48424,1363,643,428,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,88002,3752,28703,2958,27915,2887,788,356,55390,2094,44386,2356,11004,1704,3909,670,3909,670,0,151,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,157320,3926,46483,2899,43753,2989,2730,967,96954,3170,72383,3107,24571,2922,13883,1164,13848,1157,35,60,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,326426,6773,91972,4091,87119,4395,4853,1519,206520,4005,154661,5143,51859,3707,27934,1451,27934,1451,0,181,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1433191,6360,419864,3827,398380,4906,21484,3296,881434,4237,603010,8739,278424,8985,131893,2037,130524,2057,1369,578,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13310,1674,4365,1109,4039,1094,326,274,8338,915,6752,1055,1586,598,607,310,607,310,0,155,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1680838,8259,425654,4991,410309,5427,15345,2346,1093748,5791,924362,10125,169386,8169,161436,1484,158869,1648,2567,777,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,463940,7884,130575,3993,126828,4135,3747,1585,297075,5427,269402,6068,27673,3025,36290,1335,35846,1342,444,357,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1348926,7496,367017,5283,352756,5460,14261,2942,845672,3528,653580,6565,192092,6758,136237,1596,135631,1642,606,383,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,278768,5733,95280,4003,89650,4097,5630,1801,172270,3028,139161,3922,33109,3361,11218,637,11056,616,162,184,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1096083,5111,328194,3035,304971,4739,23223,3762,673958,3521,479697,7984,194261,7764,93931,1357,93540,1394,391,266,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,663990,5833,187544,4467,171645,4732,15899,2409,413864,3506,294822,6534,119042,5702,62582,1735,61815,1790,767,564,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,3404,1090,855,583,708,537,147,203,2306,792,1722,750,584,436,243,216,243,216,0,157,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,81654,3367,27736,2098,26423,2089,1313,604,48344,1883,35409,2340,12935,1945,5574,502,5394,462,180,215,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,219827,4423,59541,2729,52622,3140,6919,1935,139895,2847,96563,3768,43332,3711,20391,764,19928,851,463,385,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,16087,2571,4415,1303,3633,1039,782,790,11253,1668,7833,1303,3420,1342,419,298,419,298,0,181,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1167084,11092,300002,5065,282747,4788,17255,2303,748131,7862,587605,8540,160526,7737,118951,1720,117446,1678,1505,539,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,40809,2608,13032,1625,12136,1727,896,685,24967,1951,19923,1867,5044,1357,2810,581,2810,581,0,185,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2969934,15837,740918,8336,711420,9001,29498,3949,1906985,10268,1583863,13002,323122,9444,322031,3125,316000,3317,6031,1567,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2049881,10477,539959,7141,508579,7260,31380,3863,1306078,6510,953868,11097,352210,10819,203844,2341,201919,2338,1925,808,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,9586,1662,2646,959,2535,928,111,180,6905,1025,4674,946,2231,679,35,68,35,68,0,141,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1367938,9077,384245,5967,362944,6718,21301,3198,846329,5037,638564,7861,207765,7355,137364,2096,135663,2233,1701,771,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,259472,4149,72669,2612,68584,2745,4085,1002,163542,2681,119949,3571,43593,2714,23261,1147,22889,1220,372,301,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,67923,3833,19064,2510,18735,2494,329,347,43766,1846,33213,2166,10553,1767,5093,629,5059,633,34,63,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,1339812,12502,368042,6863,353103,7001,14939,2661,839973,7468,664123,9193,175850,7988,131797,1849,129938,1836,1859,605,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
