GEO_ID,C08113_001E,C08113_001M,C08113_002E,C08113_002M,C08113_003E,C08113_003M,C08113_004E,C08113_004M,C08113_005E,C08113_005M,C08113_006E,C08113_006M,C08113_007E,C08113_007M,C08113_008E,C08113_008M,C08113_009E,C08113_009M,C08113_010E,C08113_010M,C08113_011E,C08113_011M,C08113_012E,C08113_012M,C08113_013E,C08113_013M,C08113_014E,C08113_014M,C08113_015E,C08113_015M,C08113_016E,C08113_016M,C08113_017E,C08113_017M,C08113_018E,C08113_018M,C08113_019E,C08113_019M,C08113_020E,C08113_020M,C08113_021E,C08113_021M,C08113_022E,C08113_022M,C08113_023E,C08113_023M,C08113_024E,C08113_024M,C08113_025E,C08113_025M,C08113_026E,C08113_026M,C08113_027E,C08113_027M,C08113_028E,C08113_028M,C08113_029E,C08113_029M,C08113_030E,C08113_030M,NAME,C08113_001MA,C08113_001EA,C08113_002EA,C08113_002MA,C08113_003EA,C08113_003MA,C08113_004EA,C08113_004MA,C08113_005MA,C08113_005EA,C08113_006MA,C08113_006EA,C08113_007MA,C08113_007EA,C08113_008EA,C08113_008MA,C08113_009EA,C08113_009MA,C08113_010EA,C08113_010MA,C08113_011MA,C08113_011EA,C08113_012MA,C08113_012EA,C08113_013EA,C08113_013MA,C08113_014EA,C08113_014MA,C08113_015EA,C08113_015MA,C08113_016MA,C08113_016EA,C08113_017MA,C08113_017EA,C08113_018MA,C08113_018EA,C08113_019EA,C08113_019MA,C08113_020EA,C08113_020MA,C08113_021EA,C08113_021MA,C08113_022EA,C08113_022MA,C08113_023EA,C08113_023MA,C08113_024MA,C08113_024EA,C08113_025EA,C08113_025MA,C08113_026MA,C08113_026EA,C08113_027EA,C08113_027MA,C08113_028EA,C08113_028MA,C08113_029MA,C08113_029EA,C08113_030EA,C08113_030MA,state
0400000US06,16432358,41929,9079055,38588,7353303,35453,4076084,30161,3277219,28486,12059924,50107,6887255,40096,5172669,37621,3061171,26174,2111498,26262,1821450,24221,762859,16782,1058591,19142,484264,13671,574327,13702,851099,15586,378874,9870,472225,12948,202889,8916,269336,9169,834723,18297,461414,12785,373309,12578,173381,6618,199928,9532,865162,15704,588653,13235,276509,7693,154379,6294,122130,4638,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2538793,15597,2131583,16975,407210,11152,246391,9801,160819,6216,1889150,18419,1610849,17593,278301,10256,173331,8084,104970,5138,245831,9352,182613,7965,63218,4835,31932,3379,31286,3456,81980,5100,58543,4420,23437,3044,11094,1958,12343,2110,153618,6982,130324,6337,23294,2697,16112,2048,7182,1500,168214,6844,149254,6334,18960,2559,13922,1998,5038,1225,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1728325,12264,1351148,11570,377177,8342,230845,6446,146332,6665,1358109,13375,1095081,11933,263028,7493,172805,6456,90223,5178,142303,6353,87199,4525,55104,4157,24744,2660,30360,3583,82482,5268,55711,3404,26771,3396,13912,1963,12859,2665,73891,5200,50540,3964,23351,2679,12763,2014,10588,2137,71540,4258,62617,3860,8923,1346,6621,1158,2302,584,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,421883,5569,364105,5685,57778,3799,37729,3994,20049,2328,343732,6538,301235,6705,42497,3197,27584,3375,14913,1942,34036,2891,25770,2477,8266,1693,4704,1208,3562,1117,10725,1732,8662,1451,2063,914,1699,878,364,298,14823,1946,12359,1866,2464,787,1790,616,674,492,18567,2031,16079,1848,2488,735,1952,672,536,377,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,326143,6312,267181,6789,58962,3612,38186,2863,20776,2729,111088,5103,91125,4735,19963,2644,12864,1713,7099,2027,18396,2250,14024,2059,4372,1044,2569,766,1803,699,125890,5558,103161,5161,22729,2437,14005,1991,8724,1807,55640,4506,46083,4055,9557,1774,6989,1400,2568,931,15129,1890,12788,1745,2341,724,1759,655,582,355,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8161313,33163,5682079,28521,2479234,25033,1467915,22081,1011319,16067,6473106,37786,4616432,27577,1856674,24492,1168432,20139,688242,15979,795280,17080,465569,13595,329711,12150,156483,7185,173228,9795,177143,9552,87114,6038,90029,6509,35687,3891,54342,5317,311497,10280,206130,6945,105367,6772,46336,3892,59031,5335,404287,11109,306834,9428,97453,5888,60977,4745,36476,3466,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4213128,24999,3603924,26206,609204,14738,337977,10890,271227,11468,3353644,22638,2938768,24968,414876,12843,252017,9329,162859,7753,439477,13300,316951,10347,122526,8999,46986,4602,75540,7517,82974,5095,65277,4549,17697,2890,7652,1776,10045,2165,135563,6501,106091,5627,29472,3588,13764,2243,15708,2938,201470,6626,176837,5891,24633,2875,17558,2499,7075,1658,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,670355,7481,499924,7604,170431,7245,85725,5232,84706,5154,437154,8837,340698,7687,96456,6236,54783,3976,41673,3723,102542,5152,74976,3952,27566,2646,13504,1841,14062,1988,45177,3416,22065,2066,23112,2424,7140,1151,15972,2045,56006,4040,39435,3135,16571,2118,6480,1072,10091,1891,29476,2735,22750,2198,6726,1639,3818,1420,2908,801,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,697765,7911,620237,8857,77528,4614,43914,3697,33614,2740,542709,9910,485855,9435,56854,4013,34569,3420,22285,2273,70227,5655,58582,5076,11645,2151,4525,1086,7120,1768,5925,1058,5671,1040,254,235,134,173,120,163,37887,3210,31396,2925,6491,1518,3297,934,3194,1130,41017,3189,38733,3242,2284,1137,1389,791,895,543,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5927604,21876,4560371,22497,1367233,15877,784944,15936,582289,14494,4362024,21463,3440075,20866,921949,14440,549899,12481,372050,11249,526666,12110,330608,8570,196058,7968,84636,4735,111422,6250,506351,11780,373285,9791,133066,6286,82718,5469,50348,4179,288521,9291,211586,7461,76935,5502,41211,3707,35724,3924,244042,7533,204817,6821,39225,3734,26480,2846,12745,2016,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
