GEO_ID,C06007_001E,C06007_001M,C06007_002E,C06007_002M,C06007_003E,C06007_003M,C06007_004E,C06007_004M,C06007_005E,C06007_005M,C06007_006E,C06007_006M,C06007_007E,C06007_007M,C06007_008E,C06007_008M,C06007_009E,C06007_009M,C06007_010E,C06007_010M,C06007_011E,C06007_011M,C06007_012E,C06007_012M,C06007_013E,C06007_013M,C06007_014E,C06007_014M,C06007_015E,C06007_015M,C06007_016E,C06007_016M,C06007_017E,C06007_017M,C06007_018E,C06007_018M,C06007_019E,C06007_019M,C06007_020E,C06007_020M,C06007_021E,C06007_021M,C06007_022E,C06007_022M,C06007_023E,C06007_023M,C06007_024E,C06007_024M,C06007_025E,C06007_025M,NAME,C06007_001MA,C06007_001EA,C06007_002EA,C06007_002MA,C06007_003MA,C06007_003EA,C06007_004MA,C06007_004EA,C06007_005EA,C06007_005MA,C06007_006MA,C06007_006EA,C06007_007EA,C06007_007MA,C06007_008EA,C06007_008MA,C06007_009MA,C06007_009EA,C06007_010EA,C06007_010MA,C06007_011MA,C06007_011EA,C06007_012EA,C06007_012MA,C06007_013EA,C06007_013MA,C06007_014MA,C06007_014EA,C06007_015MA,C06007_015EA,C06007_016EA,C06007_016MA,C06007_017EA,C06007_017MA,C06007_018MA,C06007_018EA,C06007_019MA,C06007_019EA,C06007_020EA,C06007_020MA,C06007_021MA,C06007_021EA,C06007_022EA,C06007_022MA,C06007_023EA,C06007_023MA,C06007_024MA,C06007_024EA,C06007_025EA,C06007_025MA,state
0400000US37,9140321,3011,8122799,16934,1017522,17108,567964,15160,449558,12213,5116018,31189,4914434,31962,201584,7857,154637,7199,46947,4615,3187825,27807,3016033,27985,171792,8725,145583,8312,26209,2900,94831,5689,65558,4832,29273,3743,20193,3041,9080,2345,741647,15090,126774,6596,614873,13296,247551,8692,367322,11293,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,654508,664,616306,2831,38202,2691,26805,2463,11397,1623,429749,6323,415481,6111,14268,1566,11440,1443,2828,771,199364,6393,191111,5980,8253,1336,6919,1220,1334,524,6190,1443,5249,1352,941,490,873,481,68,75,19205,2632,4465,885,14740,2527,7573,2220,7167,1437,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,10854170,2208,10130384,15313,723786,15482,470997,13254,252789,8912,8022995,26903,7773872,28982,249123,9066,194441,8232,54682,4361,2302401,23708,2212169,23773,90232,4677,75410,4155,14822,1967,81955,3842,44359,3096,37596,3115,20405,2177,17191,2093,446819,11180,99984,5292,346835,9997,180741,8202,166094,6703,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3552659,1948,3207801,7287,344858,6750,202802,6175,142056,4986,2090275,15062,2000099,15301,90176,3755,75318,3352,14858,1803,1218717,15777,1150877,14827,67840,3495,56615,3058,11225,1488,32120,2625,24582,1999,7538,2036,5533,1270,2005,1141,211547,6055,32243,2837,179304,5682,65336,3907,113968,4720,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3667240,2276,3128836,12654,538404,12509,320195,11189,218209,10351,1585719,19228,1456063,19192,129656,7064,106313,6988,23343,3405,1670814,19907,1578305,18469,92509,6412,79765,6138,12744,2343,40170,3308,28019,2703,12151,2148,8178,1778,3973,1382,370537,10404,66449,4740,304088,9642,125939,5952,178149,9022,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12045220,1844,10767564,18621,1277656,18341,787092,16271,490564,12350,8766375,25636,8387807,25945,378568,10971,301588,10135,76980,5137,2317651,23127,2144781,22679,172870,7097,146579,6084,26291,2876,198360,7383,62604,3882,135756,7466,66306,5137,69450,5021,762834,15670,172372,7627,590462,15328,272619,9429,317843,11394,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,994145,854,786467,6356,207678,6473,122746,5159,84932,4770,562248,7549,508523,8049,53725,3788,47062,3572,6663,1458,274308,7447,247703,6984,26605,2843,22248,2633,4357,1161,18487,2921,5438,1263,13049,2453,7809,1876,5240,1402,139102,6477,24803,2579,114299,5817,45627,3789,68672,4743,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4429186,2136,4120557,8934,308629,9141,186608,7184,122021,6264,2503724,18310,2451518,18318,52206,4056,42387,3583,9819,1791,1657663,18045,1588578,17565,69085,5325,58379,4596,10706,1618,47585,4375,33592,3384,13993,2686,10685,2253,3308,1018,220214,7849,46869,3978,173345,7352,75157,4335,98188,6016,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,774671,971,725611,3645,49060,3582,31146,2415,17914,2434,485910,7092,465673,6854,20237,2066,17624,1905,2613,813,261449,7430,251928,7064,9521,1609,6864,1123,2657,1041,4677,1066,3216,763,1461,697,834,467,627,493,22635,2656,4794,1384,17841,2321,5824,1307,12017,2027,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6056220,2640,5649434,10897,406786,10835,247206,9889,159580,7562,3604105,25592,3526790,25529,77315,5683,64340,4933,12975,1944,2111448,23976,2033900,23501,77548,5578,65956,5145,11592,2142,51916,4561,36887,3918,15029,2616,11037,2066,3992,1212,288751,8842,51857,4638,236894,7599,105873,6163,131021,6356,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
