GEO_ID,C12002I_001E,C12002I_001M,C12002I_002E,C12002I_002M,C12002I_003E,C12002I_003M,C12002I_004E,C12002I_004M,C12002I_005E,C12002I_005M,C12002I_006E,C12002I_006M,NAME,C12002I_001MA,C12002I_001EA,C12002I_002MA,C12002I_002EA,C12002I_003MA,C12002I_003EA,C12002I_004MA,C12002I_004EA,C12002I_005EA,C12002I_005MA,C12002I_006EA,C12002I_006MA,state
0400000US06,10549387,758,4621630,27218,4490139,29803,341286,9662,333905,7809,762427,17475,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,760301,883,294217,6674,341038,8191,25214,2909,22858,2367,76974,4179,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,371302,536,175903,4920,135141,5489,10982,1713,10344,1337,38932,2940,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,53741,504,22438,1564,24987,1789,1355,705,1155,431,3806,937,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,49423,-555555555,28194,1681,14334,2173,911,696,1534,578,4450,1443,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3532337,1935,1263950,14706,1544871,18172,121223,7618,174032,6708,428261,11837,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,606101,3488,238685,8087,297485,8129,20040,2755,14029,2627,35862,3718,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,90762,311,40443,2224,37103,1955,2149,888,2868,677,8199,1435,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,121010,1059,45356,3071,57698,3613,3403,1440,2489,869,12064,2068,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1478241,2245,629844,10584,663558,12683,38693,3480,44060,3306,102086,5313,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,272401,2204,119296,4191,117220,5041,6904,1510,6803,1231,22178,2679,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,103454,1742,42842,2663,46628,2774,3236,1059,1728,739,9020,1773,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,207709,1196,78803,3679,101516,3835,6965,1237,4358,844,16067,1842,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,90241,1951,34160,2543,43743,3104,2860,752,1409,452,8069,1398,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,155431,1496,63208,3833,65575,4251,4633,1532,6401,1147,15614,2583,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,12809,867,5741,1066,4995,979,108,127,370,248,1595,545,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,370344,877,161759,5570,161124,6286,10883,1851,7311,1334,29267,2983,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,490665,757,252511,5400,156009,6817,24647,2807,13850,1777,43648,4421,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,307918,1249,126665,3612,133251,4167,9109,1673,10477,1088,28416,2243,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
