GEO_ID,B22005B_001E,B22005B_001M,B22005B_002E,B22005B_002M,B22005B_003E,B22005B_003M,NAME,B22005B_001EA,B22005B_001MA,B22005B_002MA,B22005B_002EA,B22005B_003EA,B22005B_003MA,state
0400000US06,819829,9082,136715,6025,683114,9391,California,null,null,null,null,null,null,06
0400000US08,72416,2908,18618,2344,53798,2933,Colorado,null,null,null,null,null,null,08
0400000US09,130674,3385,38783,2770,91891,3388,Connecticut,null,null,null,null,null,null,09
0400000US10,67325,2279,19188,1680,48137,2380,Delaware,null,null,null,null,null,null,10
0400000US11,124481,2767,36185,2554,88296,3330,District of Columbia,null,null,null,null,null,null,11
0400000US12,984074,9997,298822,7519,685252,10823,Florida,null,null,null,null,null,null,12
0400000US13,1060959,9116,306621,7628,754338,9138,Georgia,null,null,null,null,null,null,13
0400000US15,10013,1218,609,355,9404,1211,Hawaii,null,null,null,null,null,null,15
0400000US16,2898,1018,455,378,2443,997,Idaho,null,null,null,null,null,null,16
0400000US17,660432,6744,219533,4985,440899,7843,Illinois,null,null,null,null,null,null,17
0400000US18,222791,4811,69254,3490,153537,4046,Indiana,null,null,null,null,null,null,18
0400000US19,31585,1967,14522,1457,17063,1656,Iowa,null,null,null,null,null,null,19
0400000US20,64124,2282,16700,1939,47424,2256,Kansas,null,null,null,null,null,null,20
0400000US21,134957,3254,45267,3131,89690,3719,Kentucky,null,null,null,null,null,null,21
0400000US22,514717,6339,174358,6035,340359,6696,Louisiana,null,null,null,null,null,null,22
0400000US23,3859,727,1578,523,2281,739,Maine,null,null,null,null,null,null,23
0400000US24,623453,5865,125708,4607,497745,7217,Maryland,null,null,null,null,null,null,24
0400000US25,152906,4076,47048,3010,105858,3381,Massachusetts,null,null,null,null,null,null,25
0400000US26,512840,5945,209259,5089,303581,6212,Michigan,null,null,null,null,null,null,26
0400000US27,98152,2764,38514,2752,59638,3027,Minnesota,null,null,null,null,null,null,27
0400000US28,379939,5700,129152,4650,250787,6141,Mississippi,null,null,null,null,null,null,28
0400000US29,264086,4593,91444,4253,172642,4660,Missouri,null,null,null,null,null,null,29
0400000US30,878,434,287,260,591,352,Montana,null,null,null,null,null,null,30
0400000US31,30423,1584,10053,1165,20370,1521,Nebraska,null,null,null,null,null,null,31
0400000US32,81628,3346,20031,2163,61597,3474,Nevada,null,null,null,null,null,null,32
0400000US33,4700,864,900,558,3800,901,New Hampshire,null,null,null,null,null,null,33
0400000US34,422205,5383,93308,4334,328897,5957,New Jersey,null,null,null,null,null,null,34
0400000US35,15032,1430,3531,784,11501,1468,New Mexico,null,null,null,null,null,null,35
0400000US36,1059063,9524,300900,8006,758163,10988,New York,null,null,null,null,null,null,36
0400000US37,781013,6579,239788,6969,541225,9061,North Carolina,null,null,null,null,null,null,37
0400000US38,3284,854,636,514,2648,754,North Dakota,null,null,null,null,null,null,38
0400000US39,547832,6287,202588,5352,345244,6557,Ohio,null,null,null,null,null,null,39
0400000US40,103262,2675,29571,1917,73691,2685,Oklahoma,null,null,null,null,null,null,40
0400000US41,24408,2027,10417,1689,13991,1828,Oregon,null,null,null,null,null,null,41
0400000US42,494004,6199,169965,6030,324039,7652,Pennsylvania,null,null,null,null,null,null,42
0400000US44,23472,1676,7774,1391,15698,1556,Rhode Island,null,null,null,null,null,null,44
0400000US45,465419,6028,145411,5050,320008,6752,South Carolina,null,null,null,null,null,null,45
0400000US46,4110,983,1396,542,2714,1011,South Dakota,null,null,null,null,null,null,46
0400000US47,390511,5803,130328,4618,260183,6199,Tennessee,null,null,null,null,null,null,47
0400000US48,1093934,10757,264637,7150,829297,11157,Texas,null,null,null,null,null,null,48
0400000US49,9399,1068,1860,703,7539,1225,Utah,null,null,null,null,null,null,49
0400000US50,1702,520,854,522,848,445,Vermont,null,null,null,null,null,null,50
0400000US51,567721,7015,122699,4940,445022,7102,Virginia,null,null,null,null,null,null,51
0400000US53,90730,3130,27409,2868,63321,3229,Washington,null,null,null,null,null,null,53
0400000US54,22252,1811,7722,1450,14530,1809,West Virginia,null,null,null,null,null,null,54
0400000US55,124942,3199,57603,3077,67339,3163,Wisconsin,null,null,null,null,null,null,55
0400000US56,1292,651,243,255,1049,573,Wyoming,null,null,null,null,null,null,56
0400000US72,114453,4103,45229,2697,69224,3994,Puerto Rico,null,null,null,null,null,null,72
0400000US01,469229,6060,150998,5603,318231,6333,Alabama,null,null,null,null,null,null,01
0400000US02,9490,1181,1842,914,7648,1250,Alaska,null,null,null,null,null,null,02
0400000US04,100066,3266,26230,2701,73836,3224,Arizona,null,null,null,null,null,null,04
0400000US05,172697,3879,56160,3174,116537,3864,Arkansas,null,null,null,null,null,null,05
