GEO_ID,B20004_001E,B20004_001M,B20004_002E,B20004_002M,B20004_003E,B20004_003M,B20004_004E,B20004_004M,B20004_005E,B20004_005M,B20004_006E,B20004_006M,B20004_007E,B20004_007M,B20004_008E,B20004_008M,B20004_009E,B20004_009M,B20004_010E,B20004_010M,B20004_011E,B20004_011M,B20004_012E,B20004_012M,B20004_013E,B20004_013M,B20004_014E,B20004_014M,B20004_015E,B20004_015M,B20004_016E,B20004_016M,B20004_017E,B20004_017M,B20004_018E,B20004_018M,NAME,B20004_001EA,B20004_001MA,B20004_002EA,B20004_002MA,B20004_003EA,B20004_003MA,B20004_004MA,B20004_004EA,B20004_005MA,B20004_005EA,B20004_006EA,B20004_006MA,B20004_007EA,B20004_007MA,B20004_008EA,B20004_008MA,B20004_009MA,B20004_009EA,B20004_010MA,B20004_010EA,B20004_011MA,B20004_011EA,B20004_012EA,B20004_012MA,B20004_013EA,B20004_013MA,B20004_014MA,B20004_014EA,B20004_015MA,B20004_015EA,B20004_016MA,B20004_016EA,B20004_017EA,B20004_017MA,B20004_018EA,B20004_018MA,state
0400000US06,36008,148,18675,199,26921,230,35524,244,53033,844,76648,505,40897,146,21631,205,31008,246,41231,275,62455,1023,94270,2087,30953,147,14450,248,22757,343,30523,216,45826,562,62207,441,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36870,316,20886,581,28486,859,33248,945,47782,1427,60889,896,42199,357,23011,1054,31770,527,40523,553,57859,3360,78096,4018,31265,321,15650,1044,23327,1014,27933,790,39045,1233,50506,845,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42907,901,21626,914,31740,561,38638,891,57724,1875,75271,1641,51939,412,24591,1531,39391,1770,46906,1119,73405,3167,96569,3871,35903,545,18339,1323,25842,616,32177,652,44735,1904,61930,1023,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38151,1392,20732,2656,28820,2019,37243,1202,49550,2350,64957,3782,43393,2410,24718,3360,35569,3061,45267,3655,56088,2777,80527,9398,33409,1890,15128,3294,24520,1915,32329,1570,42379,1609,56215,4249,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,52393,1983,20642,2268,29874,3537,35725,4580,60104,2780,82110,3573,57855,4455,21030,5552,27110,4342,40776,4215,62834,3709,97848,8250,50955,1066,20296,2064,30719,2397,30996,2879,56797,2032,72064,3954,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,30787,147,17446,315,24512,329,30604,202,41876,347,57375,1731,34347,554,19979,520,27098,332,35509,420,50836,538,71825,1342,27015,192,15221,343,21285,252,26803,300,37372,461,47541,1023,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,32362,198,18613,703,25545,281,31157,246,48704,1147,60720,549,38226,678,21507,510,29989,646,37014,496,60407,888,79703,4183,27988,461,14466,797,20855,387,26630,352,40193,602,51849,641,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,36030,501,21673,1459,29797,1044,34077,1636,44847,1619,60084,2915,40949,587,23738,2502,32729,2120,40207,1225,51906,2028,72324,5003,31423,538,17532,5287,24828,1195,29488,1787,39544,2593,51501,1094,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29142,944,20534,890,22708,1119,27033,698,38563,2507,59350,3519,35671,669,24812,2000,30097,1908,34276,1967,48584,3897,66395,4699,22095,638,12862,1169,16656,821,21645,760,31823,1013,49420,4662,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,36888,214,20616,342,27219,226,34384,680,50919,306,66698,835,43325,777,23161,772,33570,884,42132,313,62038,549,82773,2430,30652,180,16612,445,21579,273,27586,521,41515,371,56377,859,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
