GEO_ID,B16006_001E,B16006_001M,B16006_002E,B16006_002M,B16006_003E,B16006_003M,B16006_004E,B16006_004M,B16006_005E,B16006_005M,B16006_006E,B16006_006M,B16006_007E,B16006_007M,B16006_008E,B16006_008M,NAME,B16006_001MA,B16006_001EA,B16006_002MA,B16006_002EA,B16006_003MA,B16006_003EA,B16006_004EA,B16006_004MA,B16006_005MA,B16006_005EA,B16006_006MA,B16006_006EA,B16006_007MA,B16006_007EA,B16006_008MA,B16006_008EA,state
0400000US06,13175241,560,3249493,38593,9874438,38880,5496109,31344,1696244,23996,1676635,19542,1005450,17877,51310,5189,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,978378,904,451831,11999,524402,12005,311690,10319,95900,5375,86761,5393,30051,3435,2145,798,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,463561,399,108644,5995,352205,6162,199227,7109,73235,5360,53995,4446,25748,3139,2712,1210,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,69684,-555555555,19749,2786,49471,2736,26181,2848,11368,2414,8432,1819,3490,1064,464,427,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,56448,-555555555,16674,3184,38944,3173,20844,2257,7944,1648,7886,1786,2270,774,830,470,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4168624,1562,674164,18209,3469202,18677,1916447,19160,637102,17467,554919,14621,360734,12096,25258,3202,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,792674,4179,152410,8194,637043,9190,325772,10176,112699,6367,139160,7842,59412,6526,3221,1188,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,115438,-555555555,86944,3651,18566,3267,12356,2487,4701,1176,1224,621,285,293,9928,2110,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,164010,1064,63999,5958,99272,5706,54546,4801,18755,2548,18744,2841,7227,1442,739,466,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1891714,2066,395426,12633,1488097,12805,821060,15508,280696,8860,269197,10231,117144,6307,8191,1773,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,360588,1780,126485,7138,232824,6639,125918,5802,52494,3888,41969,3452,12443,2461,1279,689,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,141461,1647,52204,3715,89042,3536,48429,3704,17058,2136,16698,1744,6857,1287,215,232,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,277943,1094,97722,6104,179346,6035,100297,4596,35051,3174,31464,3064,12534,1896,875,454,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,118445,1946,44281,4010,73424,4156,34896,3252,18706,2219,13495,2205,6327,1681,740,387,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,188231,1605,69837,4739,116348,4662,57572,4346,24087,3103,22072,2822,12617,2625,2046,735,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,16088,968,10468,1370,4830,1137,3950,1023,605,365,275,254,0,155,790,548,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,455237,1240,115760,8589,335240,8451,169722,6857,70960,4848,65051,4851,29507,3514,4237,1095,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,609815,1261,127463,5800,477113,5936,268839,7269,89806,5187,75165,4155,43303,4064,5239,1159,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,407950,1100,193556,7217,212828,7022,128250,5790,41750,3342,31776,2623,11052,1896,1566,584,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,230840,1317,81794,5458,147308,5678,73295,4649,30772,3305,28857,2822,14384,2475,1738,915,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,71233,2596,29560,3184,41287,3251,22362,2645,7764,1758,6879,1310,4282,1279,386,339,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,196831,2077,92927,5409,102169,5578,58033,4783,21159,2159,18059,2745,4918,1211,1735,695,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,28815,733,22544,1669,6201,1330,4454,1067,1003,589,719,352,25,41,70,86,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,154956,1107,44437,3203,109439,3308,55232,3466,21933,2685,20923,2204,11351,1878,1080,685,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,675838,1206,158532,7958,514040,8253,289245,8675,97803,5311,93265,5731,33727,4112,3266,1185,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,35820,1008,16335,2299,18898,2057,11196,1626,4440,1367,3025,1251,237,274,587,403,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1498023,689,269516,10596,1218348,10663,645025,13887,220394,7211,232967,9307,119962,7358,10159,2163,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,895619,133,385300,11458,507704,11535,367683,8761,65375,4272,46310,3533,28336,4109,2615,881,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3256337,1415,651733,19262,2583358,19393,1378699,21051,465412,12712,513761,11329,225486,10619,21246,2893,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,744302,2457,144877,8977,596029,9279,277116,10134,115354,6423,137104,6398,66455,6149,3396,1269,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,14331,777,8608,1110,5703,903,3975,780,968,356,708,420,52,106,20,30,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,331469,2047,158326,6502,170503,6449,96465,5049,34644,3249,28245,3144,11149,2167,2640,725,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,312756,1165,101402,4678,209634,4605,106310,3539,43418,2957,41464,3115,18442,2267,1720,985,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
