GEO_ID,C01001D_001E,C01001D_001M,C01001D_002E,C01001D_002M,C01001D_003E,C01001D_003M,C01001D_004E,C01001D_004M,C01001D_005E,C01001D_005M,C01001D_006E,C01001D_006M,C01001D_007E,C01001D_007M,C01001D_008E,C01001D_008M,C01001D_009E,C01001D_009M,NAME,C01001D_001EA,C01001D_001MA,C01001D_002EA,C01001D_002MA,C01001D_003EA,C01001D_003MA,C01001D_004MA,C01001D_004EA,C01001D_005MA,C01001D_005EA,C01001D_006MA,C01001D_006EA,C01001D_007EA,C01001D_007MA,C01001D_008EA,C01001D_008MA,C01001D_009EA,C01001D_009MA,state
0400000US06,5120354,18065,2421205,10531,518625,5678,1628952,7552,273628,2143,2699149,10937,495525,6193,1836694,7186,366930,1927,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,147082,4322,67432,2391,16053,1354,46606,1639,4773,456,79650,2737,17962,1774,53978,1664,7710,569,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,147830,2290,70594,1683,18213,1073,48284,1474,4097,158,77236,1522,18696,1154,53416,933,5124,502,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30632,1597,14292,1003,3401,594,9688,670,1203,159,16340,853,3494,571,11255,505,1591,262,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21858,1613,8926,902,831,376,7507,720,588,197,12932,1060,1249,507,10828,763,855,179,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,488052,7850,225148,5220,50991,2754,153524,3433,20633,1198,262904,5212,51834,2945,181198,3511,29872,1667,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,337015,6051,162003,3900,40547,2144,110898,2522,10558,670,175012,3414,40920,2127,122616,2641,11476,981,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,531663,10568,247027,5583,41835,2675,153769,4108,51423,702,284636,6165,36740,2731,176475,3985,71421,1279,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20613,2789,9340,1801,1896,688,7197,1411,247,149,11273,1497,1906,672,8710,1205,657,358,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,617924,6059,298498,3803,68149,2581,202925,2556,27424,879,319426,3569,65250,2341,220831,2366,33345,833,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,107736,3733,50824,2232,10746,1541,37222,1412,2856,657,56912,2425,11351,1496,42447,1842,3114,782,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,56519,2205,27662,1946,6860,964,19398,1380,1404,471,28857,1439,6684,952,20528,1030,1645,477,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,71821,2664,34976,1756,8196,938,24294,1483,2486,517,36845,1601,8995,1118,25543,1178,2307,579,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,55397,3007,26168,1805,7726,1128,17369,1212,1073,310,29229,1842,8439,1187,19270,1419,1520,269,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,72216,2464,32029,1748,7171,941,22651,1356,2207,414,40187,1708,10144,1182,26890,1315,3153,678,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14414,1392,6603,1041,1878,472,4347,842,378,268,7811,946,2081,616,5116,620,614,263,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,339527,4265,158766,2825,35823,1693,107617,1828,15326,475,180761,2460,37906,1240,124378,1988,18477,699,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
