GEO_ID,B25125_001E,B25125_001M,B25125_002E,B25125_002M,B25125_003E,B25125_003M,B25125_004E,B25125_004M,B25125_005E,B25125_005M,B25125_006E,B25125_006M,B25125_007E,B25125_007M,B25125_008E,B25125_008M,B25125_009E,B25125_009M,B25125_010E,B25125_010M,B25125_011E,B25125_011M,B25125_012E,B25125_012M,B25125_013E,B25125_013M,B25125_014E,B25125_014M,B25125_015E,B25125_015M,B25125_016E,B25125_016M,B25125_017E,B25125_017M,B25125_018E,B25125_018M,B25125_019E,B25125_019M,B25125_020E,B25125_020M,B25125_021E,B25125_021M,B25125_022E,B25125_022M,B25125_023E,B25125_023M,B25125_024E,B25125_024M,B25125_025E,B25125_025M,B25125_026E,B25125_026M,B25125_027E,B25125_027M,B25125_028E,B25125_028M,B25125_029E,B25125_029M,B25125_030E,B25125_030M,B25125_031E,B25125_031M,B25125_032E,B25125_032M,B25125_033E,B25125_033M,B25125_034E,B25125_034M,B25125_035E,B25125_035M,B25125_036E,B25125_036M,B25125_037E,B25125_037M,B25125_038E,B25125_038M,B25125_039E,B25125_039M,B25125_040E,B25125_040M,B25125_041E,B25125_041M,B25125_042E,B25125_042M,B25125_043E,B25125_043M,B25125_044E,B25125_044M,B25125_045E,B25125_045M,NAME,B25125_001MA,B25125_001EA,B25125_002EA,B25125_002MA,B25125_003EA,B25125_003MA,B25125_004EA,B25125_004MA,B25125_005MA,B25125_005EA,B25125_006MA,B25125_006EA,B25125_007EA,B25125_007MA,B25125_008EA,B25125_008MA,B25125_009EA,B25125_009MA,B25125_010EA,B25125_010MA,B25125_011MA,B25125_011EA,B25125_012MA,B25125_012EA,B25125_013MA,B25125_013EA,B25125_014EA,B25125_014MA,B25125_015EA,B25125_015MA,B25125_016MA,B25125_016EA,B25125_017MA,B25125_017EA,B25125_018MA,B25125_018EA,B25125_019EA,B25125_019MA,B25125_020EA,B25125_020MA,B25125_021EA,B25125_021MA,B25125_022MA,B25125_022EA,B25125_023MA,B25125_023EA,B25125_024EA,B25125_024MA,B25125_025EA,B25125_025MA,B25125_026EA,B25125_026MA,B25125_027MA,B25125_027EA,B25125_028MA,B25125_028EA,B25125_029EA,B25125_029MA,B25125_030EA,B25125_030MA,B25125_031EA,B25125_031MA,B25125_032EA,B25125_032MA,B25125_033MA,B25125_033EA,B25125_034MA,B25125_034EA,B25125_035EA,B25125_035MA,B25125_036EA,B25125_036MA,B25125_037EA,B25125_037MA,B25125_038MA,B25125_038EA,B25125_039MA,B25125_039EA,B25125_040EA,B25125_040MA,B25125_041EA,B25125_041MA,B25125_042EA,B25125_042MA,B25125_043EA,B25125_043MA,B25125_044MA,B25125_044EA,B25125_045MA,B25125_045EA,state
0400000US06,12552658,18433,6781817,25470,537858,10415,465604,9575,12586,1773,18133,2144,7896,1333,14342,1892,19297,1819,4314109,23017,3923376,23139,74392,3995,79495,4249,31905,3138,45916,3818,159025,6043,1929850,12500,1676780,13167,35795,2688,34555,2481,16360,1553,20942,1839,145418,4760,5770841,24980,1866721,16806,589002,11948,304147,9780,491356,11462,202820,8324,253168,7564,26228,2739,3207419,21261,1340631,17023,492807,11699,694102,13838,286750,9287,309873,8555,83256,4245,696701,11384,202857,6749,85461,4717,121034,4828,79712,4498,186447,5620,21190,2171,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,1278158,11129,144264,5106,121979,4464,3351,851,7498,1430,2286,1019,1541,503,7609,1609,827571,8943,754598,8222,10669,1728,17985,1884,5692,1213,4323,1044,34304,2840,306323,4891,272414,4847,4383,1133,6834,1182,3837,924,4063,744,14792,1384,717930,9538,301608,6167,98409,4391,35426,3072,85954,4860,43391,3316,30671,2490,7757,1544,341259,8017,152629,6057,36295,2765,77705,4295,36016,3066,25947,2134,12667,1668,75063,3778,21387,2409,7247,1178,11385,1488,9550,1329,22946,1533,2548,793,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,908452,7756,67889,3853,54289,3354,5609,1373,4777,1101,1907,678,1268,458,39,63,591407,6021,533655,6390,31652,2549,15224,1781,3518,866,3425,909,3933,950,249156,3855,216329,3738,15735,1860,7502,1125,2516,713,3422,703,3652,843,449360,8680,141767,5085,26123,2647,55897,3570,34008,2592,12052,1962,13132,1610,555,501,230024,7662,52816,3199,91384,5546,46466,3761,16340,2087,22140,2487,878,524,77569,3251,12506,1449,20500,1998,13900,1743,9008,1290,21185,2093,470,298,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,241050,3609,23536,1938,21210,1813,0,182,380,252,0,182,156,161,1790,707,145264,3410,131453,3364,612,373,1688,838,368,220,425,211,10718,1217,72250,1960,63787,1986,239,190,1127,439,785,351,326,210,5986,904,99258,4117,34248,2139,12840,1640,4233,1202,12108,1770,1532,558,1760,500,1775,660,51087,3562,21796,2164,5968,1284,15479,2151,1668,618,1852,580,4324,1214,13923,1408,4151,861,1824,733,2252,571,1061,363,3800,729,835,354,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,110681,3549,12642,1392,5502,924,642,320,1786,589,1904,628,2808,912,0,197,66882,2930,47905,2380,2079,697,4249,840,3606,887,9043,1649,0,197,31157,1605,24039,1422,666,331,718,417,738,347,4945,854,51,83,155981,4855,62727,3108,9302,1552,8908,1417,12264,1496,8301,1462,23952,2321,0,197,74694,3671,11996,1453,13032,1624,23500,2290,6285,1113,19828,2577,53,86,18560,1558,1809,491,2512,704,5135,1209,1411,538,7658,1061,35,58,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,4724428,21345,343969,9527,280725,8490,7796,1673,13610,2182,6007,1305,9337,1514,26494,2802,2645020,18504,2241024,17806,40336,3268,68499,4118,42159,3750,55245,3588,197757,6846,1735439,12316,1224794,10832,43625,2873,73571,3890,68325,4280,93247,4582,231877,6572,2473515,22250,807867,14158,267369,8176,108325,5086,219664,7829,93704,4822,78394,4701,40411,4063,1306163,17420,548834,11819,175796,6623,275991,9502,107763,6025,112137,5919,85642,5137,359485,8801,101670,4642,39125,2851,59075,4302,40523,3766,94500,3840,24592,2515,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,2248702,19411,231071,8126,198278,7610,2596,940,3264,891,1616,599,3769,1061,21548,2175,1453870,14928,1302887,14273,6158,1721,7208,1263,2342,758,6267,1064,129008,5080,563761,6249,507059,6273,2831,765,2676,760,1055,379,3150,694,46990,2539,1284206,16668,491974,10582,162451,7813,67925,4164,147259,6504,35607,3422,31820,3164,46912,3262,660944,13046,306279,8925,79508,4854,144237,7053,34088,3768,32317,2705,64515,4123,131288,4720,49135,2827,19790,2390,19073,2474,8764,1446,23542,2275,10984,1811,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,254770,4107,18026,1921,11821,1617,1110,525,2543,819,768,428,1682,563,102,173,148661,3641,121697,3449,3576,851,8572,1352,3617,783,10902,1318,297,251,88083,2387,71898,2208,1919,520,3824,942,2210,547,8126,1059,106,116,192978,4122,64779,2732,28659,2220,10161,1500,12147,1717,4353,1074,9459,1358,0,177,102750,3092,48543,3000,12860,1633,15148,1802,9167,1753,17013,2133,19,33,25449,1947,9414,1300,2636,658,3752,888,2489,661,7158,1045,0,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,398671,5979,49757,3653,45119,3604,431,328,204,207,22,35,0,187,3981,993,237823,4765,217460,4581,933,450,797,367,50,85,83,134,18500,1638,111091,2661,98200,2820,676,306,483,268,433,296,0,187,11299,1262,184435,6150,82585,4746,36311,3481,19449,2377,15468,2092,2584,862,3249,1098,5524,1492,77886,4037,44730,3547,12555,1713,9113,1444,2071,716,1589,697,7828,1604,23964,2330,8661,1401,3211,670,4239,1007,3724,1020,2618,741,1511,600,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,3177104,16645,338216,6835,265819,6337,16622,2064,19092,2269,9929,1771,14340,2012,12414,1996,1993372,13382,1754920,13347,81061,3733,45212,3042,21803,2273,42028,3689,48348,2734,845516,6923,717728,6519,43663,2707,18985,1842,13671,1651,25231,2269,26238,1927,1593090,15616,596259,9013,134998,5559,161196,6104,164243,6243,47613,3118,76792,5113,11417,1500,779546,11554,248758,6829,215636,6372,177742,6229,49252,3246,71296,4210,16862,2072,217285,6514,41708,2523,39850,2656,35094,2916,21793,2221,76803,3387,2037,539,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
