GEO_ID,B13015_001E,B13015_001M,B13015_002E,B13015_002M,B13015_003E,B13015_003M,B13015_004E,B13015_004M,B13015_005E,B13015_005M,B13015_006E,B13015_006M,B13015_007E,B13015_007M,B13015_008E,B13015_008M,B13015_009E,B13015_009M,B13015_010E,B13015_010M,B13015_011E,B13015_011M,B13015_012E,B13015_012M,B13015_013E,B13015_013M,B13015_014E,B13015_014M,B13015_015E,B13015_015M,NAME,B13015_001MA,B13015_001EA,B13015_002MA,B13015_002EA,B13015_003MA,B13015_003EA,B13015_004EA,B13015_004MA,B13015_005EA,B13015_005MA,B13015_006MA,B13015_006EA,B13015_007MA,B13015_007EA,B13015_008MA,B13015_008EA,B13015_009EA,B13015_009MA,B13015_010EA,B13015_010MA,B13015_011EA,B13015_011MA,B13015_012MA,B13015_012EA,B13015_013MA,B13015_013EA,B13015_014EA,B13015_014MA,B13015_015EA,B13015_015MA,state
0400000US06,9566715,8215,505431,12881,338236,9325,19325,2220,318911,8933,167195,7463,30176,3064,137019,6508,9061284,14353,3867266,22625,106735,5445,3760531,23127,5194018,23718,214797,7405,4979221,24771,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1264490,3344,69995,3413,53974,3123,1527,777,52447,3074,16021,2044,1435,579,14586,1981,1194495,4922,557246,8892,6223,1274,551023,8666,637249,9297,11138,1627,626111,9220,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,865205,3029,38839,3109,26500,2336,286,199,26214,2333,12339,2128,1754,788,10585,2023,826366,4395,344783,7238,4163,976,340620,7106,481583,6893,17872,2244,463711,6956,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,222132,1392,12961,2218,8390,1651,167,227,8223,1665,4571,1246,1032,443,3539,1074,209171,2708,84455,3938,662,346,83793,3883,124716,4023,3354,919,121362,3950,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,192543,956,7632,1053,4407,864,0,197,4407,864,3225,806,1061,464,2164,639,184911,1399,41299,2720,730,401,40569,2671,143612,3003,7483,1315,136129,3266,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4467985,8400,224836,8016,130563,5853,3752,981,126811,5787,94273,6877,7501,1803,86772,6323,4243149,11882,1753795,18084,23234,2818,1730561,18321,2489354,20077,51724,3715,2437630,19680,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2525314,7658,157038,6185,96356,5741,1755,616,94601,5827,60682,4513,3483,1209,57199,4721,2368276,10253,1037340,15139,11048,2220,1026292,14875,1330936,15970,21810,2638,1309126,15863,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,321458,1934,20898,2101,13664,1642,389,263,13275,1629,7234,1332,1553,553,5681,1222,300560,2686,136375,3799,2197,773,134178,3828,164185,4223,4279,1189,159906,4245,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,372138,2642,24546,2778,17643,2162,531,293,17112,2142,6903,1585,468,321,6435,1543,347592,3925,175885,4880,2169,720,173716,4982,171707,5411,5781,1252,165926,5397,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3162903,5749,158016,5614,101301,4201,2393,762,98908,4282,56715,3665,7820,1267,48895,3281,3004887,7477,1281083,13506,14989,1715,1266094,13366,1723804,13544,40304,3204,1683500,13296,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
