GEO_ID,C14007F_001E,C14007F_001M,C14007F_002E,C14007F_002M,C14007F_003E,C14007F_003M,C14007F_004E,C14007F_004M,C14007F_005E,C14007F_005M,C14007F_006E,C14007F_006M,C14007F_007E,C14007F_007M,NAME,C14007F_001MA,C14007F_001EA,C14007F_002EA,C14007F_002MA,C14007F_003EA,C14007F_003MA,C14007F_004EA,C14007F_004MA,C14007F_005MA,C14007F_005EA,C14007F_006MA,C14007F_006EA,C14007F_007MA,C14007F_007EA,state
0400000US06,4664739,56208,1609887,28035,176103,7111,681237,16947,377518,9981,375029,9510,3054852,34843,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,207614,12024,64814,5969,7188,1544,33121,4090,14110,2043,10395,2114,142800,7762,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,156820,10289,53236,4947,5309,1093,23463,3320,12690,1746,11774,2001,103584,6955,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22264,3926,7345,1812,1048,683,2873,764,1523,697,1901,1045,14919,3046,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27160,4094,8570,1791,1527,731,1882,731,2870,1089,2291,826,18590,3016,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,439854,22399,136755,10046,16032,2631,55449,5630,30370,3168,34904,4408,303099,15991,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,280564,13680,98480,7778,14040,2375,49618,5184,20053,3069,14769,2825,182084,8784,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14781,2477,3674,1157,791,453,1098,717,611,378,1174,596,11107,1809,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,42417,5805,13798,2778,1447,647,6823,1771,3642,1144,1886,844,28619,3846,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,694811,23198,233706,10359,27603,2753,112364,6726,53698,3972,40041,3634,461105,15765,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,146948,9081,53386,4994,6117,1250,25307,2723,11791,2107,10171,2287,93562,5894,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,35466,4838,13172,2634,1208,471,6310,1705,3055,908,2599,1108,22294,2891,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,54103,6610,16857,3328,2669,851,6856,1931,4143,1233,3189,964,37246,4015,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,35004,4799,12281,2150,1955,653,5966,1374,2636,923,1724,844,22723,3719,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
