GEO_ID,B18101I_001E,B18101I_001M,B18101I_002E,B18101I_002M,B18101I_003E,B18101I_003M,B18101I_004E,B18101I_004M,B18101I_005E,B18101I_005M,B18101I_006E,B18101I_006M,B18101I_007E,B18101I_007M,B18101I_008E,B18101I_008M,B18101I_009E,B18101I_009M,B18101I_010E,B18101I_010M,NAME,B18101I_001MA,B18101I_001EA,B18101I_002MA,B18101I_002EA,B18101I_003MA,B18101I_003EA,B18101I_004EA,B18101I_004MA,B18101I_005EA,B18101I_005MA,B18101I_006MA,B18101I_006EA,B18101I_007MA,B18101I_007EA,B18101I_008MA,B18101I_008EA,B18101I_009EA,B18101I_009MA,B18101I_010MA,B18101I_010EA,state
0400000US06,14376295,4669,4778261,823,144353,5911,4633908,6034,8777512,4356,619092,12687,8158420,13197,820522,1971,336629,6957,483893,6675,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1068242,2003,381339,508,16047,2313,365292,2369,627803,2227,57612,4102,570191,4422,59100,1057,26256,1868,32844,1932,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,502192,969,165995,125,10225,1370,155770,1357,311316,1205,32615,3149,278701,3220,24881,994,9310,1341,15571,1482,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,77897,321,28880,49,1089,507,27791,512,46027,456,3701,973,42326,1064,2990,338,1094,375,1896,401,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62399,177,15047,29,427,319,14620,320,44136,165,2807,934,41329,950,3216,51,1576,451,1640,455,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4435694,3504,1140781,1901,43198,3684,1097583,4075,2823998,3751,213614,8434,2610384,9547,470915,2728,167433,5551,303482,5458,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,887307,4199,337536,3148,11970,3062,325566,3297,523460,3471,25578,3584,497882,4680,26311,2295,10201,1532,16110,2117,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,124623,1036,47597,170,1809,529,45788,568,71041,1023,6136,1450,64905,1635,5985,409,2510,505,3475,569,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,181769,647,73781,412,3383,1238,70398,1274,101676,1269,7503,1289,94173,1760,6312,1055,2089,665,4223,882,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2083268,2442,731915,1031,24074,2474,707841,2714,1258819,2424,79557,5074,1179262,5488,92534,1264,35891,2546,56643,2634,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,404255,1449,157988,2199,6374,1383,151614,2567,231337,2337,17033,2061,214304,2996,14930,1262,5918,857,9012,1241,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,158920,1532,66215,1589,3422,879,62793,1694,88314,1635,6681,1290,81633,2141,4391,1211,1561,580,2830,935,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,309941,901,125005,949,3260,960,121745,1383,174696,1282,13049,1764,161647,2002,10240,979,3822,748,6418,949,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,129641,1819,48886,1275,2677,834,46209,1500,76307,2032,6137,1338,70170,2349,4448,908,1650,478,2798,792,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,201571,1207,60427,1158,3258,1160,57169,1703,126899,1517,12063,1975,114836,2510,14245,1054,6181,913,8064,1072,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18325,698,6855,637,468,300,6387,660,10631,734,1775,575,8856,834,839,305,468,217,371,219,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,504716,1309,162124,543,4159,1074,157965,1209,323358,1531,12715,1651,310643,2178,19234,833,6211,1098,13023,1246,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,664043,1434,218000,701,14645,2150,203355,2227,414687,1401,61507,3965,353180,4027,31356,881,16409,1196,14947,1246,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,449760,994,172838,568,7331,1342,165507,1403,254452,1364,26675,2226,227777,2527,22470,1138,9596,1225,12874,1099,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,260511,724,106605,959,3357,1032,103248,1421,146121,1188,10930,1589,135191,1988,7785,865,2409,670,5376,897,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,73302,2374,27759,1528,700,494,27059,1646,43294,2414,2955,912,40339,2480,2249,964,856,554,1393,599,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,216480,1896,81548,1731,4887,1521,76661,2030,125485,2382,10923,1672,114562,2702,9447,1066,3417,803,6030,894,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,30754,513,10945,726,434,261,10511,732,17952,871,1995,667,15957,1025,1857,648,598,368,1259,514,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,176323,814,72377,925,2395,736,69982,1231,99126,1087,5811,1215,93315,1555,4820,766,1261,433,3559,723,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,744813,983,266107,155,7320,1345,258787,1382,445194,1351,34810,3150,410384,3509,33512,764,14073,1399,19439,1563,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,39783,950,14806,1127,1169,652,13637,1128,23044,883,1719,656,21325,998,1933,581,870,432,1063,526,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1627121,1524,479364,256,20559,2422,458805,2454,1043556,1614,82186,4870,961370,5025,104201,871,37662,2584,66539,2655,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,966000,1130,301902,206,14101,1827,287801,1834,571606,1202,73326,4754,498280,4765,92492,665,42878,2068,49614,1973,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3512361,2656,990031,1483,43337,3944,946694,3815,2252745,2990,203436,7119,2049309,7566,269585,1617,106423,4009,163162,3783,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,826914,2650,327007,2459,8752,1555,318255,2928,479569,3308,25228,3074,454341,4255,20338,1708,5747,1053,14591,1562,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,15713,769,6003,593,255,208,5748,605,9353,831,661,284,8692,810,357,244,42,60,315,238,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
