GEO_ID,C14003_001E,C14003_001M,C14003_002E,C14003_002M,C14003_003E,C14003_003M,C14003_004E,C14003_004M,C14003_005E,C14003_005M,C14003_006E,C14003_006M,C14003_007E,C14003_007M,C14003_008E,C14003_008M,C14003_009E,C14003_009M,C14003_010E,C14003_010M,C14003_011E,C14003_011M,C14003_012E,C14003_012M,C14003_013E,C14003_013M,C14003_014E,C14003_014M,C14003_015E,C14003_015M,C14003_016E,C14003_016M,C14003_017E,C14003_017M,C14003_018E,C14003_018M,C14003_019E,C14003_019M,C14003_020E,C14003_020M,C14003_021E,C14003_021M,C14003_022E,C14003_022M,C14003_023E,C14003_023M,C14003_024E,C14003_024M,C14003_025E,C14003_025M,C14003_026E,C14003_026M,C14003_027E,C14003_027M,C14003_028E,C14003_028M,NAME,C14003_001MA,C14003_001EA,C14003_002MA,C14003_002EA,C14003_003EA,C14003_003MA,C14003_004EA,C14003_004MA,C14003_005EA,C14003_005MA,C14003_006EA,C14003_006MA,C14003_007MA,C14003_007EA,C14003_008MA,C14003_008EA,C14003_009EA,C14003_009MA,C14003_010EA,C14003_010MA,C14003_011EA,C14003_011MA,C14003_012MA,C14003_012EA,C14003_013MA,C14003_013EA,C14003_014EA,C14003_014MA,C14003_015EA,C14003_015MA,C14003_016EA,C14003_016MA,C14003_017EA,C14003_017MA,C14003_018MA,C14003_018EA,C14003_019MA,C14003_019EA,C14003_020EA,C14003_020MA,C14003_021EA,C14003_021MA,C14003_022EA,C14003_022MA,C14003_023MA,C14003_023EA,C14003_024MA,C14003_024EA,C14003_025MA,C14003_025EA,C14003_026EA,C14003_026MA,C14003_027EA,C14003_027MA,C14003_028MA,C14003_028EA,state
0400000US06,36575440,13562,9164588,27024,305618,8978,2212100,15628,2310248,16661,1458322,6760,737750,8252,1113474,13909,594999,11888,432077,9746,1513664,22994,217120,6695,243469,7905,209678,8939,121568,5215,103573,5360,225493,8814,218210,8502,174553,7206,25897188,26975,548082,10234,80921,4668,32194,2713,33996,2520,263623,7800,1578427,13526,4661109,14624,18698836,12646,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4989990,4419,1200513,9426,37181,2972,311002,6522,302484,6900,175837,2590,96218,3945,132837,5516,82583,4032,62371,3648,194533,6838,30725,2257,33730,2861,31260,2733,14521,1764,12439,2277,19459,2028,25999,3131,26400,2443,3594944,9719,71497,3569,14904,2084,4815,1235,5759,1279,37643,2433,213025,6006,647982,6137,2599319,5188,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3479966,3754,759755,8160,31468,2499,185865,4251,210633,5137,131078,2216,58610,2921,68650,3748,40811,3601,32640,2640,195202,6655,25279,2641,24163,2754,21545,2086,13692,1852,28810,2607,39300,3163,21499,2119,20914,2082,2525009,7803,25942,2361,6174,1335,3223,916,3323,923,21788,2075,122445,3998,370299,4052,1971815,4350,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,882536,1884,190763,4217,4998,941,45376,2928,47119,3367,29336,888,19414,1538,23601,2155,11592,1641,9327,1567,45303,3189,5697,1055,9019,1836,8114,1259,4229,789,2299,716,6055,1281,4482,969,5408,957,646470,4053,10934,1746,2648,838,1883,798,1011,421,6111,1349,36080,2261,97774,2146,490029,1926,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608482,1577,92054,3665,8258,1082,24394,2116,18185,2158,12930,708,6926,1354,7088,1505,8242,1342,6031,1230,67683,4132,3627,927,4867,1286,5276,1293,2864,682,12031,2058,19877,2852,12972,1889,6169,1106,448745,3907,3276,777,1131,482,413,311,390,282,4674,1049,32744,2148,117664,2114,288453,1755,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18689114,8594,3890454,26791,116553,6427,924226,16191,983000,17354,612965,5220,317425,7902,474104,11744,261958,9739,200223,7773,797554,19485,105531,6109,138732,6161,119847,6730,64994,3818,54383,4465,108827,6581,96946,5475,108294,6539,14001106,22815,219807,7682,48287,4189,16574,2733,22003,2801,121403,5639,736706,11821,2022113,11477,10814213,11616,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9540591,7214,2384149,20867,85420,5007,610700,11181,639804,10217,356617,5082,183935,7188,241833,8442,140092,7438,125748,6371,413695,13370,59444,3613,69361,4626,64981,4938,36060,3187,29143,2937,50972,4629,44867,3922,58867,4989,6742747,19689,146887,5261,22696,3147,11182,2074,13241,2112,91673,4268,422804,9176,1164942,11054,4869322,10263,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1340261,2178,258451,4732,8313,1431,68191,2896,63579,3274,36748,1314,16307,1694,27576,2376,19505,2011,18232,1753,77620,4675,11101,1738,12401,1755,17411,2065,9512,1234,3839,915,8412,1450,6981,1331,7963,1180,1004190,4421,17547,1725,2882,957,1217,449,1927,627,13879,1664,67138,2717,172822,2553,726778,2263,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1529311,2426,394897,6711,7031,1396,99917,4390,116682,4056,62554,1383,25151,1971,31113,2903,28692,2823,23757,2905,59467,5125,8479,1384,11263,2270,5505,1190,3878,1061,4774,1003,12329,2075,6544,1169,6695,1512,1074947,6227,31809,2485,7376,1438,1728,739,2113,668,15324,1899,69499,3684,175193,3984,771905,3799,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12403972,7323,2833180,15276,114773,5620,696914,10214,769418,11547,472371,4029,224594,6092,278908,8105,156819,6792,119383,4937,644922,14782,69120,4321,114018,5506,92112,4775,45301,2682,59270,3457,115052,5716,89110,5081,60939,3681,8925870,15840,158851,6241,31328,2925,12792,2037,14770,1951,76918,4146,498567,8315,1536159,9240,6596485,7954,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6288186,5209,1472616,13678,36387,3042,349252,7327,400752,8184,236191,3791,120433,4326,165721,5947,89755,3937,74125,4252,280898,10399,33570,2647,65285,4717,46169,3981,23976,2476,24505,2002,44603,3313,20011,2455,22779,2326,4534672,12295,105052,3996,25815,2574,6981,1562,10841,1568,46509,2963,267199,5771,721474,5446,3350801,6293,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2959203,3259,680416,7939,25944,2170,172548,5327,181381,4012,107790,1811,55615,2175,72086,3159,38056,2628,26996,2309,129482,4937,13415,1701,22211,2145,19260,1876,9725,1146,15909,1529,27040,2247,11307,1661,10615,1251,2149305,6704,41655,2738,7204,1379,3266,780,3284,796,18341,1546,125536,3838,340268,4332,1609751,3995,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2768504,3076,690845,9319,24575,2037,170038,5233,176009,5236,102804,2058,62353,3087,78899,3750,42287,3160,33880,2365,112051,6049,14172,1880,24578,2176,21334,2665,10544,1504,7351,1300,13077,1680,9044,1680,11951,1576,1965608,7922,45270,2988,7938,1207,3318,847,3296,858,21445,2190,118279,3743,331718,4115,1434344,4159,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
