GEO_ID,C19001A_001E,C19001A_001M,C19001A_002E,C19001A_002M,C19001A_003E,C19001A_003M,C19001A_004E,C19001A_004M,C19001A_005E,C19001A_005M,C19001A_006E,C19001A_006M,C19001A_007E,C19001A_007M,C19001A_008E,C19001A_008M,C19001A_009E,C19001A_009M,C19001A_010E,C19001A_010M,C19001A_011E,C19001A_011M,NAME,C19001A_001MA,C19001A_001EA,C19001A_002EA,C19001A_002MA,C19001A_003MA,C19001A_003EA,C19001A_004EA,C19001A_004MA,C19001A_005EA,C19001A_005MA,C19001A_006MA,C19001A_006EA,C19001A_007MA,C19001A_007EA,C19001A_008EA,C19001A_008MA,C19001A_009EA,C19001A_009MA,C19001A_010EA,C19001A_010MA,C19001A_011MA,C19001A_011EA,state
0400000US06,8457578,25556,453671,10196,419796,8975,816210,12826,767021,14208,1050577,15887,1442224,17314,1037814,14997,1262850,16996,567754,9167,639661,9270,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1751085,8859,101308,4634,74477,3442,163022,6070,163043,6285,236095,7460,332237,8270,234977,6302,253829,5941,98946,5223,93151,4027,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1110308,7231,53335,3843,44635,3235,84549,4406,83368,4236,117470,5013,186765,5620,148619,4674,197942,6203,87296,4539,106329,4534,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,251901,3214,11647,1574,8731,1281,24002,2157,23067,2056,33089,2420,47802,3089,36802,2735,40552,2870,14406,1830,11803,1310,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119050,2969,4771,1113,1557,569,3870,871,5813,1380,8996,1531,14557,1957,13571,1535,25864,1836,14295,1786,25756,1795,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5806844,22331,407964,10532,330361,8501,710713,11182,684544,10420,876183,12782,1068876,17150,646112,11967,634808,13042,211964,7482,235319,6890,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2246577,12282,149921,5454,113427,5369,231182,7087,224333,7316,310272,8903,424200,10304,273339,7955,291431,7691,112260,5245,116212,5014,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,151669,3006,10553,1555,4314,1090,13488,1949,10052,1509,19091,2234,27315,2176,22196,2341,24941,1863,9806,1161,9913,1466,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,547085,5471,37062,3358,31726,2881,68378,3934,69315,3872,87579,4199,110705,4388,61894,3540,52892,3154,15261,2041,12273,1808,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3654879,12665,200567,6837,155686,4885,356735,7374,337415,8467,475668,10176,676533,11257,496881,10325,535540,11164,209100,6133,210754,5682,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2146849,9528,133843,5113,112852,5261,244018,7612,244490,5842,344564,8460,427558,7751,276929,6268,242134,6685,66709,4009,53752,3040,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1155028,5889,69776,3332,61536,3040,124883,4778,129350,4375,168212,4274,239926,5552,155293,4322,136931,4529,37291,2538,31830,2251,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,982119,5617,55325,2741,51160,3275,108526,4237,107331,4306,148352,4482,197018,5358,120370,3960,122835,3924,35353,2523,35849,2390,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1522463,8221,147228,5764,107569,4045,197677,6222,178734,6291,223081,6113,268867,6527,169925,5840,153493,4788,40270,2681,35619,2157,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1137010,7991,80874,4536,67342,3870,126494,4629,115610,5503,150242,4521,202200,6060,143911,6193,150472,5501,50114,2743,49751,2991,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,535329,4183,37737,2615,34271,2693,62855,3033,64991,3552,79396,3732,107266,4403,63447,3022,56725,2714,13876,1556,14765,1559,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1337133,6938,49282,2965,42928,3104,90902,4630,87258,4365,136285,4852,223321,5718,182051,5237,262426,6339,128673,4367,134007,3780,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2116175,10642,122871,5687,99293,4319,180822,5096,155529,6395,225744,6326,345646,8156,274296,7245,365494,9199,168128,5319,178352,5181,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3128688,10327,205242,5994,168997,5584,355267,7678,347523,6526,474035,7381,605411,9189,383738,7097,370293,6750,118248,3958,99934,3622,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1890081,6150,90253,3689,82127,3575,166729,4850,170806,5216,258300,5736,369843,6066,275114,5052,285601,6540,96406,3934,94902,3652,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,686848,6057,55278,3446,47506,3142,85086,4336,75586,4000,103056,5435,132133,4844,74969,4500,71758,4205,21355,2359,20121,2250,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2003414,10030,141422,5078,118037,4943,233783,6484,232594,7048,300621,7037,390913,8676,239431,6951,217465,6378,69873,3480,59275,3397,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,376303,3749,26494,2096,22265,2206,48995,2677,43965,2788,57283,2929,72648,3779,45148,2775,39939,2263,10265,1272,9301,1041,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,667008,4409,35931,2294,34768,2568,70723,3556,73337,3041,101485,3898,137680,4309,89410,3341,79717,3581,23973,1632,19984,1385,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,761464,7715,46063,3538,37181,2718,85933,4567,84655,4355,114618,5452,150438,6224,94495,4182,92749,5199,29232,2291,26100,2288,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,495773,4607,21994,2609,20781,2224,43198,3000,44128,3465,63605,3701,92574,3947,73308,3872,78072,3206,32512,2246,25601,2017,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
