GEO_ID,C24010H_001E,C24010H_001M,C24010H_002E,C24010H_002M,C24010H_003E,C24010H_003M,C24010H_004E,C24010H_004M,C24010H_005E,C24010H_005M,C24010H_006E,C24010H_006M,C24010H_007E,C24010H_007M,C24010H_008E,C24010H_008M,C24010H_009E,C24010H_009M,C24010H_010E,C24010H_010M,C24010H_011E,C24010H_011M,C24010H_012E,C24010H_012M,C24010H_013E,C24010H_013M,NAME,C24010H_001EA,C24010H_001MA,C24010H_002MA,C24010H_002EA,C24010H_003MA,C24010H_003EA,C24010H_004EA,C24010H_004MA,C24010H_005EA,C24010H_005MA,C24010H_006EA,C24010H_006MA,C24010H_007MA,C24010H_007EA,C24010H_008MA,C24010H_008EA,C24010H_009EA,C24010H_009MA,C24010H_010EA,C24010H_010MA,C24010H_011EA,C24010H_011MA,C24010H_012EA,C24010H_012MA,C24010H_013MA,C24010H_013EA,state
0400000US06,7102306,27135,3810984,18695,1802670,16528,450875,10759,714227,12791,459127,10271,384085,8659,3291322,18161,1623761,16021,524323,10837,1049508,15030,18083,2194,75647,4318,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1891455,11287,1004912,6747,437475,8386,125549,6256,179582,6377,151119,6372,111187,5311,886543,8387,419688,8437,149569,5731,281576,8072,6830,1383,28880,2608,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1295013,9853,665623,6696,287882,6542,85627,3916,121751,5313,87496,4430,82867,4433,629390,6192,303602,6189,103039,5270,195053,5423,3500,982,24196,2177,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,284657,4270,144485,2625,51954,2819,18735,1940,27257,2468,24987,2037,21552,2035,140172,3249,62197,3171,24496,2185,48046,3370,650,340,4783,986,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,154580,3136,76047,2091,61695,2371,4928,1202,7829,1354,810,489,785,436,78533,2116,61329,2676,3571,955,13125,2181,155,154,353,247,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4724847,21584,2466075,15305,896058,15253,395396,11039,522009,12690,366650,10788,285962,9443,2258772,17022,927460,14946,419168,11559,826745,14587,16657,2293,68742,5162,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2490738,15838,1336585,10566,503448,10200,151336,6671,249916,8049,218785,7557,213100,7039,1154153,10722,519315,10478,188054,7600,380453,9439,9785,1804,56546,4693,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,152326,4299,86449,2914,38872,3099,14934,2127,12424,1597,13178,1595,7041,1338,65877,2754,31513,2099,13162,1782,18869,1861,574,443,1759,743,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,603506,7249,321979,4918,103869,5081,44318,3591,57044,4301,61616,3987,55132,3619,281527,5318,108162,4550,64027,3842,92922,4242,2607,839,13809,1909,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4092132,17712,2129668,9821,782103,10251,246659,7606,399622,8345,307886,7285,393398,7971,1962464,12688,849948,10800,362371,9980,651159,11476,10568,1560,88418,3888,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2524473,14506,1327513,9323,377933,8415,147822,5529,220771,7566,231591,8056,349396,9001,1196960,10168,439295,8617,249045,7395,394049,9165,10142,1591,104429,4528,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1403753,7309,726376,6122,229488,6436,72110,4053,124770,4244,126905,4153,173103,5283,677377,5075,262687,5608,147328,4921,218825,5441,6435,1155,42102,2602,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1132048,6947,595756,5662,205885,5421,71163,3737,104449,4469,101744,3527,112515,4903,536292,5394,227380,5775,104307,4084,176150,4869,4222,868,24233,2106,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1631827,11288,846438,8218,239583,5676,100817,4843,141400,5152,156598,5092,208040,5718,785389,7671,301764,7031,152970,5516,265933,6846,5732,962,58990,3406,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1286448,9735,696218,6757,224182,7080,75192,4209,105351,4858,170578,7121,120915,5750,590230,6958,244378,7294,107831,5111,216400,6612,3915,1097,17706,2413,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,616537,6855,315484,4391,92169,3754,43368,2893,54176,3677,66869,3038,58902,3257,301053,4255,118224,4476,67802,3718,98913,3700,3110,791,13004,1508,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1651642,8953,854663,6827,406087,7694,90484,4553,141809,5899,124544,6246,91739,5070,796979,6218,413921,8012,116658,5832,240763,7371,4604,1108,21033,2035,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2615934,14199,1320497,8726,552310,7902,175650,6203,241520,7805,194618,6463,156399,5286,1295437,10018,646649,10041,214210,5846,384310,8780,6622,1339,43646,3417,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
