GEO_ID,C19001D_001E,C19001D_001M,C19001D_002E,C19001D_002M,C19001D_003E,C19001D_003M,C19001D_004E,C19001D_004M,C19001D_005E,C19001D_005M,C19001D_006E,C19001D_006M,C19001D_007E,C19001D_007M,C19001D_008E,C19001D_008M,C19001D_009E,C19001D_009M,C19001D_010E,C19001D_010M,C19001D_011E,C19001D_011M,NAME,C19001D_001MA,C19001D_001EA,C19001D_002EA,C19001D_002MA,C19001D_003EA,C19001D_003MA,C19001D_004EA,C19001D_004MA,C19001D_005EA,C19001D_005MA,C19001D_006MA,C19001D_006EA,C19001D_007EA,C19001D_007MA,C19001D_008EA,C19001D_008MA,C19001D_009EA,C19001D_009MA,C19001D_010EA,C19001D_010MA,C19001D_011MA,C19001D_011EA,state
0400000US06,1585165,11631,105461,4710,67680,3639,124445,4948,100607,4240,155536,5466,240738,6969,195531,5612,286814,7422,146437,5458,161916,5925,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,46156,2440,3599,950,1488,621,3936,963,3938,890,5263,1065,7445,1293,5797,1030,8852,1350,2832,644,3006,816,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44295,1927,1600,625,1122,497,1940,659,2492,772,4313,941,7271,1433,5525,1142,9938,1554,3793,999,6301,950,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8915,685,580,310,88,106,719,389,500,300,582,418,1566,566,1067,415,2249,681,674,250,890,337,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9195,1166,714,300,130,139,329,234,186,170,692,330,1271,499,1096,535,2168,844,1015,444,1594,479,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,150071,4771,10260,1978,6009,1209,12690,1783,15680,2404,18656,2158,29021,2953,18583,2059,24371,2355,6001,1010,8800,1644,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,98633,3193,5324,1142,2992,780,9542,1535,8826,1374,10983,1771,17936,2313,13635,2076,14765,1883,5932,1204,8698,1556,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,174746,3493,8875,1453,6106,1047,11898,1442,12811,1675,19901,2031,31162,2346,26367,2243,33044,1821,14560,1422,10022,1312,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6014,1134,300,203,166,171,1012,544,207,176,964,500,1650,728,852,497,419,261,253,198,191,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,202196,4226,17632,2301,7270,1510,13000,1841,13626,1702,19785,2079,31060,2868,26439,2250,38862,2729,15627,1623,18895,2143,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,36191,1962,4897,1170,1494,529,3708,976,2918,929,4901,1446,5437,1159,4429,1104,4083,1012,1727,567,2597,720,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,16226,1164,1756,650,1042,524,1234,549,887,419,2230,605,3710,764,2120,683,1983,585,333,235,931,420,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,21576,1245,1847,688,881,508,2184,668,2041,811,2646,732,3634,837,3118,788,3478,893,995,406,752,365,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,16294,1414,1147,457,495,290,1139,506,2118,728,2509,844,3156,759,1771,547,2432,677,456,221,1071,465,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22581,1768,1982,695,2342,838,2111,628,2690,908,3119,769,3317,894,2695,696,2358,739,1096,499,871,490,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
