GEO_ID,B19001G_001E,B19001G_001M,B19001G_002E,B19001G_002M,B19001G_003E,B19001G_003M,B19001G_004E,B19001G_004M,B19001G_005E,B19001G_005M,B19001G_006E,B19001G_006M,B19001G_007E,B19001G_007M,B19001G_008E,B19001G_008M,B19001G_009E,B19001G_009M,B19001G_010E,B19001G_010M,B19001G_011E,B19001G_011M,B19001G_012E,B19001G_012M,B19001G_013E,B19001G_013M,B19001G_014E,B19001G_014M,B19001G_015E,B19001G_015M,B19001G_016E,B19001G_016M,B19001G_017E,B19001G_017M,NAME,B19001G_001EA,B19001G_001MA,B19001G_002EA,B19001G_002MA,B19001G_003EA,B19001G_003MA,B19001G_004EA,B19001G_004MA,B19001G_005MA,B19001G_005EA,B19001G_006EA,B19001G_006MA,B19001G_007EA,B19001G_007MA,B19001G_008EA,B19001G_008MA,B19001G_009MA,B19001G_009EA,B19001G_010EA,B19001G_010MA,B19001G_011EA,B19001G_011MA,B19001G_012EA,B19001G_012MA,B19001G_013EA,B19001G_013MA,B19001G_014EA,B19001G_014MA,B19001G_015EA,B19001G_015MA,B19001G_016MA,B19001G_016EA,B19001G_017EA,B19001G_017MA,state
0400000US06,376302,9010,32797,2919,23246,2109,18619,1998,19969,2125,16024,2086,16246,1811,15908,1692,15741,1952,14977,1794,27926,2887,35305,2681,46976,3534,32260,2940,20851,2038,21192,2470,18265,2206,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,42680,2939,4453,1150,1837,587,2764,751,2897,752,1473,576,2627,840,2063,715,2370,772,2244,700,3428,1075,4587,1154,4498,924,3029,834,1323,443,1722,558,1365,515,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,20589,2194,1733,591,958,558,699,362,1442,638,1160,553,557,330,1264,695,853,471,943,473,1829,843,2490,712,2454,720,2018,820,448,220,1093,533,648,304,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4632,987,763,501,139,185,101,131,388,278,153,238,229,240,70,97,477,467,162,134,568,334,400,316,531,340,398,314,23,41,0,182,230,193,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5081,979,522,356,176,215,143,111,179,177,0,197,285,263,295,280,151,142,246,183,287,275,444,245,701,349,196,151,256,215,482,373,718,367,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,110716,4747,10747,1937,7997,1360,8658,1750,8701,1603,7175,1637,6765,1313,6208,1557,5425,1308,5290,1225,8432,1397,10468,1776,12252,1838,4698,1057,2355,830,3649,933,1896,657,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,42977,3389,4760,1078,2033,738,2456,933,3534,1069,3561,1177,3039,1080,1990,714,2429,1001,2026,767,3741,1050,4005,1048,3488,948,2396,777,510,342,1734,600,1275,678,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,69845,3643,4493,984,3161,850,2288,660,3116,911,2474,716,2747,823,1986,620,3499,1036,3941,1045,6561,1312,7004,1135,10228,1464,7923,1186,3988,938,4039,770,2397,582,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8925,1246,642,425,838,406,626,374,568,420,765,418,597,404,245,204,376,226,559,398,774,491,1077,463,856,570,389,333,226,208,286,222,101,107,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,59305,3826,5866,1311,3621,988,3275,968,4109,988,2581,686,3822,1117,1994,612,3282,925,2988,865,5614,1165,4820,878,6220,1139,4668,878,2009,587,2588,1111,1848,587,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
