C07001_026E,C07001_026M,C07001_027E,C07001_027M,C07001_028E,C07001_028M,C07001_029E,C07001_029M,C07001_030E,C07001_030M,C07001_031E,C07001_031M,C07001_032E,C07001_032M,C07001_033E,C07001_033M,C07001_034E,C07001_034M,C07001_035E,C07001_035M,C07001_036E,C07001_036M,C07001_037E,C07001_037M,C07001_038E,C07001_038M,C07001_039E,C07001_039M,C07001_040E,C07001_040M,C07001_041E,C07001_041M,C07001_042E,C07001_042M,C07001_043E,C07001_043M,C07001_044E,C07001_044M,C07001_045E,C07001_045M,C07001_046E,C07001_046M,C07001_047E,C07001_047M,C07001_048E,C07001_048M,C07001_049E,C07001_049M,C07001_050E,C07001_050M,C07001_051E,C07001_051M,C07001_052E,C07001_052M,C07001_053E,C07001_053M,C07001_054E,C07001_054M,C07001_055E,C07001_055M,C07001_056E,C07001_056M,C07001_057E,C07001_057M,C07001_058E,C07001_058M,C07001_059E,C07001_059M,C07001_060E,C07001_060M,GEO_ID,C07001_001E,C07001_001M,C07001_002E,C07001_002M,C07001_003E,C07001_003M,C07001_004E,C07001_004M,C07001_005E,C07001_005M,C07001_006E,C07001_006M,C07001_007E,C07001_007M,C07001_008E,C07001_008M,C07001_009E,C07001_009M,C07001_010E,C07001_010M,C07001_011E,C07001_011M,C07001_012E,C07001_012M,C07001_013E,C07001_013M,C07001_014E,C07001_014M,C07001_015E,C07001_015M,C07001_016E,C07001_016M,C07001_017E,C07001_017M,C07001_018E,C07001_018M,C07001_019E,C07001_019M,C07001_020E,C07001_020M,C07001_021E,C07001_021M,C07001_022E,C07001_022M,C07001_023E,C07001_023M,C07001_024E,C07001_024M,C07001_025E,C07001_025M,C07001_026MA,C07001_026EA,C07001_027EA,C07001_027MA,C07001_028MA,C07001_028EA,C07001_029MA,C07001_029EA,C07001_030MA,C07001_030EA,C07001_031MA,C07001_031EA,C07001_032EA,C07001_032MA,C07001_033EA,C07001_033MA,C07001_034MA,C07001_034EA,C07001_035EA,C07001_035MA,C07001_036MA,C07001_036EA,C07001_037MA,C07001_037EA,C07001_038EA,C07001_038MA,C07001_039EA,C07001_039MA,C07001_040EA,C07001_040MA,C07001_041EA,C07001_041MA,C07001_042EA,C07001_042MA,C07001_043EA,C07001_043MA,C07001_044EA,C07001_044MA,C07001_045EA,C07001_045MA,C07001_046EA,C07001_046MA,C07001_047MA,C07001_047EA,C07001_048MA,C07001_048EA,C07001_049EA,C07001_049MA,C07001_050EA,C07001_050MA,C07001_051EA,C07001_051MA,C07001_052EA,C07001_052MA,C07001_053MA,C07001_053EA,C07001_054EA,C07001_054MA,C07001_055EA,C07001_055MA,C07001_056EA,C07001_056MA,C07001_057EA,C07001_057MA,C07001_058MA,C07001_058EA,C07001_059MA,C07001_059EA,C07001_060EA,C07001_060MA,NAME,C07001_001MA,C07001_001EA,C07001_002MA,C07001_002EA,C07001_003EA,C07001_003MA,C07001_004MA,C07001_004EA,C07001_005EA,C07001_005MA,C07001_006EA,C07001_006MA,C07001_007MA,C07001_007EA,C07001_008EA,C07001_008MA,C07001_009MA,C07001_009EA,C07001_010EA,C07001_010MA,C07001_011EA,C07001_011MA,C07001_012MA,C07001_012EA,C07001_013MA,C07001_013EA,C07001_014EA,C07001_014MA,C07001_015MA,C07001_015EA,C07001_016EA,C07001_016MA,C07001_017EA,C07001_017MA,C07001_018MA,C07001_018EA,C07001_019EA,C07001_019MA,C07001_020MA,C07001_020EA,C07001_021EA,C07001_021MA,C07001_022EA,C07001_022MA,C07001_023MA,C07001_023EA,C07001_024MA,C07001_024EA,C07001_025MA,C07001_025EA,state
571943,14253,400320,12917,244589,8851,104817,5316,95964,4498,1056708,26852,58914,5201,114873,9086,257475,8641,257920,8766,132566,6801,105129,6168,69219,5316,32785,3023,27827,3120,493641,19652,29691,3279,53570,5257,108458,6788,136359,8715,62637,4568,40134,3552,33001,3322,17578,2387,12213,1848,254611,13204,9848,1674,36021,4091,51399,5017,62081,5506,35677,3805,19873,2348,19606,2180,12787,2146,7319,1285,0400000US06,37572738,10274,2068118,10104,6702496,2897,4022340,4061,5474318,4703,5175188,5320,5227892,4608,4302993,2349,2537154,3095,2062239,2670,31777868,67939,1650877,15064,5772524,23966,2972752,16056,4122233,22166,4372365,19022,4662436,14223,3936578,11302,2369187,7315,1918916,6521,3989910,57306,318788,10540,725508,20697,632256,14041,895725,19073,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
63760,4636,44483,3594,25333,2397,10585,1613,9228,1172,259284,10801,16318,2276,32055,4207,63276,4670,65132,4477,32061,3660,24939,2978,14824,1971,5725,1292,4954,1125,205060,11855,13975,2631,26375,3981,44192,3300,54171,4562,25999,3623,17718,2549,13677,2279,4294,1009,4659,1122,35606,4299,1326,601,5989,1716,7417,1551,10372,1927,4513,1321,2666,774,1840,587,1035,464,448,274,0400000US08,5123944,2939,273357,3235,894312,2284,511621,3719,756564,4261,708732,3501,725667,3125,642752,2184,358156,1919,252783,1558,4131357,21752,204777,5071,746448,9513,290157,8097,514626,8861,582399,7566,635861,5553,587078,3954,336517,2911,233494,2383,492637,16457,36961,3210,83445,6976,106579,6231,112263,6398,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
37594,3508,30484,2901,15853,2065,7295,1356,11066,1860,64117,5802,3162,961,6717,1708,16909,2514,16218,2504,8165,1718,6329,1354,3646,994,1049,457,1922,582,80311,6574,5240,1515,8492,2002,22632,2467,17906,2124,12235,2396,5766,1591,3286,1314,2040,783,2714,669,25150,4381,2072,877,3831,1891,5429,1234,5859,1698,2663,951,1605,674,2044,634,1047,530,600,345,0400000US09,3555319,2447,158042,2548,599696,1056,339603,1863,432609,2142,458041,2053,567053,2017,468251,1323,281784,1239,250240,776,3114940,16188,126591,3458,533014,6127,258871,5342,328498,6278,397384,5039,522869,3423,443422,2991,270353,2064,233938,2352,270801,12487,20977,2668,47642,4694,35762,3448,64128,5076,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
10700,2109,6500,1352,5112,1357,1527,552,1887,691,7784,2008,348,332,1045,823,1277,744,1316,566,1033,711,1023,582,853,439,642,430,247,209,34757,4691,1376,720,4133,1473,9361,1425,6058,1464,5108,1704,3897,1021,2892,1045,1232,636,700,321,3600,1007,216,244,492,312,789,400,1012,537,216,214,384,229,335,211,102,122,54,92,0400000US10,906576,1624,45669,1661,148735,513,93560,1034,113848,1176,112221,1303,133715,1264,118015,590,80975,780,59838,729,782216,9177,37873,2131,129730,3002,65682,3007,88611,3350,95164,2619,121911,1976,108823,1885,77472,1147,56950,1116,78219,7541,5856,1535,13335,2504,16451,2493,16851,2387,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
7666,1685,4166,1114,5054,935,760,329,745,369,0,197,0,197,0,197,0,197,0,197,0,197,0,197,0,197,0,197,0,197,53830,5001,1802,1030,2506,1041,20105,2962,16193,2111,6342,1348,3508,1075,2380,821,708,554,286,377,8758,1942,333,245,232,194,1824,712,4262,1330,661,359,501,493,650,369,197,200,98,119,0400000US11,624847,948,31526,924,70450,4,83340,514,138878,491,85596,453,75628,417,67528,147,39855,381,32046,370,500267,6225,25201,1677,62548,1968,46038,2551,99549,2828,70927,1949,67453,1640,59444,1093,38190,717,30917,630,61992,5668,4190,1509,5164,1510,15373,2504,18874,2698,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
250641,10765,207035,9874,138037,6472,70435,4956,64661,4624,569624,22145,28868,3910,71129,7592,126735,6900,122930,7609,69224,6265,64215,4703,47819,5059,20195,2425,18509,2595,537148,19784,28923,3564,72091,7584,79240,6231,87854,6477,68734,6591,61271,4078,59850,4939,49511,4644,29674,3007,164567,10910,9056,1994,24962,3340,19365,2815,27413,3523,23972,3301,20223,3611,14636,1984,16163,2508,8777,1730,0400000US12,19114620,6877,867397,7144,2930628,3674,1812848,6118,2381017,5784,2408804,6574,2739867,5712,2465232,3614,1899082,4334,1609745,4018,16032617,49245,668790,10576,2449870,17135,1317074,13242,1777735,14474,1996233,16227,2387123,12590,2204890,9000,1742778,8588,1488124,7424,1810664,39338,131760,8098,312576,14201,270434,11347,365085,10990,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
107080,8158,71493,5591,49668,4668,15628,2028,13361,1633,460085,18753,28429,3204,69729,7615,104108,6614,106252,6240,64307,5223,45170,3950,24742,2630,9789,1574,7559,1325,277466,14075,21812,3428,45233,5380,56680,4025,58447,4960,38772,3910,26399,3475,14736,1882,9005,1703,6382,1240,51395,6804,3384,1182,8122,1994,10691,2501,13153,2215,7244,1707,3547,928,2789,799,1295,722,1170,641,0400000US13,9796547,5863,547707,6350,1824642,4576,1020360,6833,1349901,7671,1392560,6308,1387853,5849,1134168,3685,683911,4154,455445,3772,8231384,34188,432058,6794,1546156,15295,712745,10347,1006624,11930,1175157,9254,1241244,9225,1042233,6171,648194,4921,426973,4144,776217,30392,62024,4979,155402,11356,136136,7896,165425,8830,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
17510,2408,13333,1941,8826,1480,3363,817,4052,1046,6464,2446,357,351,1014,963,1484,518,1685,975,735,451,544,363,320,289,211,213,114,123,55145,5749,5310,1133,6052,1145,11686,1847,16388,2642,7138,1783,4439,1142,2068,650,1583,527,481,330,20735,2663,1366,685,2238,789,4722,976,5056,1083,2822,961,2495,1109,583,276,960,543,493,292,0400000US15,1374852,1662,71552,1747,213868,402,137151,1145,199308,1164,175142,1255,185698,1332,181710,601,111941,785,98482,645,1164145,10466,54875,2360,186846,3478,98334,3203,143187,4264,146937,3347,164887,2637,169913,1733,105824,1276,93342,1273,128363,9721,9644,1701,17718,3337,20925,2526,32992,3388,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
19719,2732,12173,2087,5602,1339,3006,675,4730,1317,57166,5994,4692,1645,9122,1860,14556,2363,13767,2746,5539,1496,3585,926,3145,997,1741,718,1019,443,59283,6040,3453,1185,9471,2553,14434,2203,11249,2209,7364,1701,3818,1207,4558,1079,3544,1269,1392,535,6627,1610,80,107,394,340,3256,1208,1747,753,546,369,126,133,90,113,276,215,112,143,0400000US16,1573036,2184,91044,2548,311016,1857,158190,2802,210429,2866,196439,2946,202275,2177,192611,1587,123015,1223,88017,747,1296975,12998,70313,3177,262205,5309,92195,4509,151990,5370,163271,3978,182573,3284,179216,2304,114448,1947,80764,1588,152985,9897,12506,1977,29824,4298,33749,3874,31676,3057,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
154042,6088,101120,4551,65418,4364,29058,2653,34949,2579,328651,12905,21667,2867,36443,4135,94807,5709,78952,4832,36888,3427,26084,2737,15890,2065,8003,1440,9917,1953,208755,10844,11584,1968,23607,3933,52044,4102,61630,4825,24208,3104,16542,2682,9612,1478,5373,1119,4155,989,65852,6243,4235,1336,7094,1818,14094,1836,19337,2471,9258,2010,5179,1234,3509,1008,2223,735,923,362,0400000US17,12725119,5939,663891,5968,2249024,2964,1253309,3930,1782088,5077,1699779,4343,1824863,3598,1556453,2251,926029,2141,769683,1989,11009321,31714,541499,7929,1991795,11981,897533,8904,1364038,10643,1475383,8190,1675938,6776,1462024,5373,881372,3694,719739,3704,1112540,23723,84906,5898,190085,9317,194831,7882,258131,9008,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
