GEO_ID,C17003_001E,C17003_001M,C17003_002E,C17003_002M,C17003_003E,C17003_003M,C17003_004E,C17003_004M,C17003_005E,C17003_005M,C17003_006E,C17003_006M,C17003_007E,C17003_007M,C17003_008E,C17003_008M,C17003_009E,C17003_009M,C17003_010E,C17003_010M,C17003_011E,C17003_011M,NAME,C17003_001EA,C17003_001MA,C17003_002MA,C17003_002EA,C17003_003MA,C17003_003EA,C17003_004EA,C17003_004MA,C17003_005EA,C17003_005MA,C17003_006EA,C17003_006MA,C17003_007MA,C17003_007EA,C17003_008MA,C17003_008EA,C17003_009MA,C17003_009EA,C17003_010EA,C17003_010MA,C17003_011EA,C17003_011MA,state
0400000US06,24440309,4528,3243896,35103,1189694,21780,800114,16638,838197,19372,415891,12804,21196413,35827,3284199,27506,4207633,27895,6488619,29948,7215962,33229,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3388727,3625,344842,10510,83341,5517,96828,5234,106506,5565,58167,4406,3043885,11167,225984,7149,630440,11925,958037,12756,1229424,15383,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2414730,2043,205418,7140,57198,4586,74939,4140,47235,3371,26046,2734,2209312,7507,178449,6908,589561,10912,560006,10028,881296,10854,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,608643,1202,54068,3885,16844,2316,17245,2289,12814,2059,7165,1277,554575,3887,51312,3606,173078,5301,155143,5321,175042,6740,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,431807,983,57624,4579,16408,2206,17787,2282,11554,1661,11875,2401,374183,4406,31150,2581,60316,3892,62418,3776,220299,5422,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13285121,6566,1803563,28016,505921,16317,630615,15787,462577,11399,204450,7424,11481558,29350,1243240,21593,3304771,29528,3531371,26576,3402176,30703,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6278266,8521,919799,20007,286589,10766,313716,10569,228058,7915,91436,5672,5358467,21484,626028,15158,1450709,19192,1574202,20212,1707528,21068,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,936889,1497,87643,5000,17353,2459,30495,2850,25716,2532,14079,1790,849246,5257,71057,4689,232819,7125,275046,6612,270324,6090,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,997748,3077,117428,6376,24961,2950,38958,3713,38882,3100,14627,2045,880320,6979,75491,4288,234728,7877,327882,9588,242219,9110,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8413963,4408,947599,16016,266882,9382,308539,9945,245012,7324,127166,6745,7466364,16028,748121,13821,1954153,21696,2195102,18766,2568988,20773,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
