GEO_ID,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M,NAME,B19001_001EA,B19001_001MA,B19001_002EA,B19001_002MA,B19001_003EA,B19001_003MA,B19001_004MA,B19001_004EA,B19001_005EA,B19001_005MA,B19001_006EA,B19001_006MA,B19001_007EA,B19001_007MA,B19001_008EA,B19001_008MA,B19001_009MA,B19001_009EA,B19001_010EA,B19001_010MA,B19001_011EA,B19001_011MA,B19001_012EA,B19001_012MA,B19001_013MA,B19001_013EA,B19001_014EA,B19001_014MA,B19001_015EA,B19001_015MA,B19001_016EA,B19001_016MA,B19001_017EA,B19001_017MA,state
0400000US06,12552658,18433,794831,12733,671941,11543,624661,12050,644200,11482,560192,11606,590116,13709,542578,11305,554131,12151,488326,11228,923272,14409,1205800,14592,1500192,16206,1107333,14822,694066,12690,794583,10234,856436,11423,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,128270,5249,89866,3894,91787,4292,103159,4802,91909,4759,100994,4998,90978,4572,95972,4682,85735,4344,162739,4793,208812,6592,260636,6943,172814,5937,104874,4609,108106,5274,99437,4312,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,80094,4395,62250,3961,55077,3900,60599,3558,56316,3830,52391,3462,51604,2993,51678,3164,45167,3104,97352,4692,131790,5460,172780,5219,136447,5368,89923,4373,98161,5196,116183,4992,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,19251,2073,14879,1680,14838,1944,17981,2031,16384,1708,16415,2129,14270,1669,19094,2086,12024,1412,29101,2688,36771,2891,47116,3169,33774,2958,17412,1742,16605,1859,14393,1425,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,27616,2593,11798,1470,9977,1431,10472,1557,9779,1669,9656,1557,10143,1713,10201,1505,8752,1499,14624,1923,21466,2225,27005,2384,26297,2405,15586,1877,20977,2304,32313,2175,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,587116,13435,441349,9523,458066,11387,463599,10328,435999,9150,435069,9581,392314,10422,382651,9206,319182,9992,589760,12932,702159,12742,762824,13523,479341,12079,251380,7791,238982,8072,258152,6795,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,329091,8577,215303,7607,203374,7527,213577,8157,197013,8565,188176,7032,175918,6999,166626,6755,153782,6822,279965,9055,355612,10172,390927,9695,249223,7524,135302,5444,139411,6152,139608,5532,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,27696,2596,16689,1823,17832,2357,17399,1929,15387,1868,17399,1884,17119,1831,18944,2113,19216,1904,33582,2556,49359,2737,66615,3883,49942,2827,26339,1913,30700,2219,23530,2223,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,40098,3533,33758,2825,36319,2926,38016,2820,37068,2770,36997,3011,33206,3249,33318,2833,26303,2651,53053,3293,66146,3996,65127,3558,37711,2966,17377,1958,15995,1970,12614,1857,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,355679,8673,234810,7047,248739,7013,247042,7113,224888,6735,236972,6623,218279,6137,216011,6505,194922,7712,367552,9028,485060,9705,610396,11085,405225,9623,239059,7372,243339,6113,242221,6097,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
