GEO_ID,C01001I_001E,C01001I_001M,C01001I_002E,C01001I_002M,C01001I_003E,C01001I_003M,C01001I_004E,C01001I_004M,C01001I_005E,C01001I_005M,C01001I_006E,C01001I_006M,C01001I_007E,C01001I_007M,C01001I_008E,C01001I_008M,C01001I_009E,C01001I_009M,NAME,C01001I_001EA,C01001I_001MA,C01001I_002EA,C01001I_002MA,C01001I_003MA,C01001I_003EA,C01001I_004MA,C01001I_004EA,C01001I_005EA,C01001I_005MA,C01001I_006EA,C01001I_006MA,C01001I_007EA,C01001I_007MA,C01001I_008EA,C01001I_008MA,C01001I_009EA,C01001I_009MA,state
0400000US06,14537661,-555555555,7347254,1395,2442616,1298,4546967,972,357671,814,7190407,1392,2345113,1298,4364547,743,480747,712,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1088742,-555555555,554800,2024,195567,1577,332187,1399,27046,766,533942,2025,186456,1695,313778,1401,33708,711,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,510647,-555555555,255325,891,85151,799,159375,509,10799,477,255322,891,81079,798,159041,740,15202,602,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,78813,-555555555,41232,659,14960,636,24938,317,1334,262,37581,659,13949,635,21935,160,1697,298,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62726,-555555555,32291,-555555555,7599,-555555555,23418,-555555555,1274,-555555555,30435,-555555555,7465,-555555555,20999,-555555555,1971,-555555555,District of Columbia,null,*****,null,*****,*****,null,*****,null,null,*****,null,*****,null,*****,null,*****,null,*****,11
0400000US12,4484201,-555555555,2217588,3202,581902,2261,1434940,2620,200746,1703,2266613,3202,560059,2905,1427659,2233,278895,1771,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,904343,3608,484322,4242,175009,3656,298195,2748,11118,1150,420021,3938,162845,2885,241784,2427,15392,1739,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,131743,-555555555,68430,654,25161,653,40822,379,2447,379,63313,654,22546,655,37109,109,3658,109,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,185159,-555555555,96128,1948,37753,1739,55482,894,2893,685,89031,1948,36379,1741,49159,1022,3493,717,Idaho,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2100008,1920,1083676,2340,374111,1751,666283,1869,43282,805,1016332,2442,358517,1784,605417,1605,52398,744,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,408900,1327,211265,2618,81048,2392,123259,2427,6958,775,197635,2481,77503,2036,111747,2025,8385,835,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,160644,1481,83780,2196,33966,1921,47701,1168,2113,572,76864,2165,32525,1832,41927,1577,2412,921,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,315776,269,163324,1620,63623,1371,94680,948,5021,567,152452,1577,61731,1470,85057,932,5664,777,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,134035,1860,72166,2377,25529,1735,44808,1906,1829,516,61869,2086,23397,1535,35853,1374,2619,719,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,207636,928,113685,2519,31763,1929,75589,1706,6333,819,93951,2287,28702,1666,56578,1349,8671,947,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18451,699,8730,1161,3227,668,4958,859,545,267,9721,977,3628,742,5792,687,301,158,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,510448,665,264826,1552,81651,1501,175502,1021,7673,656,245622,1699,80473,1538,153425,942,11724,528,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,673885,1080,332458,1104,112456,763,206563,889,13439,519,341427,1273,106274,977,216348,916,18805,544,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,454918,615,230788,1862,87975,1438,132305,1168,10508,895,224130,1777,85219,1393,126293,1000,12618,813,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,264025,630,136281,1766,52554,1564,79530,1400,4197,614,127744,1804,54393,1559,69663,1172,3688,550,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,80121,2453,43967,2622,12305,1355,30722,2148,940,550,36154,1905,15454,1512,19391,1344,1309,631,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,221519,1600,116086,2277,42972,1609,68078,1931,5036,846,105433,2170,38907,1654,61797,1792,4729,691,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,31465,373,14757,1098,4809,603,9237,929,711,372,16708,1152,6136,819,9426,869,1146,494,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
