GEO_ID,B20017I_001E,B20017I_001M,B20017I_002E,B20017I_002M,B20017I_003E,B20017I_003M,B20017I_004E,B20017I_004M,B20017I_005E,B20017I_005M,B20017I_006E,B20017I_006M,B20017I_007E,B20017I_007M,NAME,B20017I_001EA,B20017I_001MA,B20017I_002EA,B20017I_002MA,B20017I_003MA,B20017I_003EA,B20017I_004MA,B20017I_004EA,B20017I_005MA,B20017I_005EA,B20017I_006MA,B20017I_006EA,B20017I_007MA,B20017I_007EA,state
0400000US06,21358,122,23821,257,31768,197,11216,150,18049,237,29435,524,9273,150,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,22144,412,24989,643,33505,1571,11065,812,19107,940,30641,973,8257,736,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,22254,659,25413,1351,35760,1511,11694,694,19736,1073,31534,1429,10265,631,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22290,1307,24925,2540,33487,5919,10216,2820,20391,2193,31233,2415,9857,1881,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,26667,2181,26913,5700,35326,2349,16474,948,26497,3125,41042,12125,12128,2816,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,21965,211,23891,603,31205,346,11046,265,20471,292,28299,815,9850,400,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,20010,603,21233,492,26355,753,11621,638,16525,756,24194,1362,8503,544,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,25704,1813,29202,3989,38663,3140,9444,2212,22461,1952,33068,3891,10564,1413,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,18552,1492,22062,961,29192,1573,8523,3442,12831,1703,23449,2876,7388,1941,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,22151,255,25007,567,31622,448,11279,414,19880,431,26978,412,9850,442,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,20497,727,24211,1525,29157,2158,10430,1209,16504,859,25990,1135,7723,939,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
