GEO_ID,B17014_001E,B17014_001M,B17014_002E,B17014_002M,B17014_003E,B17014_003M,B17014_004E,B17014_004M,B17014_005E,B17014_005M,B17014_006E,B17014_006M,B17014_007E,B17014_007M,B17014_008E,B17014_008M,B17014_009E,B17014_009M,B17014_010E,B17014_010M,B17014_011E,B17014_011M,B17014_012E,B17014_012M,B17014_013E,B17014_013M,B17014_014E,B17014_014M,B17014_015E,B17014_015M,B17014_016E,B17014_016M,B17014_017E,B17014_017M,B17014_018E,B17014_018M,B17014_019E,B17014_019M,B17014_020E,B17014_020M,B17014_021E,B17014_021M,B17014_022E,B17014_022M,B17014_023E,B17014_023M,B17014_024E,B17014_024M,B17014_025E,B17014_025M,B17014_026E,B17014_026M,B17014_027E,B17014_027M,B17014_028E,B17014_028M,B17014_029E,B17014_029M,B17014_030E,B17014_030M,B17014_031E,B17014_031M,B17014_032E,B17014_032M,B17014_033E,B17014_033M,B17014_034E,B17014_034M,B17014_035E,B17014_035M,NAME,B17014_001MA,B17014_001EA,B17014_002EA,B17014_002MA,B17014_003EA,B17014_003MA,B17014_004MA,B17014_004EA,B17014_005MA,B17014_005EA,B17014_006MA,B17014_006EA,B17014_007MA,B17014_007EA,B17014_008EA,B17014_008MA,B17014_009MA,B17014_009EA,B17014_010MA,B17014_010EA,B17014_011MA,B17014_011EA,B17014_012MA,B17014_012EA,B17014_013EA,B17014_013MA,B17014_014EA,B17014_014MA,B17014_015EA,B17014_015MA,B17014_016MA,B17014_016EA,B17014_017MA,B17014_017EA,B17014_018EA,B17014_018MA,B17014_019EA,B17014_019MA,B17014_020EA,B17014_020MA,B17014_021MA,B17014_021EA,B17014_022MA,B17014_022EA,B17014_023MA,B17014_023EA,B17014_024EA,B17014_024MA,B17014_025EA,B17014_025MA,B17014_026EA,B17014_026MA,B17014_027MA,B17014_027EA,B17014_028MA,B17014_028EA,B17014_029EA,B17014_029MA,B17014_030EA,B17014_030MA,B17014_031EA,B17014_031MA,B17014_032MA,B17014_032EA,B17014_033MA,B17014_033EA,B17014_034MA,B17014_034EA,B17014_035EA,B17014_035MA,state
0400000US06,8585787,27380,1111400,15617,471618,9445,120357,5537,226280,7192,103690,4964,21291,2045,639782,12282,136835,5712,41205,3341,82095,4467,11248,1518,2287,735,502947,10630,207257,6943,248346,6950,39963,3442,7381,1480,7474387,28093,5632481,27118,655783,10149,1498779,17641,2649903,21416,828016,14014,1841906,20764,622453,12792,38677,2831,317515,10760,192790,6922,73471,4427,1219453,15928,109562,4626,625249,13708,359605,7733,125037,5182,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,118607,5656,47192,3409,9878,1323,23752,2518,11373,1479,2189,713,71415,4599,14582,2108,3211,821,9898,1833,1277,742,196,307,56833,4188,18168,2219,32179,3123,5467,1183,1019,569,1159657,11072,927878,11729,105157,3184,227171,6566,493005,9531,102545,4050,231779,6532,77714,4051,3984,900,41363,3112,25907,2966,6460,1337,154065,5615,9158,1156,86299,4225,46488,3087,12120,1758,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,70924,4265,20201,2445,7249,1270,9105,1788,3580,1016,267,196,50723,3321,6295,1400,3207,1009,2891,973,197,216,0,193,44428,3185,18349,2018,23367,2779,2359,618,353,272,831445,8840,640675,8470,71030,2834,149471,4936,322562,6494,97612,3911,190770,6524,56922,3897,2846,770,29211,2799,19770,2518,5095,1189,133848,5347,9626,1390,72956,3963,38925,2864,12341,1751,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,18399,2121,5984,1260,1683,569,2620,788,1171,548,510,548,12415,1677,2028,630,709,411,1111,514,208,176,0,182,10387,1632,3923,957,5193,1185,1192,524,79,92,207194,4348,157476,4530,24752,1593,36521,2620,73287,3667,22916,2598,49718,3535,14233,2110,929,441,8158,1616,3840,905,1306,533,35485,2747,2774,877,18200,2025,11724,1858,2787,944,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,15690,1571,2274,745,507,310,1157,465,506,447,104,170,13416,1415,1422,584,645,340,667,409,110,186,0,197,11994,1395,6108,1107,4980,895,774,465,132,125,96803,3781,59875,3094,5342,939,13435,1619,36677,2384,4421,957,36928,2435,7956,1249,1033,493,3534,822,2684,804,705,457,28972,2078,2628,747,15140,1644,8831,1383,2373,671,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,580789,12915,226660,7825,82929,4690,97174,5218,42731,3593,3826,942,354129,9725,64598,4050,21734,2402,36997,3494,5438,1413,429,326,289531,9091,112037,6576,154793,7155,19534,2828,3167,935,4017433,24594,3092960,22883,653743,9146,798882,14697,1337574,18876,302761,8008,924473,14572,259303,9265,22372,2139,141842,7901,76497,4898,18592,2080,665170,10080,59900,3859,372268,9064,186862,6700,46140,3336,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,361820,10541,120443,6072,34489,3585,57784,4247,24246,2524,3924,1061,241377,8503,35701,2570,12266,1834,20912,2336,2217,789,306,239,205676,8198,81112,4802,109546,5863,13824,2120,1194,591,2044406,15943,1572943,17075,195964,5851,433821,10357,780593,12609,162565,6475,471463,11691,130717,5897,11377,1571,72687,5305,37845,3050,8808,1770,340746,10111,30803,2964,196411,7621,94513,5532,19019,2601,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,26514,2112,11141,1234,3058,848,5258,1002,2659,676,166,155,15373,1789,2744,832,526,212,1880,766,326,335,12,21,12629,1647,5171,1117,6086,1103,1058,519,314,263,282651,5838,217886,6168,24937,1888,51869,2726,99196,4451,41884,2470,64765,3503,20825,1895,1003,327,10003,1414,6411,1260,3408,787,43940,2948,3980,846,18947,2178,13406,1359,7607,1198,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,47558,3550,22630,2412,5413,1412,9202,1490,6894,1302,1121,569,24928,2647,3868,953,1305,509,2325,816,227,159,11,20,21060,2486,6113,1547,13803,2047,666,472,478,332,358350,6909,299595,6422,42464,2275,76149,4016,147470,5337,33512,2585,58755,4228,20466,2715,1418,601,11813,1774,6144,1817,1091,540,38289,3132,4011,1278,20052,2128,12335,1894,1891,649,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,339595,8078,111903,5129,31087,2503,53673,3432,22858,2435,4285,996,227692,6957,36832,3216,11409,1450,21909,2544,3288,796,226,187,190860,6302,70249,3916,102868,4574,15717,1783,2026,641,2781425,15435,2177526,18209,257422,4848,514009,8486,1092051,15959,314044,7993,603899,11431,183297,6670,12215,1378,93661,4451,59304,3543,18117,2346,420602,9957,34587,2258,221439,8156,126418,5468,38158,2928,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
