GEO_ID,B27001D_001E,B27001D_001M,B27001D_002E,B27001D_002M,B27001D_003E,B27001D_003M,B27001D_004E,B27001D_004M,B27001D_005E,B27001D_005M,B27001D_006E,B27001D_006M,B27001D_007E,B27001D_007M,B27001D_008E,B27001D_008M,B27001D_009E,B27001D_009M,B27001D_010E,B27001D_010M,B27001D_011E,B27001D_011M,B27001D_012E,B27001D_012M,B27001D_013E,B27001D_013M,B27001D_014E,B27001D_014M,B27001D_015E,B27001D_015M,B27001D_016E,B27001D_016M,B27001D_017E,B27001D_017M,B27001D_018E,B27001D_018M,B27001D_019E,B27001D_019M,B27001D_020E,B27001D_020M,B27001D_021E,B27001D_021M,B27001D_022E,B27001D_022M,B27001D_023E,B27001D_023M,B27001D_024E,B27001D_024M,B27001D_025E,B27001D_025M,B27001D_026E,B27001D_026M,B27001D_027E,B27001D_027M,B27001D_028E,B27001D_028M,NAME,B27001D_001EA,B27001D_001MA,B27001D_002EA,B27001D_002MA,B27001D_003MA,B27001D_003EA,B27001D_004MA,B27001D_004EA,B27001D_005EA,B27001D_005MA,B27001D_006EA,B27001D_006MA,B27001D_007EA,B27001D_007MA,B27001D_008MA,B27001D_008EA,B27001D_009MA,B27001D_009EA,B27001D_010MA,B27001D_010EA,B27001D_011EA,B27001D_011MA,B27001D_012EA,B27001D_012MA,B27001D_013EA,B27001D_013MA,B27001D_014MA,B27001D_014EA,B27001D_015MA,B27001D_015EA,B27001D_016EA,B27001D_016MA,B27001D_017EA,B27001D_017MA,B27001D_018EA,B27001D_018MA,B27001D_019EA,B27001D_019MA,B27001D_020MA,B27001D_020EA,B27001D_021MA,B27001D_021EA,B27001D_022EA,B27001D_022MA,B27001D_023EA,B27001D_023MA,B27001D_024EA,B27001D_024MA,B27001D_025MA,B27001D_025EA,B27001D_026MA,B27001D_026EA,B27001D_027EA,B27001D_027MA,B27001D_028EA,B27001D_028MA,state
0400000US06,5091561,18201,327157,5918,316386,6157,10771,1917,686771,7809,640789,7803,45982,4325,487868,5023,377494,6321,110374,4976,776125,6181,614109,8543,162016,6736,816226,4731,698872,6594,117354,5617,743016,4103,607121,5551,135895,5407,623592,3503,500681,6486,122911,5403,356604,2831,343989,3209,12615,2084,274202,2440,270171,2339,4031,1171,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,145498,4300,11605,1278,11364,1302,241,256,22410,1959,20154,2053,2256,908,13945,1373,12104,1360,1841,625,25320,1512,20734,1505,4586,1125,25172,1774,20864,1785,4308,1322,20223,1175,16403,1307,3820,894,14825,806,12480,1081,2345,758,7672,893,7500,896,172,166,4326,879,4289,874,37,64,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,147574,2314,12804,1001,12162,1086,642,562,24105,1553,22247,1419,1858,907,14470,1173,10798,1396,3672,1311,26973,1473,23383,1560,3590,939,27583,1032,23937,1547,3646,1161,19089,768,15891,1217,3198,976,13355,605,11342,851,2013,666,5970,626,5301,730,669,492,3225,604,2833,645,392,263,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30542,1588,2367,440,2045,580,322,278,4528,675,4254,661,274,316,3074,417,2496,620,578,452,5729,557,4931,624,798,519,5155,552,4714,715,441,309,3987,599,3304,630,683,324,2908,289,2129,513,779,410,1539,456,1101,404,438,368,1255,486,1084,446,171,280,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21593,1599,1092,454,964,444,128,201,988,339,940,340,48,82,3649,803,3335,831,314,214,7190,812,6619,739,571,319,4315,562,4015,579,300,187,1488,403,1325,430,163,191,1564,240,1280,376,284,392,800,269,800,269,0,197,507,270,507,270,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,485863,7833,33198,2526,29955,2688,3243,1430,69627,3145,60590,3285,9037,2159,46118,3033,30745,2875,15373,2424,78092,3082,53277,2953,24815,2765,84738,3067,64368,4131,20370,3525,67321,2906,49226,2871,18095,2637,56467,2327,42641,2301,13826,1556,34527,2360,32262,2257,2265,778,15775,1742,14717,1628,1058,694,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,334757,6132,26571,2428,24371,2414,2200,883,54896,3086,47036,3161,7860,1710,36287,2326,23661,2224,12626,2155,52909,2046,39010,2338,13899,2167,64454,2447,49728,2766,14726,2265,45751,1835,31997,2127,13754,1979,31855,1566,20535,1792,11320,1635,14647,1383,13360,1382,1287,791,7387,1309,6855,1290,532,429,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,525892,10408,23976,2472,22580,2358,1396,585,54599,2943,51779,2766,2820,1049,37857,2197,34021,2283,3836,948,57000,2619,51063,2629,5937,1027,68132,2137,62873,2204,5259,1221,81191,2004,75467,1899,5724,1258,83343,1923,78099,2253,5244,1277,56542,1241,55589,1288,953,485,63252,946,62852,1098,400,466,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20329,2763,1049,470,1049,470,0,187,2749,953,2413,888,336,355,2608,1124,2075,980,533,526,4031,895,3493,916,538,305,3586,860,3355,865,231,182,3442,793,1907,617,1535,797,1971,678,1195,582,776,437,650,280,650,280,0,187,243,233,243,233,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,615074,6330,43549,2583,42790,2576,759,425,89850,2767,84860,2984,4990,1438,58275,2330,46667,2582,11608,1680,113330,2511,93793,3146,19537,2290,106977,2528,93201,2979,13776,1919,76639,1669,60218,2956,16421,2370,67473,1360,51519,2264,15954,2035,40018,1320,36403,1451,3615,991,18963,810,17392,1024,1571,549,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,107425,3777,6434,1383,6178,1290,256,311,15663,2108,12956,1957,2707,1147,18099,1524,14398,1364,3701,774,21107,2071,16265,1895,4842,1339,17098,2010,13922,1862,3176,1003,13924,1725,10660,1649,3264,953,9262,1448,6943,1438,2319,728,3590,905,3308,871,282,279,2248,777,2118,754,130,158,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,56248,2203,4370,948,4370,948,0,151,9174,1108,7966,1013,1208,742,9527,1231,8184,1357,1343,612,11853,1486,9551,1300,2302,749,9130,949,7359,1111,1771,716,6125,951,5774,946,351,267,3076,643,2582,672,494,284,2195,603,2014,595,181,192,798,348,775,343,23,34,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,70475,2639,6748,871,6607,898,141,125,10356,1387,9626,1406,730,431,9340,1328,7567,1245,1773,607,13592,1238,10948,1145,2644,777,12609,982,10210,1099,2399,777,7262,649,5767,754,1495,508,5906,982,5233,991,673,348,3314,766,3052,830,262,262,1348,496,1297,502,51,77,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,54507,3041,5299,898,4734,918,565,426,10866,1497,9618,1476,1248,643,5097,619,3418,607,1679,584,9656,1082,7964,993,1692,736,10729,1242,8721,1102,2008,705,6200,1000,4589,986,1611,559,4067,701,3318,807,749,408,1469,347,1469,347,0,181,1124,349,1124,349,0,181,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,71842,2466,5682,898,5409,896,273,248,11633,1355,10152,1421,1481,706,8608,1234,5335,1085,3273,942,13651,1575,8537,1537,5114,1339,10865,1596,8392,1653,2473,770,8585,1362,5433,1011,3152,898,7482,997,5287,998,2195,649,3589,813,3446,846,143,171,1747,598,1682,582,65,113,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14414,1392,1018,460,1018,460,0,155,2941,643,2663,637,278,204,1850,725,1354,718,496,323,2419,858,1690,643,729,630,2496,744,2041,735,455,331,1235,440,1017,410,218,149,1463,642,1405,659,58,69,727,411,625,346,102,167,265,229,265,229,0,155,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,337752,4343,24072,1737,22836,1732,1236,691,49610,1934,45800,2003,3810,1106,30548,1200,24958,1620,5590,1341,54037,1695,46166,1887,7871,1555,59406,1600,49977,1956,9429,1584,49264,1480,42096,1852,7168,1537,37723,733,30277,1535,7446,1425,21359,913,19781,1086,1578,592,11733,798,11475,789,258,169,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
