GEO_ID,B19101G_001E,B19101G_001M,B19101G_002E,B19101G_002M,B19101G_003E,B19101G_003M,B19101G_004E,B19101G_004M,B19101G_005E,B19101G_005M,B19101G_006E,B19101G_006M,B19101G_007E,B19101G_007M,B19101G_008E,B19101G_008M,B19101G_009E,B19101G_009M,B19101G_010E,B19101G_010M,B19101G_011E,B19101G_011M,B19101G_012E,B19101G_012M,B19101G_013E,B19101G_013M,B19101G_014E,B19101G_014M,B19101G_015E,B19101G_015M,B19101G_016E,B19101G_016M,B19101G_017E,B19101G_017M,NAME,B19101G_001MA,B19101G_001EA,B19101G_002MA,B19101G_002EA,B19101G_003MA,B19101G_003EA,B19101G_004EA,B19101G_004MA,B19101G_005EA,B19101G_005MA,B19101G_006MA,B19101G_006EA,B19101G_007MA,B19101G_007EA,B19101G_008MA,B19101G_008EA,B19101G_009EA,B19101G_009MA,B19101G_010EA,B19101G_010MA,B19101G_011MA,B19101G_011EA,B19101G_012MA,B19101G_012EA,B19101G_013MA,B19101G_013EA,B19101G_014EA,B19101G_014MA,B19101G_015EA,B19101G_015MA,B19101G_016MA,B19101G_016EA,B19101G_017MA,B19101G_017EA,state
0400000US06,247291,6603,17339,1908,9609,1374,11469,1791,12195,1363,11817,1649,10366,1440,10894,1341,9866,1508,8371,1120,17052,1780,24199,2173,34066,2791,23020,2499,15383,1618,17313,2486,14332,1903,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,27644,2457,1412,499,671,346,1425,517,1896,700,759,430,1251,584,1555,623,1442,618,1411,662,2725,1016,3203,923,3818,831,2098,603,1289,450,1467,558,1222,480,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,13691,1992,984,475,790,518,543,300,428,289,450,319,357,220,962,588,327,240,346,260,1167,559,1715,585,1982,749,1708,759,226,135,1093,533,613,315,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,71557,4098,5160,1320,3701,953,4790,1157,5416,1054,5003,1538,3985,918,4015,1394,4325,1184,3580,1110,5286,1036,7305,1394,9687,1508,3293,859,1824,725,2828,885,1359,557,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,29745,2940,3177,1122,1164,581,1478,783,2416,807,1984,922,2226,891,1167,599,912,380,1261,520,2654,704,3366,987,2948,986,1948,718,400,298,1369,510,1275,678,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50360,3041,2656,641,1172,378,1703,673,1754,645,1694,627,1646,503,1373,463,2670,861,2338,684,4210,956,5701,1069,8064,1265,6157,1078,3499,787,3603,762,2120,571,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6641,1184,708,454,332,280,298,231,387,327,310,255,506,352,102,109,342,248,424,372,567,370,912,441,751,517,389,333,226,208,286,222,101,107,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,37917,2918,2197,717,1878,746,1407,445,2763,830,1334,549,2617,890,1511,482,1791,659,1943,721,3304,782,3522,721,4607,1017,3827,854,1864,615,1730,631,1622,520,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
