GEO_ID,C25095_001E,C25095_001M,C25095_002E,C25095_002M,C25095_003E,C25095_003M,C25095_004E,C25095_004M,C25095_005E,C25095_005M,C25095_006E,C25095_006M,C25095_007E,C25095_007M,C25095_008E,C25095_008M,C25095_009E,C25095_009M,C25095_010E,C25095_010M,C25095_011E,C25095_011M,C25095_012E,C25095_012M,C25095_013E,C25095_013M,C25095_014E,C25095_014M,C25095_015E,C25095_015M,C25095_016E,C25095_016M,C25095_017E,C25095_017M,C25095_018E,C25095_018M,C25095_019E,C25095_019M,C25095_020E,C25095_020M,C25095_021E,C25095_021M,C25095_022E,C25095_022M,C25095_023E,C25095_023M,C25095_024E,C25095_024M,C25095_025E,C25095_025M,C25095_026E,C25095_026M,C25095_027E,C25095_027M,C25095_028E,C25095_028M,C25095_029E,C25095_029M,NAME,C25095_001MA,C25095_001EA,C25095_002MA,C25095_002EA,C25095_003EA,C25095_003MA,C25095_004EA,C25095_004MA,C25095_005EA,C25095_005MA,C25095_006MA,C25095_006EA,C25095_007MA,C25095_007EA,C25095_008MA,C25095_008EA,C25095_009EA,C25095_009MA,C25095_010EA,C25095_010MA,C25095_011MA,C25095_011EA,C25095_012MA,C25095_012EA,C25095_013MA,C25095_013EA,C25095_014EA,C25095_014MA,C25095_015EA,C25095_015MA,C25095_016MA,C25095_016EA,C25095_017MA,C25095_017EA,C25095_018MA,C25095_018EA,C25095_019MA,C25095_019EA,C25095_020EA,C25095_020MA,C25095_021MA,C25095_021EA,C25095_022MA,C25095_022EA,C25095_023EA,C25095_023MA,C25095_024MA,C25095_024EA,C25095_025EA,C25095_025MA,C25095_026EA,C25095_026MA,C25095_027MA,C25095_027EA,C25095_028EA,C25095_028MA,C25095_029MA,C25095_029EA,state
0400000US06,6781817,25470,216743,7722,9866,1319,145818,6067,61059,4474,379202,9277,103143,4784,276059,7802,0,197,691708,12451,274277,7051,417431,9803,0,197,733080,12903,322733,7277,410347,10220,0,197,1166501,15065,616341,9110,550160,10919,0,197,948154,12964,614841,11276,333313,10010,0,197,2646429,22232,2229254,20187,417175,9204,0,197,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278158,11129,39676,2552,2446,658,28666,2211,8564,1426,68776,3519,21938,1968,46838,3149,0,189,140627,5274,66206,3707,74421,4480,0,189,156309,5255,83480,3833,72829,4020,0,189,247675,6050,174315,5656,73360,4150,0,189,202884,5923,174890,5898,27994,2492,0,189,422211,8311,404412,8311,17799,2044,0,189,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,908452,7756,19869,1774,107,117,14480,1527,5282,1056,38978,2634,2428,629,36550,2518,0,193,79846,4062,18140,1582,61706,3426,0,193,88702,4070,35192,2329,53510,3233,0,193,154496,5343,80564,3400,73932,4268,0,193,135606,4222,99338,3865,36268,2939,0,193,390955,7732,355776,7589,35179,2122,0,193,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,241050,3609,7414,1131,80,95,5710,986,1624,515,15430,1534,4892,832,10538,1384,0,182,27308,1959,13635,1410,13673,1492,0,182,31578,2410,16838,1555,14740,1686,0,182,47667,2778,33573,2364,14094,1572,0,182,38861,2869,34097,2946,4764,983,0,182,72792,3362,70813,3336,1979,659,0,182,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110681,3549,3426,768,64,75,2429,697,933,409,4439,790,711,328,3728,739,0,197,7180,1251,2284,587,4896,1212,0,197,8261,1116,3470,771,4791,854,0,197,14576,1800,8144,1327,6432,1145,0,197,12009,1523,8618,1262,3391,754,0,197,60790,2874,55081,2807,5709,1161,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4724428,21345,243125,8214,15800,1612,166042,6618,61283,3613,454337,9280,145181,5059,309156,8033,0,211,763744,12987,371152,8375,392592,10194,0,211,696448,12963,413675,9109,282773,8927,0,211,918299,15428,680416,12136,237883,8997,0,211,595384,11632,505713,10588,89671,4789,0,211,1053091,16342,981310,16424,71781,4684,0,211,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2248702,19411,106445,5761,7575,1441,72171,4651,26699,3418,182570,6947,66521,3360,116049,5782,0,208,307293,8796,152317,6323,154976,6253,0,208,300339,9495,191507,6946,108832,6204,0,208,451423,12068,357179,10147,94244,5757,0,208,308986,8648,281241,7701,27745,2839,0,208,591646,9916,569784,9744,21862,2431,0,208,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,254770,4107,9737,1495,741,449,6535,1249,2461,765,12347,1559,2550,623,9797,1353,0,177,20055,2008,8907,1481,11148,1210,0,177,25613,2228,12852,1514,12761,1522,0,177,45054,2846,23381,1826,21673,2213,0,177,40516,2450,25346,1848,15170,1961,0,177,101448,3150,84981,3020,16467,1810,0,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,398671,5979,14733,2108,1398,513,10748,1853,2587,769,32423,2555,13327,1434,19096,2168,0,187,65354,3299,34798,2446,30556,2269,0,187,62007,3586,43143,2734,18864,2316,0,187,94498,4198,78447,3808,16051,2184,0,187,53466,3186,50197,3316,3269,860,0,187,76190,3469,73752,3384,2438,805,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3177104,16645,96494,4193,2855,752,72841,3733,20798,2073,207969,5846,55921,2377,152048,5410,0,179,376796,8563,177981,5925,198815,6060,0,179,394997,8899,230540,5849,164457,6459,0,179,615025,11389,426918,8798,188107,6615,0,179,487943,9762,404146,9433,83797,3762,0,179,997880,13617,935165,13213,62715,4138,0,179,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
