GEO_ID,C12002G_001E,C12002G_001M,C12002G_002E,C12002G_002M,C12002G_003E,C12002G_003M,C12002G_004E,C12002G_004M,C12002G_005E,C12002G_005M,C12002G_006E,C12002G_006M,NAME,C12002G_001EA,C12002G_001MA,C12002G_002EA,C12002G_002MA,C12002G_003MA,C12002G_003EA,C12002G_004MA,C12002G_004EA,C12002G_005MA,C12002G_005EA,C12002G_006EA,C12002G_006MA,state
0400000US06,1071350,22177,546737,14231,363423,9891,26463,2720,35548,2876,99179,5376,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,107622,5419,50218,3978,41348,3704,2713,851,2845,726,10498,1482,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,55707,4111,32854,3238,15216,2274,1260,545,1244,503,5133,1046,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11816,2203,6622,1805,3512,1050,320,358,291,218,1071,495,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11334,2044,7641,1610,2485,924,241,274,116,127,851,399,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,282449,10371,132152,7501,95454,5562,9548,1728,12625,1792,32670,3157,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,114133,8064,53760,5596,41138,4018,3461,1530,4819,1355,10955,1800,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,217916,8692,102961,5336,83375,5654,2661,696,8641,1334,20278,2568,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,24541,2829,10070,1501,9426,1712,1219,1023,952,551,2874,816,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,153085,7940,82375,4873,49518,3922,3455,832,4225,811,13512,1938,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,74158,4241,40519,3636,21483,2278,1242,528,1819,462,9095,1308,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,30022,3148,16687,1995,8607,1679,838,462,643,330,3247,722,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,52714,4234,26292,3115,16197,2179,1373,477,1590,469,7262,1341,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,48069,3717,24111,2660,14139,1933,1201,452,2995,831,5623,1064,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,43563,3961,20736,3034,14167,1802,1524,616,1878,626,5258,1124,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,15509,1443,7092,1128,4899,756,330,187,415,274,2773,780,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,106405,5837,55419,4792,35936,3030,2553,738,3701,777,8796,1454,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,120460,7102,64638,4622,36586,4034,3907,1222,3960,983,11369,1829,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,142029,6184,72395,4442,44493,3224,2533,818,4895,762,17713,1763,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,67116,4090,37922,3038,21404,2283,1076,444,988,493,5726,1211,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,17976,2703,8610,1988,5460,1056,826,500,1081,421,1999,740,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,80282,4658,38595,3132,25243,2237,2228,664,3494,888,10722,1519,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,16101,1670,6515,1230,6058,1033,159,160,601,298,2768,822,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,19618,2255,10446,1629,6167,1155,476,300,647,356,1882,694,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,66313,4928,31233,3253,22102,2552,1065,500,3228,836,8685,1577,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,13110,1862,6385,1291,4613,1122,211,263,356,213,1545,565,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,137603,7826,67425,5148,51614,4356,3986,1183,3822,1292,10756,1588,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,40670,3344,19541,2280,14209,1730,850,434,1643,598,4427,946,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,346437,11558,176746,8643,113020,5538,12623,2180,13169,1345,30879,3148,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,119411,5814,60653,4361,40644,2880,2727,692,4161,813,11226,1653,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,8206,1439,5027,1151,2191,672,116,140,231,148,641,362,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,142782,6222,77317,5069,40793,3537,4253,1154,5019,1028,15400,1752,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,188226,5707,76971,3676,68493,3370,6347,1153,9799,1207,26616,2170,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,98040,5403,44848,3493,34476,3251,3185,833,2976,638,12555,1697,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,149373,6795,85394,5488,43551,3857,3718,753,4772,940,11938,1777,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,18382,2078,10023,1546,5784,1037,517,336,346,279,1712,699,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,50472,4372,24950,2609,16533,2386,1786,725,1820,717,5383,1449,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,8497,1427,4410,814,2801,935,128,127,214,145,944,372,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,68115,5283,31222,3890,23344,2942,1428,529,3226,766,8895,1645,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,367505,11507,162608,6456,140849,6497,11731,2108,12423,1645,39894,3245,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,36772,3797,18423,2488,13614,1829,984,498,642,277,3109,1068,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,7938,885,3799,621,2040,464,199,165,318,241,1582,480,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,150695,7906,73584,5288,55428,4253,3794,1119,4705,1269,13184,1746,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,205669,7340,106861,5936,64675,3528,4982,1212,5309,1059,23842,2690,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,23079,2388,10927,1784,7216,1338,275,170,1235,377,3426,863,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,60736,4064,36795,2732,15738,1975,1617,627,1165,404,5421,1042,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,10180,1690,4437,1050,4135,1066,120,199,143,137,1345,548,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,354450,13159,154239,7677,125391,6969,7934,1598,22546,2001,44340,4214,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,44617,2920,17277,2396,17418,1868,1446,586,2985,744,5491,1094,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
