GEO_ID,C17013_001E,C17013_001M,C17013_002E,C17013_002M,C17013_003E,C17013_003M,C17013_004E,C17013_004M,C17013_005E,C17013_005M,C17013_006E,C17013_006M,C17013_007E,C17013_007M,C17013_008E,C17013_008M,C17013_009E,C17013_009M,C17013_010E,C17013_010M,C17013_011E,C17013_011M,NAME,C17013_001EA,C17013_001MA,C17013_002EA,C17013_002MA,C17013_003EA,C17013_003MA,C17013_004MA,C17013_004EA,C17013_005MA,C17013_005EA,C17013_006MA,C17013_006EA,C17013_007EA,C17013_007MA,C17013_008EA,C17013_008MA,C17013_009EA,C17013_009MA,C17013_010MA,C17013_010EA,C17013_011MA,C17013_011EA,state
0400000US06,8585787,27380,1111400,15617,308118,8743,481942,10850,256928,6479,64412,3478,7474387,28093,3026187,25004,3186670,22373,1044072,15781,217458,6770,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,118607,5656,41586,3150,46433,3667,23448,2782,7140,1501,1159657,11072,575965,8611,451767,9333,116092,5596,15833,1825,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,70924,4265,26517,2515,32606,3116,10682,1694,1119,537,831445,8840,379409,7499,361504,8180,80932,4118,9600,1420,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,18399,2121,6951,1167,6941,1295,3840,1058,667,449,207194,4348,99196,3729,84253,3315,20834,2381,2911,1005,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,15690,1571,5343,966,7449,1127,2219,713,679,391,96803,3781,51140,2757,36376,2483,7639,1459,1648,694,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,580789,12915,219355,7942,255216,8561,87645,5666,18573,2274,4017433,24594,2140646,19547,1504168,19287,332509,9827,40110,3698,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,361820,10541,116200,6261,161981,8159,69569,4934,14070,2158,2044406,15943,945514,11824,852635,14327,216701,6911,29556,2927,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,26514,2112,9070,1517,10625,1767,4953,1057,1866,641,282651,5838,116832,3713,116111,3767,36662,2860,13046,1634,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,47558,3550,17434,2409,19879,2295,8049,1457,2196,736,358350,6909,180315,5302,125619,5406,43432,3163,8984,1772,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,339595,8078,117149,4751,141271,5128,63770,4086,17405,2105,2781425,15435,1258062,12158,1147759,13323,327548,7906,48056,3574,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
