C27001F_006E,C27001F_006M,C27001F_007E,C27001F_007M,C27001F_008E,C27001F_008M,C27001F_009E,C27001F_009M,C27001F_010E,C27001F_010M,GEO_ID,C27001F_001E,C27001F_001M,C27001F_002E,C27001F_002M,C27001F_003E,C27001F_003M,C27001F_004E,C27001F_004M,C27001F_005E,C27001F_005M,C27001F_006EA,C27001F_006MA,C27001F_007MA,C27001F_007EA,C27001F_008MA,C27001F_008EA,C27001F_009MA,C27001F_009EA,C27001F_010EA,C27001F_010MA,NAME,C27001F_001EA,C27001F_001MA,C27001F_002MA,C27001F_002EA,C27001F_003MA,C27001F_003EA,C27001F_004EA,C27001F_004MA,C27001F_005EA,C27001F_005MA,state
1774904,27349,1320173,22410,217794,7492,202071,6935,15723,2766,0400000US06,4859487,55756,1546616,27937,1364583,28156,182033,10438,3095077,33083,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,06
77072,5584,60397,5043,10794,1495,10673,1486,121,114,0400000US08,216596,13074,68333,6612,53886,6656,14447,3029,137469,7927,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,08
63877,5051,40254,4956,6407,1186,6277,1202,130,213,0400000US09,157628,10858,47090,5148,44113,4965,2977,1113,104131,7179,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,09
8801,2308,5984,2017,926,600,704,564,222,246,0400000US10,22976,4012,7265,1602,6555,1581,710,618,14785,2899,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,10
16523,2602,4298,1365,644,533,644,533,0,197,0400000US11,28232,4279,6767,1408,6300,1462,467,459,20821,3158,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
159818,11205,146366,11052,21128,2765,20132,2694,996,572,0400000US12,453707,22955,126395,10261,105270,10019,21125,3246,306184,15568,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,12
73936,6855,104388,7174,4830,1213,3498,1139,1332,719,0400000US13,291028,14394,107874,7575,82907,6593,24967,4173,178324,9292,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,13
8033,1921,1923,1346,597,357,597,357,0,177,0400000US15,13958,2531,3405,1151,3319,1112,86,137,9956,1765,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,15
11193,2211,16672,2973,1266,528,1266,528,0,187,0400000US16,45905,6392,16774,3289,14726,3146,2048,974,27865,3610,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,16
259726,12606,197404,11116,24520,2592,23281,2475,1239,629,0400000US17,727359,24729,245709,11567,235210,11135,10499,2975,457130,15079,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,17
49498,5213,44426,4280,3188,810,3043,817,145,177,0400000US18,155937,9533,58825,4670,46752,4362,12073,2850,93924,6027,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,18
15957,2438,7818,1732,684,315,684,315,0,151,0400000US19,37512,4861,13053,2542,11282,2081,1771,971,23775,3223,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,19
18114,2920,17225,2541,3078,710,2985,753,93,123,0400000US20,56762,7118,18345,3749,15904,3315,2441,895,35339,3835,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,20
9147,1583,14067,3079,626,395,414,331,212,209,0400000US21,37679,5050,13839,2468,11266,2152,2573,1147,23214,3368,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,21
15299,3101,16344,3249,2808,1207,2679,1176,129,221,0400000US22,47803,6932,13352,2706,12027,2653,1325,654,31643,5070,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,22
948,529,269,236,15,25,15,25,0,155,0400000US23,2451,765,1219,552,1087,534,132,146,1217,547,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,23
58493,6473,78660,6235,3543,1139,2751,869,792,526,0400000US24,201642,13250,60946,5471,52395,4819,8551,2526,137153,8983,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,24
150957,7191,22263,2922,12557,1595,12338,1676,219,249,0400000US25,262977,11707,77200,4993,75387,4955,1813,1058,173220,8045,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
36843,3624,20993,2784,4339,833,4318,838,21,34,0400000US26,92705,7637,30530,3689,28399,3562,2131,911,57836,4925,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,26
25367,2763,19427,2882,1086,494,761,466,325,310,0400000US27,71750,6454,25870,3174,21432,3002,4438,1163,44794,4001,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,27
4723,1570,7769,1892,57,102,57,102,0,198,0400000US28,20898,3948,8349,2187,7155,1982,1194,592,12492,2281,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,28
22375,2518,21333,3501,1382,482,1340,490,42,52,0400000US29,69518,6346,24428,3130,19008,2961,5420,1527,43708,4202,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,29
2343,796,1632,645,444,267,444,267,0,157,0400000US30,6305,1422,1886,857,1569,820,317,240,3975,1075,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,30
11466,2086,13974,2276,966,484,966,484,0,149,0400000US31,42158,4908,15752,2584,12968,2321,2784,1053,25440,2832,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,31
75462,6350,69674,5631,7161,1474,6026,1303,1135,535,0400000US32,234037,12626,81740,5998,56189,5117,25551,3967,145136,8370,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,32
2530,1005,1252,640,224,222,224,222,0,181,0400000US33,5794,1649,1788,667,1618,625,170,265,3782,1236,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
190835,9711,154851,9872,19960,2273,17735,2162,2225,804,0400000US34,518401,19279,152755,8354,141014,8160,11741,2224,345686,13706,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,34
103394,7204,55271,4848,22486,2463,22082,2438,404,361,0400000US35,252714,13671,71563,6468,65286,6856,6277,2718,158665,8627,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,35
726580,15654,359116,16593,95500,5339,91991,5374,3509,1234,0400000US36,1626069,29280,444873,13020,422641,12643,22232,3620,1085696,19614,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,36
54304,5063,91476,7157,3176,914,2504,834,672,429,0400000US37,251322,15545,102366,7878,84041,6784,18325,3650,145780,9401,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,37
1570,517,795,409,113,125,113,125,0,141,0400000US38,3829,1116,1351,611,692,454,659,433,2365,665,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,38
35922,3468,20207,3511,2581,761,2526,748,55,69,0400000US39,89384,6808,30674,3788,27831,3661,2843,1252,56129,4781,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,39
24457,2774,31813,3518,2337,686,2295,677,42,71,0400000US40,87948,6768,29341,2939,23557,2491,5784,1304,56270,4587,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
42074,4422,42091,5051,3102,1046,2888,959,214,251,0400000US41,137231,10120,49964,4715,45144,4746,4820,1274,84165,6912,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,41
99863,5807,48711,5348,9071,1560,8896,1558,175,176,0400000US42,239947,11761,82302,5991,74855,5433,7447,2273,148574,6672,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
22394,2845,13923,2686,2355,783,2355,783,0,200,0400000US44,55874,5921,17202,2535,15215,2397,1987,1168,36317,4024,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
17048,2687,31020,3973,1890,842,1033,474,857,781,0400000US45,75887,7023,25929,3698,17504,2715,8425,2962,48068,4383,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,45
3216,926,1891,1128,22,38,22,38,0,147,0400000US46,7382,1940,2253,676,2166,690,87,112,5107,1636,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,46
22745,4029,34129,3966,2409,879,2306,880,103,139,0400000US47,92442,9887,33159,4945,26908,4099,6251,2132,56874,5715,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,47
