GEO_ID,B10001_001E,B10001_001M,B10001_002E,B10001_002M,B10001_003E,B10001_003M,B10001_004E,B10001_004M,NAME,B10001_001EA,B10001_001MA,B10001_002EA,B10001_002MA,B10001_003EA,B10001_003MA,B10001_004MA,B10001_004EA,state
0400000US06,761353,17981,379225,10485,227599,9824,154529,8097,California,null,null,null,null,null,null,null,null,06
0400000US08,64838,6069,33268,4223,17109,2209,14461,2004,Colorado,null,null,null,null,null,null,null,null,08
0400000US09,43109,3450,20892,2522,13441,2110,8776,1490,Connecticut,null,null,null,null,null,null,null,null,09
0400000US10,21975,3414,8279,1872,7281,1815,6415,1297,Delaware,null,null,null,null,null,null,null,null,10
0400000US11,11364,2165,5311,1396,2937,874,3116,1003,District of Columbia,null,null,null,null,null,null,null,null,11
0400000US12,339012,13034,154307,7177,106889,6770,77816,4485,Florida,null,null,null,null,null,null,null,null,12
0400000US13,234819,11936,107715,6196,70739,5149,56365,5090,Georgia,null,null,null,null,null,null,null,null,13
0400000US15,48278,3813,20750,2364,16130,1980,11398,1702,Hawaii,null,null,null,null,null,null,null,null,15
0400000US16,19042,2635,7580,1233,6256,1747,5206,1524,Idaho,null,null,null,null,null,null,null,null,16
0400000US17,220088,9549,105510,6605,65735,4396,48843,3503,Illinois,null,null,null,null,null,null,null,null,17
0400000US18,108121,6547,50450,3970,33766,3193,23905,2575,Indiana,null,null,null,null,null,null,null,null,18
0400000US19,33399,3584,14374,1976,10381,1613,8644,1628,Iowa,null,null,null,null,null,null,null,null,19
0400000US20,41972,4223,20117,2251,13506,2341,8349,1458,Kansas,null,null,null,null,null,null,null,null,20
0400000US21,98242,6638,44820,3570,30023,3329,23399,2448,Kentucky,null,null,null,null,null,null,null,null,21
0400000US22,118752,7092,54503,4753,38021,3328,26228,2820,Louisiana,null,null,null,null,null,null,null,null,22
0400000US23,16272,2743,7245,1478,5595,1325,3432,1085,Maine,null,null,null,null,null,null,null,null,23
0400000US24,106827,6319,51697,3286,29357,2969,25773,2786,Maryland,null,null,null,null,null,null,null,null,24
