GEO_ID,B25032G_001E,B25032G_001M,B25032G_002E,B25032G_002M,B25032G_003E,B25032G_003M,B25032G_004E,B25032G_004M,B25032G_005E,B25032G_005M,B25032G_006E,B25032G_006M,B25032G_007E,B25032G_007M,B25032G_008E,B25032G_008M,B25032G_009E,B25032G_009M,B25032G_010E,B25032G_010M,B25032G_011E,B25032G_011M,NAME,B25032G_001MA,B25032G_001EA,B25032G_002EA,B25032G_002MA,B25032G_003EA,B25032G_003MA,B25032G_004EA,B25032G_004MA,B25032G_005EA,B25032G_005MA,B25032G_006MA,B25032G_006EA,B25032G_007EA,B25032G_007MA,B25032G_008EA,B25032G_008MA,B25032G_009EA,B25032G_009MA,B25032G_010MA,B25032G_010EA,B25032G_011MA,B25032G_011EA,state
0400000US06,376302,9010,195698,6688,26646,2645,9684,1987,26369,2346,26447,2386,22769,2359,24685,2393,32120,3026,11092,1366,792,374,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,42680,2939,24417,2521,3119,757,1268,568,1111,449,2225,640,3989,1195,3252,881,1885,699,1386,464,28,52,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,20589,2194,8760,1416,912,531,2155,711,3384,1010,1616,604,1256,499,1320,652,1021,523,165,200,0,193,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4632,987,1723,667,872,398,312,397,132,218,356,251,440,309,44,75,49,80,704,335,0,182,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5081,979,692,350,881,309,32,54,500,394,479,295,387,251,608,324,1502,658,0,197,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,110716,4747,56173,3095,8031,1720,2666,685,5840,1191,6510,1778,7813,1668,6718,1660,7355,1219,9441,1392,169,127,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,42977,3389,25071,2654,1391,502,1401,681,1743,674,3796,999,2684,926,1166,944,2381,877,3344,893,0,208,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,69845,3643,39855,2766,6986,1217,1903,785,3776,877,4695,1148,3184,842,4672,1173,4672,960,102,173,0,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8925,1246,6426,1275,227,203,280,224,599,358,112,139,124,137,269,265,83,135,723,390,82,102,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,59305,3826,27609,2172,2644,822,4886,1034,5085,1192,5585,1103,3741,890,2733,869,5522,1553,1500,623,0,179,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
